ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260316,综合Ⅲ,悦达投资,600805.SH,-0.25,2.66,23721604.1,2.09,9,10,行业板块,东财三级行业
BK1626.DC,20260316,稀土,北方稀土,600111.SH,-2.63,-2.4,30671196.8,2.82,0,4,行业板块,东财三级行业
BK1625.DC,20260316,钨,章源钨业,002378.SZ,-1.88,-0.7,27672585.6,6.53,0,4,行业板块,东财三级行业
BK1624.DC,20260316,其他小金属,东方钽业,000962.SZ,-1.32,4.58,45998459.2,4.51,3,12,行业板块,东财三级行业
BK1623.DC,20260316,钼,金钼股份,601958.SH,-1.33,-1.33,6966238.8,1.74,0,1,行业板块,东财三级行业
BK1622.DC,20260316,镍,华友钴业,603799.SH,-5.1,-5.1,12029045.7,4.22,0,1,行业板块,东财三级行业
BK1621.DC,20260316,锂,融捷股份,002192.SZ,-1.37,1.44,40096121.6,3.65,2,6,行业板块,东财三级行业
BK1620.DC,20260316,钴,寒锐钴业,300618.SZ,-3.87,-3.02,3383826.1,4.01,0,2,行业板块,东财三级行业
BK1619.DC,20260316,其他金属新材料,福达合金,603045.SH,-1.05,1.98,20998643.4,2.96,6,13,行业板块,东财三级行业
BK1618.DC,20260316,磁性材料,悦安新材,688786.SH,-0.66,5.26,18606927.5,2.56,1,11,行业板块,东财三级行业
BK1617.DC,20260316,黄金,四川黄金,001337.SZ,-3.91,0.02,66476140.8,3.12,1,9,行业板块,东财三级行业
BK1616.DC,20260316,白银,湖南白银,002716.SZ,-3.02,-2.0,14737301.1,6.01,0,3,行业板块,东财三级行业
BK1615.DC,20260316,铜,众源新材,603527.SH,-2.48,1.05,198839435.2,2.8,3,13,行业板块,东财三级行业
BK1614.DC,20260316,铅锌,新威凌,920634.BJ,-2.77,0.17,24643245.6,3.8,1,11,行业板块,东财三级行业
BK1613.DC,20260316,铝,利源股份,002501.SZ,-0.99,4.64,126235990.4,3.22,7,23,行业板块,东财三级行业
BK1612.DC,20260316,农商行Ⅲ,沪农商行,601825.SH,0.38,1.02,27491137.6,0.89,7,3,行业板块,东财三级行业
BK1611.DC,20260316,国有大型银行Ⅲ,工商银行,601398.SH,0.42,0.69,1027351603.2,0.12,6,0,行业板块,东财三级行业
BK1610.DC,20260316,股份制银行Ⅲ,中信银行,601998.SH,-0.03,0.67,294689793.6,0.41,3,4,行业板块,东财三级行业
BK1609.DC,20260316,城商行Ⅲ,厦门银行,601187.SH,0.75,3.65,127540753.6,0.68,11,3,行业板块,东财三级行业
BK1608.DC,20260316,中药Ⅲ,片仔癀,600436.SH,0.47,3.0,86287667.2,1.11,48,16,行业板块,东财三级行业
BK1607.DC,20260316,医药流通,建发致新,301584.SZ,-0.07,3.2,25899850.2,1.14,10,12,行业板块,东财三级行业
BK1606.DC,20260316,线下药店,老百姓,603883.SH,-0.08,0.56,8914089.0,0.97,3,3,行业板块,东财三级行业
BK1605.DC,20260316,医疗设备,华康洁净,301235.SZ,-0.23,4.49,64715452.8,1.95,19,21,行业板块,东财三级行业
BK1604.DC,20260316,医疗耗材,乐普医疗,300003.SZ,-0.04,4.19,48101297.6,2.89,33,20,行业板块,东财三级行业
BK1603.DC,20260316,体外诊断,东方海洋,002086.SZ,0.79,10.13,27391752.0,1.93,27,12,行业板块,东财三级行业
BK1602.DC,20260316,诊断服务,华大基因,300676.SZ,0.3,0.93,5240446.7,1.53,4,1,行业板块,东财三级行业
BK1601.DC,20260316,医院,ST中珠,600568.SH,-0.8,1.96,23762757.4,2.4,8,7,行业板块,东财三级行业
BK1600.DC,20260316,医疗研发外包,百奥赛图,688796.SH,0.76,6.55,62427406.4,1.73,19,10,行业板块,东财三级行业
BK1599.DC,20260316,其他医疗服务,合富中国,603122.SH,0.01,1.55,2665349.3,2.15,3,2,行业板块,东财三级行业
BK1598.DC,20260316,疫苗,万泰生物,603392.SH,-0.24,2.14,24452571.1,1.02,10,4,行业板块,东财三级行业
BK1597.DC,20260316,血液制品,博晖创新,300318.SZ,-0.05,0.8,10898020.5,0.48,2,4,行业板块,东财三级行业
BK1596.DC,20260316,其他生物制品,*ST四环,000518.SZ,0.72,3.44,62913217.6,1.5,25,13,行业板块,东财三级行业
BK1595.DC,20260316,原料药,新诺威,300765.SZ,0.45,6.7,35725600.0,2.51,29,17,行业板块,东财三级行业
BK1594.DC,20260316,化学制剂,信立泰,002294.SZ,0.7,5.65,207761449.6,1.28,80,31,行业板块,东财三级行业
BK1593.DC,20260316,通信终端及配件,中瓷电子,003031.SZ,-1.12,2.66,42056923.2,4.58,16,12,行业板块,东财三级行业
BK1592.DC,20260316,通信线缆及配套,永鼎股份,600105.SH,-1.76,3.01,52066121.6,5.67,4,8,行业板块,东财三级行业
BK1591.DC,20260316,通信网络设备及器件,鼎信通讯,603421.SH,0.61,10.02,214333731.2,3.81,22,14,行业板块,东财三级行业
BK1590.DC,20260316,其他通信设备,坤恒顺维,688283.SH,-0.16,2.64,10095035.9,2.14,6,8,行业板块,东财三级行业
BK1589.DC,20260316,通信应用增值服务,二六三,002467.SZ,2.27,9.94,29800632.0,6.51,16,1,行业板块,东财三级行业
BK1588.DC,20260316,通信工程及服务,世纪鼎利,300050.SZ,0.82,5.67,11576317.2,3.48,12,8,行业板块,东财三级行业
BK1587.DC,20260316,电信运营商,中国移动,600941.SH,-0.71,-0.19,283195724.8,0.4,0,3,行业板块,东财三级行业
BK1586.DC,20260316,软饮料,东鹏饮料,605499.SH,1.19,5.17,21296644.0,1.26,6,2,行业板块,东财三级行业
BK1585.DC,20260316,乳品,品渥食品,300892.SZ,0.66,1.91,26691180.4,0.97,16,2,行业板块,东财三级行业
BK1584.DC,20260316,熟食,煌上煌,002695.SZ,-0.23,1.76,2537371.1,0.64,1,2,行业板块,东财三级行业
BK1583.DC,20260316,零食,来伊份,603777.SH,1.26,6.74,10732180.7,1.97,9,2,行业板块,东财三级行业
BK1582.DC,20260316,烘焙食品,西麦食品,002956.SZ,0.95,3.8,4763851.0,1.26,8,1,行业板块,东财三级行业
