ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002578.SZ,2026-03-30,4.26,4.26,4.26,4.26,3.87,0.39,10.0775,191816.0,81713.616
002578.SZ,2026-03-27,3.75,3.9,3.75,3.87,3.83,0.04,1.0444,188605.0,72508.795
002578.SZ,2026-03-26,3.83,3.94,3.8,3.83,3.85,-0.02,-0.5195,275064.0,106078.734
002578.SZ,2026-03-25,3.79,3.88,3.77,3.85,3.72,0.13,3.4946,307830.0,117776.856
002578.SZ,2026-03-24,3.62,3.72,3.49,3.72,3.49,0.23,6.5903,365541.0,132226.994
002578.SZ,2026-03-23,3.66,3.72,3.47,3.49,3.74,-0.25,-6.6845,361855.0,130149.262
002578.SZ,2026-03-20,3.9,3.93,3.73,3.74,3.88,-0.14,-3.6082,329695.0,126236.165
002578.SZ,2026-03-19,4.02,4.03,3.86,3.88,4.06,-0.18,-4.4335,310922.06,122098.288
002578.SZ,2026-03-18,4.13,4.16,4.02,4.06,4.13,-0.07,-1.6949,253461.0,103315.509
002578.SZ,2026-03-17,4.23,4.33,4.11,4.13,4.19,-0.06,-1.432,395784.0,167350.11
002578.SZ,2026-03-16,4.25,4.38,4.1,4.19,4.24,-0.05,-1.1792,361718.0,152309.615
002578.SZ,2026-03-13,4.38,4.48,4.21,4.24,4.39,-0.15,-3.4169,453705.0,196694.001
002578.SZ,2026-03-12,4.35,4.51,4.35,4.39,4.35,0.04,0.9195,470351.63,208027.009
002578.SZ,2026-03-11,4.35,4.4,4.31,4.35,4.34,0.01,0.2304,280607.0,122113.843
002578.SZ,2026-03-10,4.43,4.48,4.33,4.34,4.43,-0.09,-2.0316,296117.0,129763.871
002578.SZ,2026-03-09,4.44,4.52,4.38,4.43,4.45,-0.02,-0.4494,370851.0,164619.072
002578.SZ,2026-03-06,4.42,4.49,4.32,4.45,4.49,-0.04,-0.8909,341681.0,151748.29
002578.SZ,2026-03-05,4.58,4.62,4.46,4.49,4.46,0.03,0.6726,436311.0,197645.266
002578.SZ,2026-03-04,4.35,4.58,4.26,4.46,4.43,0.03,0.6772,448839.0,200441.388
002578.SZ,2026-03-03,4.59,4.66,4.42,4.43,4.64,-0.21,-4.5259,430627.0,195160.039
002578.SZ,2026-03-02,4.7,4.7,4.49,4.64,4.69,-0.05,-1.0661,521312.0,239393.33
