ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260319,综合Ⅲ,粤桂股份,000833.SZ,-2.28,-0.04,22981224.9,1.95,0,20,行业板块,东财三级行业
BK1626.DC,20260319,稀土,北方稀土,600111.SH,-5.36,-4.88,28703664.0,3.12,0,4,行业板块,东财三级行业
BK1625.DC,20260319,钨,翔鹭钨业,002842.SZ,-6.23,-5.49,25695673.8,5.59,0,4,行业板块,东财三级行业
BK1624.DC,20260319,其他小金属,西部材料,002149.SZ,-4.87,-2.93,42869990.4,4.11,0,15,行业板块,东财三级行业
BK1623.DC,20260319,钼,金钼股份,601958.SH,-7.27,-7.27,7520742.8,1.4,0,1,行业板块,东财三级行业
BK1622.DC,20260319,镍,华友钴业,603799.SH,-6.81,-6.81,10718407.0,4.29,0,1,行业板块,东财三级行业
BK1621.DC,20260319,锂,天齐锂业,002466.SZ,-5.81,-4.34,36226801.6,3.89,0,8,行业板块,东财三级行业
BK1620.DC,20260319,钴,腾远钴业,301219.SZ,-4.97,-4.71,3114851.7,2.86,0,2,行业板块,东财三级行业
BK1619.DC,20260319,其他金属新材料,江南新材,603124.SH,-3.54,2.69,20654489.2,2.55,2,18,行业板块,东财三级行业
BK1618.DC,20260319,磁性材料,悦安新材,688786.SH,-4.35,-2.15,17433256.0,2.61,0,14,行业板块,东财三级行业
BK1617.DC,20260319,黄金,四川黄金,001337.SZ,-6.09,-4.5,62620555.2,2.62,0,9,行业板块,东财三级行业
BK1616.DC,20260319,白银,湖南白银,002716.SZ,-7.66,-6.49,13353771.0,6.18,0,3,行业板块,东财三级行业
BK1615.DC,20260319,铜,电工合金,300697.SZ,-5.82,-3.61,184288496.0,2.91,0,17,行业板块,东财三级行业
BK1614.DC,20260319,铅锌,罗平锌电,002114.SZ,-6.26,-4.27,22030236.9,3.71,0,12,行业板块,东财三级行业
BK1613.DC,20260319,铝,银邦股份,300337.SZ,-4.55,-1.21,111039836.8,2.9,0,30,行业板块,东财三级行业
BK1612.DC,20260319,农商行Ⅲ,渝农商行,601077.SH,-0.66,0.43,27273641.6,0.77,1,9,行业板块,东财三级行业
BK1611.DC,20260319,国有大型银行Ⅲ,工商银行,601398.SH,0.71,1.89,1052061670.4,0.2,4,2,行业板块,东财三级行业
BK1610.DC,20260319,股份制银行Ⅲ,中信银行,601998.SH,-0.69,-0.25,295828812.8,0.38,0,9,行业板块,东财三级行业
BK1609.DC,20260319,城商行Ⅲ,厦门银行,601187.SH,-0.75,0.66,126100947.2,0.61,2,15,行业板块,东财三级行业
BK1608.DC,20260319,中药Ⅲ,ST香雪,300147.SZ,-2.03,0.97,85066555.2,1.27,2,64,行业板块,东财三级行业
BK1607.DC,20260319,医药流通,开开Ｂ股,900943.SH,-2.04,0.23,25334484.2,1.13,1,23,行业板块,东财三级行业
BK1606.DC,20260319,线下药店,健之佳,605266.SH,-2.47,-1.94,8627924.6,0.96,0,8,行业板块,东财三级行业
BK1605.DC,20260319,医疗设备,天智航-U,688277.SH,-3.11,0.84,62764432.0,1.73,1,42,行业板块,东财三级行业
BK1604.DC,20260319,医疗耗材,奥美医疗,002950.SZ,-2.89,1.01,46923580.8,2.49,1,52,行业板块,东财三级行业
BK1603.DC,20260319,体外诊断,九安医疗,002432.SZ,-1.93,10.01,27467958.4,3.49,3,37,行业板块,东财三级行业
BK1602.DC,20260319,诊断服务,金域医学,603882.SH,-2.95,-2.19,5079792.3,1.8,0,5,行业板块,东财三级行业
BK1601.DC,20260319,医院,盈康生命,300143.SZ,-2.84,-0.87,22957578.9,1.84,0,15,行业板块,东财三级行业
BK1600.DC,20260319,医疗研发外包,金凯生科,301509.SZ,-3.3,4.11,60725012.8,1.65,1,28,行业板块,东财三级行业
BK1599.DC,20260319,其他医疗服务,*ST生物,000504.SZ,-2.73,0.1,2575975.3,2.08,1,4,行业板块,东财三级行业
BK1598.DC,20260319,疫苗,沃森生物,300142.SZ,-1.79,0.9,24256142.1,1.76,1,13,行业板块,东财三级行业
BK1597.DC,20260319,血液制品,天坛生物,600161.SH,-1.44,-0.25,10674546.6,0.52,0,6,行业板块,东财三级行业
BK1596.DC,20260319,其他生物制品,三生国健,688336.SH,-2.44,1.78,63738587.2,1.49,1,37,行业板块,东财三级行业
BK1595.DC,20260319,原料药,科源制药,301281.SZ,-3.0,2.18,34535273.6,2.04,1,45,行业板块,东财三级行业
BK1594.DC,20260319,化学制剂,万邦德,002082.SZ,-2.12,5.98,207209227.2,1.43,7,107,行业板块,东财三级行业
BK1593.DC,20260319,通信终端及配件,有方科技,688159.SH,-1.25,7.86,40656248.0,3.89,6,22,行业板块,东财三级行业
BK1592.DC,20260319,通信线缆及配套,华脉科技,603042.SH,-2.63,4.71,48169428.8,4.21,1,11,行业板块,东财三级行业
BK1591.DC,20260319,通信网络设备及器件,铭普光磁,002902.SZ,-0.94,10.01,215372249.6,4.05,11,25,行业板块,东财三级行业
BK1590.DC,20260319,其他通信设备,东信Ｂ股,900941.SH,-2.72,-1.43,9766562.7,1.75,0,14,行业板块,东财三级行业
BK1589.DC,20260319,通信应用增值服务,润泽科技,300442.SZ,-1.25,3.27,31524289.6,7.65,4,13,行业板块,东财三级行业
BK1588.DC,20260319,通信工程及服务,润建股份,002929.SZ,-1.91,0.97,11606517.6,4.39,1,19,行业板块,东财三级行业
BK1587.DC,20260319,电信运营商,中国移动,600941.SH,0.36,0.83,284904073.6,0.34,2,1,行业板块,东财三级行业
BK1586.DC,20260319,软饮料,养元饮品,603156.SH,-1.23,1.39,20861928.9,1.13,1,7,行业板块,东财三级行业
BK1585.DC,20260319,乳品,贝因美,002570.SZ,-1.92,2.97,26244939.6,1.57,1,18,行业板块,东财三级行业
BK1584.DC,20260319,熟食,ST绝味,603517.SH,-2.67,-1.31,2407665.8,0.66,0,3,行业板块,东财三级行业
BK1583.DC,20260319,零食,三只松鼠,300783.SZ,-2.5,-1.61,10269426.1,1.53,0,11,行业板块,东财三级行业
BK1582.DC,20260319,烘焙食品,广州酒家,603043.SH,-2.92,-1.32,4611891.8,1.28,0,9,行业板块,东财三级行业
BK1581.DC,20260319,预加工食品,千味央厨,001215.SZ,-2.28,0.41,6743663.4,1.62,1,10,行业板块,东财三级行业
BK1580.DC,20260319,肉制品,华统股份,002840.SZ,-0.7,1.45,13052747.5,1.48,2,5,行业板块,东财三级行业
BK1579.DC,20260319,保健品,汤臣倍健,300146.SZ,-1.44,-0.43,6161690.2,2.25,1,8,行业板块,东财三级行业
BK1578.DC,20260319,其他酒类,中信尼雅,600084.SH,-2.11,-0.14,7022811.0,0.98,0,10,行业板块,东财三级行业
BK1577.DC,20260319,啤酒,青岛啤酒,600600.SH,-1.56,-0.46,17881695.1,0.69,0,7,行业板块,东财三级行业
BK1576.DC,20260319,调味发酵品Ⅲ,莲花控股,600186.SH,-1.31,10.06,36298224.0,2.52,1,14,行业板块,东财三级行业
BK1575.DC,20260319,白酒Ⅲ,古井贡Ｂ,200596.SZ,-2.19,-0.59,290839905.6,0.67,0,21,行业板块,东财三级行业
BK1574.DC,20260319,油气开采Ⅲ,蓝焰控股,000968.SZ,7.21,9.98,208530113.6,7.56,4,0,行业板块,东财三级行业
BK1573.DC,20260319,油田服务,科力股份,920088.BJ,2.55,8.48,22287022.9,2.7,7,1,行业板块,东财三级行业
