序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002980,华盛昌,10.00941276550293,35.06,1497550880,3554731436.6400003,6640404669.6,42.7731819152832,7913743,092500,145154,11,3/3,3,电网设备
2,002490,山东墨龙,10.020661354064941,10.65,44869515,5769339300.0,8497085460.0,0.7777236104011536,421451385,092500,092500,0,6/3,2,专用设备
3,002207,准油股份,9.98389720916748,13.66,48480706,3562690554.0,3579676463.48,1.360789179801941,233120194,092500,092500,0,6/3,2,油服工程
4,000554,泰山石油,10.040567398071289,10.85,239850994,3934787187.45,5216607435.2,6.098735332489014,173262565,092500,093115,1,6/3,2,炼化及贸
5,601975,招商南油,9.955751419067383,4.97,1696385760,23261313049.66,23261312542.719997,7.3048095703125,558431486,092500,094037,2,6/3,2,航运港口
6,000407,胜利股份,9.94371509552002,5.86,166983108,5132083762.320001,5157296084.16,3.2537097930908203,208052789,092500,092500,0,1/1,1,燃气Ⅱ
7,600759,洲际油气,9.956075668334961,7.51,229070643,31119080207.8,31159059692.8,0.7361099123954773,1835516223,092501,092501,0,6/4,2,油气开采
8,600722,金牛化工,9.980620384216309,11.35,114871307,7721628322.599999,7721628368.0,1.4876564741134644,199852888,092502,092502,0,12/6,2,化学原料
9,600871,石化油服,9.915014266967773,3.88,177850773,52562407921.88,73553337548.8,0.3383611738681793,470246579,092502,092502,0,6/3,2,油服工程
10,600714,金瑞矿业,10.020242691040039,21.74,579395968,6264952175.0199995,6264952153.28,9.248826026916504,9987356,092502,093341,2,6/3,2,化学原料
11,603318,水发燃气,9.977324485778809,9.7,135289227,4452987962.799999,4452988001.599999,3.0381674766540527,237361492,092503,092503,0,3/3,3,燃气Ⅱ
12,000968,蓝焰控股,10.042283058166504,10.41,924523296,10071702690.6,10071702648.960001,9.217134475708008,80388716,093000,095012,9,6/3,2,油气开采
13,002957,科瑞技术,10.003473281860352,31.67,1635338000,13259559559.54,13300844634.880001,12.532862663269043,63260698,093000,140554,3,1/1,1,自动化设
14,603619,中曼石油,10.002500534057617,43.99,670895520,20338268899.39,20338269031.36,3.2994937896728516,259158594,093019,093246,2,6/3,2,油服工程
15,002828,贝肯能源,10.01344108581543,16.37,400197824,3168609530.75,3290167012.0,12.727256774902344,60275977,093027,093312,3,6/3,2,油服工程
16,002506,协鑫集成,10.021322250366211,5.16,3764114320,30157265389.32,30187633367.04,12.570905685424805,149649871,093112,100057,2,1/1,1,光伏设备
17,301302,华如科技,19.986541748046875,35.66,944418720,4956383400.0,5558145899.999999,19.083974838256836,129603595,093115,095254,1,2/2,2,军工电子
18,600108,亚盛集团,10.068650245666504,4.81,2249277600,9364661732.009998,9364661727.199999,24.091449737548828,22404499,093155,144540,15,3/3,3,种植业
19,001269,欧晶科技,10.01690673828125,26.03,163546919,5008473583.58,5008473583.58,3.28853440284729,55848380,093200,093200,0,1/1,1,光伏设备
20,603353,和顺石油,9.991368293762207,50.97,981540688,8686205460.0,8762048820.0,11.463383674621582,29876575,093208,102308,9,3/3,3,炼化及贸
21,600617,国新能源,10.119048118591309,3.7,218618125,6569507949.3,7138009571.200001,3.3618714809417725,74834868,093232,093305,1,1/1,1,燃气Ⅱ
