ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600135.SH,2026-03-30,9.5,11.06,9.3,11.06,10.05,1.01,10.0498,554483.26,564873.29
600135.SH,2026-03-27,9.82,10.18,9.34,10.05,10.38,-0.33,-3.1792,549722.06,530779.373
600135.SH,2026-03-26,11.37,12.59,10.31,10.38,11.45,-1.07,-9.345,672705.44,770631.44
600135.SH,2026-03-25,11.13,11.45,10.88,11.45,11.46,-0.01,-0.0873,485189.19,541628.072
600135.SH,2026-03-24,10.72,11.6,10.72,11.46,10.86,0.6,5.5249,620987.28,699351.686
600135.SH,2026-03-23,10.48,11.25,10.45,10.86,10.71,0.15,1.4006,511959.3,560357.46
600135.SH,2026-03-20,10.33,10.74,10.21,10.71,10.32,0.39,3.7791,354136.77,372896.2
600135.SH,2026-03-19,10.32,10.51,10.2,10.32,10.56,-0.24,-2.2727,208453.38,215170.935
600135.SH,2026-03-18,10.58,10.73,10.2,10.56,10.55,0.01,0.0948,298680.44,311683.999
600135.SH,2026-03-17,10.5,11.15,10.25,10.55,10.44,0.11,1.0536,422795.31,453047.069
600135.SH,2026-03-16,10.74,10.79,10.22,10.44,10.63,-0.19,-1.7874,336470.75,350177.783
600135.SH,2026-03-13,11.01,11.26,10.6,10.63,11.22,-0.59,-5.2585,455624.59,495060.728
600135.SH,2026-03-12,10.89,11.57,10.73,11.22,11.0,0.22,2.0,662614.04,739723.552
600135.SH,2026-03-11,10.73,11.02,10.63,11.0,11.06,-0.06,-0.5425,639456.25,693058.805
600135.SH,2026-03-10,10.4,11.06,10.14,11.06,10.05,1.01,10.0498,636772.26,678132.291
600135.SH,2026-03-09,9.18,10.05,9.18,10.05,9.14,0.91,9.9562,240045.53,235641.125
600135.SH,2026-03-06,8.93,9.18,8.91,9.14,8.93,0.21,2.3516,84723.0,77169.185
600135.SH,2026-03-05,8.94,9.05,8.86,8.93,8.88,0.05,0.5631,68314.2,61167.042
600135.SH,2026-03-04,8.7,8.9,8.63,8.88,8.76,0.12,1.3699,120357.67,105968.448
600135.SH,2026-03-03,9.26,9.33,8.75,8.76,9.25,-0.49,-5.2973,168546.37,151283.73
600135.SH,2026-03-02,9.3,9.58,9.19,9.25,9.5,-0.25,-2.6316,133964.0,124660.917
