ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600488.SH,2026-04-03,6.96,6.97,6.85,6.97,6.34,0.63,9.9369,937461.75,652492.185
600488.SH,2026-04-02,6.34,6.34,6.34,6.34,5.76,0.58,10.0694,148792.97,94334.743
600488.SH,2026-04-01,5.76,5.76,5.65,5.76,5.24,0.52,9.9237,368944.29,212279.37
600488.SH,2026-03-31,4.99,5.24,4.97,5.24,4.76,0.48,10.084,897795.95,466914.879
600488.SH,2026-03-30,4.33,4.76,4.33,4.76,4.33,0.43,9.9307,699067.03,326920.726
600488.SH,2026-03-27,3.94,4.33,3.92,4.33,3.94,0.39,9.8985,389815.26,166042.451
600488.SH,2026-03-26,3.94,4.03,3.93,3.94,3.96,-0.02,-0.5051,74528.01,29643.52
600488.SH,2026-03-25,3.9,3.97,3.86,3.96,3.89,0.07,1.7995,77864.0,30552.777
600488.SH,2026-03-24,3.77,3.89,3.75,3.89,3.71,0.18,4.8518,98446.01,37593.959
600488.SH,2026-03-23,3.96,3.96,3.68,3.71,4.0,-0.29,-7.25,162093.46,61802.092
600488.SH,2026-03-20,4.12,4.15,3.99,4.0,4.12,-0.12,-2.9126,91218.0,37012.348
600488.SH,2026-03-19,4.22,4.23,4.1,4.12,4.23,-0.11,-2.6005,83842.0,34857.576
600488.SH,2026-03-18,4.19,4.23,4.14,4.23,4.17,0.06,1.4388,81798.0,34192.075
600488.SH,2026-03-17,4.22,4.25,4.17,4.17,4.21,-0.04,-0.9501,60683.42,25580.192
