ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260330,综合Ⅲ,漳州发展,000753.SZ,1.19,10.08,21337708.5,2.29,10,7,行业板块,东财三级行业
BK1626.DC,20260330,稀土,北方稀土,600111.SH,-0.61,-0.34,28662099.2,1.86,0,4,行业板块,东财三级行业
BK1625.DC,20260330,钨,翔鹭钨业,002842.SZ,-0.22,2.02,25181948.1,5.31,2,2,行业板块,东财三级行业
BK1624.DC,20260330,其他小金属,西部材料,002149.SZ,1.4,7.48,44140590.4,5.36,11,3,行业板块,东财三级行业
BK1623.DC,20260330,钼,金钼股份,601958.SH,0.11,0.11,7504956.4,0.83,1,0,行业板块,东财三级行业
BK1622.DC,20260330,镍,华友钴业,603799.SH,-0.25,-0.25,11332946.7,3.16,0,1,行业板块,东财三级行业
BK1621.DC,20260330,锂,融捷股份,002192.SZ,0.36,5.1,44379665.6,8.13,4,4,行业板块,东财三级行业
BK1620.DC,20260330,钴,腾远钴业,301219.SZ,-1.24,-0.97,3118188.3,2.55,0,2,行业板块,东财三级行业
BK1619.DC,20260330,其他金属新材料,族兴新材,920078.BJ,2.29,18.56,20724018.0,2.43,17,3,行业板块,东财三级行业
BK1618.DC,20260330,磁性材料,龙磁科技,300835.SZ,-0.46,2.47,16984635.4,1.79,7,6,行业板块,东财三级行业
BK1617.DC,20260330,黄金,赤峰黄金,600988.SH,4.42,7.89,63161515.2,2.92,10,0,行业板块,东财三级行业
BK1616.DC,20260330,白银,湖南白银,002716.SZ,0.99,1.69,13213496.9,4.06,3,0,行业板块,东财三级行业
BK1615.DC,20260330,铜,众源新材,603527.SH,0.79,2.7,183953982.4,1.62,12,5,行业板块,东财三级行业
BK1614.DC,20260330,铅锌,中色股份,000758.SZ,1.13,2.13,23559319.9,2.93,10,2,行业板块,东财三级行业
BK1613.DC,20260330,铝,常铝股份,002160.SZ,5.52,10.02,114682366.4,4.44,29,1,行业板块,东财三级行业
BK1612.DC,20260330,农商行Ⅲ,沪农商行,601825.SH,-0.16,0.9,27192251.2,0.76,4,3,行业板块,东财三级行业
BK1611.DC,20260330,国有大型银行Ⅲ,工商银行,601398.SH,1.15,2.3,1051012761.6,0.14,6,0,行业板块,东财三级行业
BK1610.DC,20260330,股份制银行Ⅲ,华夏银行,600015.SH,0.1,0.84,296043384.0,0.3,4,4,行业板块,东财三级行业
BK1609.DC,20260330,城商行Ⅲ,厦门银行,601187.SH,0.62,3.91,125116627.2,0.51,11,1,行业板块,东财三级行业
BK1608.DC,20260330,中药Ⅲ,佛慈制药,002644.SZ,1.11,5.13,84135950.4,1.54,50,12,行业板块,东财三级行业
