ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605303.SH,2026-04-03,16.17,17.77,15.95,17.77,16.15,1.62,10.031,94152.68,160498.056
605303.SH,2026-04-02,16.66,17.01,15.85,16.15,16.68,-0.53,-3.1775,34785.0,56647.479
605303.SH,2026-04-01,16.76,17.5,16.43,16.68,16.37,0.31,1.8937,36800.0,61703.632
605303.SH,2026-03-31,17.09,17.18,16.36,16.37,17.09,-0.72,-4.213,40474.0,67422.502
605303.SH,2026-03-30,17.03,17.26,16.72,17.09,17.18,-0.09,-0.5239,24938.0,42473.357
605303.SH,2026-03-27,16.53,17.5,16.43,17.18,16.77,0.41,2.4448,32702.0,56049.456
605303.SH,2026-03-26,17.82,17.83,16.66,16.77,17.67,-0.9,-5.0934,50323.0,85634.429
605303.SH,2026-03-25,17.28,18.01,17.25,17.67,17.27,0.4,2.3162,33656.0,59621.448
605303.SH,2026-03-24,17.28,17.48,16.7,17.27,16.94,0.33,1.9481,46637.0,79911.548
605303.SH,2026-03-23,17.4,18.18,16.85,16.94,17.7,-0.76,-4.2938,60430.0,105714.528
605303.SH,2026-03-20,17.75,18.38,17.61,17.7,17.77,-0.07,-0.3939,42807.0,76941.838
605303.SH,2026-03-19,17.58,18.39,17.58,17.77,18.24,-0.47,-2.5768,51900.0,93270.643
605303.SH,2026-03-18,17.7,18.99,17.35,18.24,17.44,0.8,4.5872,89976.26,164211.887
605303.SH,2026-03-17,18.39,18.39,17.42,17.44,18.5,-1.06,-5.7297,43290.0,77280.592
605303.SH,2026-03-16,17.25,18.77,17.1,18.5,17.25,1.25,7.2464,74565.0,134127.094
605303.SH,2026-03-13,17.43,17.7,17.17,17.25,17.43,-0.18,-1.0327,26447.0,45979.151
605303.SH,2026-03-12,17.58,17.89,17.36,17.43,17.65,-0.22,-1.2465,23563.0,41404.686
605303.SH,2026-03-11,18.18,18.2,17.61,17.65,18.1,-0.45,-2.4862,24014.0,42726.76
605303.SH,2026-03-10,17.57,18.23,17.41,18.1,17.26,0.84,4.8667,30529.0,54566.533
605303.SH,2026-03-09,17.3,17.54,17.0,17.26,17.55,-0.29,-1.6524,25382.0,43670.335
605303.SH,2026-03-06,16.82,17.6,16.68,17.55,16.98,0.57,3.3569,27843.0,48200.7
605303.SH,2026-03-05,17.0,17.6,16.87,16.98,16.87,0.11,0.652,26857.0,46225.611
605303.SH,2026-03-04,16.8,17.01,16.41,16.87,16.94,-0.07,-0.4132,30524.0,51086.428
