ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000720.SZ,2026-03-31,4.6,5.46,4.59,5.46,4.96,0.5,10.0806,1937266.6,982547.642
000720.SZ,2026-03-30,5.5,5.79,4.96,4.96,5.51,-0.55,-9.9819,3044759.95,1605124.321
000720.SZ,2026-03-27,5.43,5.51,5.42,5.51,5.01,0.5,9.98,1337278.76,733060.156
000720.SZ,2026-03-26,5.01,5.01,5.01,5.01,4.55,0.46,10.1099,211711.72,106067.572
000720.SZ,2026-03-25,4.55,4.55,4.55,4.55,4.14,0.41,9.9034,179583.34,81710.42
000720.SZ,2026-03-24,4.14,4.14,4.14,4.14,3.76,0.38,10.1064,259138.01,107283.136
000720.SZ,2026-03-23,3.85,3.96,3.71,3.76,3.93,-0.17,-4.3257,553814.0,212073.361
000720.SZ,2026-03-20,3.96,4.23,3.88,3.93,3.96,-0.03,-0.7576,660843.6,265204.147
000720.SZ,2026-03-19,3.97,4.05,3.91,3.96,4.01,-0.05,-1.2469,372204.0,148519.663
000720.SZ,2026-03-18,3.99,4.14,3.97,4.01,3.99,0.02,0.5013,431237.0,173954.252
000720.SZ,2026-03-17,4.06,4.15,3.97,3.99,4.06,-0.07,-1.7241,412457.0,167046.145
000720.SZ,2026-03-16,4.19,4.2,4.03,4.06,4.16,-0.1,-2.4038,468684.0,191315.178
000720.SZ,2026-03-13,4.28,4.33,4.14,4.16,4.32,-0.16,-3.7037,699055.01,294788.469
000720.SZ,2026-03-12,4.38,4.55,4.31,4.32,4.4,-0.08,-1.8182,872779.0,382011.783
000720.SZ,2026-03-11,4.6,4.63,4.3,4.4,4.46,-0.06,-1.3453,1237916.94,548963.377
000720.SZ,2026-03-10,4.29,4.65,4.19,4.46,4.23,0.23,5.4374,1658383.04,735291.729
000720.SZ,2026-03-09,4.37,4.37,4.18,4.23,4.4,-0.17,-3.8636,1431196.16,606175.922
