ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260309,综合Ⅲ,东阳光,600673.SH,-0.52,5.82,25170586.3,3.08,4,15,行业板块,东财三级行业
BK1626.DC,20260309,稀土,中稀有色,600259.SH,-0.51,0.2,33482003.2,3.38,1,3,行业板块,东财三级行业
BK1625.DC,20260309,钨,章源钨业,002378.SZ,-1.81,0.47,32968716.8,7.07,1,3,行业板块,东财三级行业
BK1624.DC,20260309,其他小金属,东方钽业,000962.SZ,-1.59,2.32,48792638.4,5.43,2,13,行业板块,东财三级行业
BK1623.DC,20260309,钼,金钼股份,601958.SH,-2.4,-2.4,7740623.9,1.87,0,1,行业板块,东财三级行业
BK1622.DC,20260309,镍,华友钴业,603799.SH,-2.72,-2.72,12744112.0,2.97,0,1,行业板块,东财三级行业
BK1621.DC,20260309,锂,赣锋锂业,002460.SZ,1.41,2.84,39870091.2,3.85,7,1,行业板块,东财三级行业
BK1620.DC,20260309,钴,寒锐钴业,300618.SZ,-1.05,-0.41,3493025.5,3.85,0,2,行业板块,东财三级行业
BK1619.DC,20260309,其他金属新材料,隆达股份,688231.SH,-1.84,2.35,22167726.3,3.4,5,14,行业板块,东财三级行业
BK1618.DC,20260309,磁性材料,悦安新材,688786.SH,-2.67,-0.61,19089316.5,3.88,0,14,行业板块,东财三级行业
BK1617.DC,20260309,黄金,四川黄金,001337.SZ,2.09,6.84,71614281.6,3.38,7,3,行业板块,东财三级行业
BK1616.DC,20260309,白银,湖南白银,002716.SZ,-1.18,-0.81,16216540.5,6.19,0,3,行业板块,东财三级行业
BK1615.DC,20260309,铜,鹏欣资源,600490.SH,-2.62,-0.65,211789548.8,2.48,0,17,行业板块,东财三级行业
BK1614.DC,20260309,铅锌,国城矿业,000688.SZ,-0.89,1.48,26023560.1,3.54,3,9,行业板块,东财三级行业
BK1613.DC,20260309,铝,鼎胜新材,603876.SH,-0.15,4.14,126877332.8,3.02,16,15,行业板块,东财三级行业
BK1612.DC,20260309,农商行Ⅲ,张家港行,002839.SZ,-0.5,0.0,26279377.7,0.85,0,8,行业板块,东财三级行业
BK1611.DC,20260309,国有大型银行Ⅲ,建设银行,601939.SH,-0.17,1.0,1015274112.0,0.17,1,5,行业板块,东财三级行业
BK1610.DC,20260309,股份制银行Ⅲ,民生银行,600016.SH,-0.54,0.0,285683241.6,0.48,0,8,行业板块,东财三级行业
