序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000720,新能泰山,9.90338134765625,4.55,81710420,5717218648.05,5717218634.4,1.4291987419128418,232484825,092500,092500,0,2/2,2,电网设备
2,000722,湖南发展,9.99338150024414,16.62,102218584,7714310646.84,7714310746.56,1.3250514268875122,157263143,092500,092500,0,2/2,2,电力
3,002902,铭普光磁,10.004239082336426,25.95,186167895,4609556783.7,6098485158.9,4.0387372970581055,237657885,092500,092500,0,1/1,1,通信设备
4,600666,奥瑞德,10.0,5.28,347193008,12776295496.800001,14527642229.76,2.717478036880493,305817325,092502,092502,0,6/4,2,光学光电
5,600758,辽宁能源,10.0,5.72,931291008,7554652213.679999,7561939482.24,12.355921745300293,159400858,092503,093354,3,3/3,3,煤炭开采
6,000859,国风新材,10.0,10.34,225007044,9263867302.14,9264394652.48,2.4288673400878906,88545183,093000,093000,0,1/1,1,塑料
7,000889,中嘉博创,9.937888145446777,3.54,82760698,3079267853.04,3314470564.8,2.692436695098877,16019916,093000,093000,0,1/1,1,通信服务
8,000601,韶能股份,10.049627304077148,8.87,2043467744,9309303665.089998,9440725319.359999,22.251874923706055,169398044,093024,094724,4,14/7,2,电力
9,603601,再升科技,9.990999221801758,12.22,1320515168,13959406665.62,13959406726.720001,9.475963592529297,189541780,093053,093053,0,1/1,1,专业工程
10,002491,通鼎互联,10.038609504699707,11.4,465162880,13411745129.4,14021937254.4,3.508897304534912,196204191,093118,093118,0,2/2,2,通信设备
11,002192,融捷股份,10.0,64.46,2447530928,16702725523.88,16737374385.38,14.728178024291992,61030728,093127,112936,19,2/2,2,能源金属
12,603538,美诺华,9.98641300201416,32.38,939005760,7000422723.92,7138176310.320001,13.491965293884277,52724224,093149,142601,5,4/3,2,化学制药
13,600396,华电辽能,10.026385307312012,8.34,823882032,12282374853.78,12282374845.44,6.782968044281006,214651417,093311,093423,1,14/9,8,电力
14,002467,二六三,9.98509693145752,7.38,947534016,10087603602.66,10150244415.36,9.485255241394043,146514889,093312,093418,1,1/1,1,通信服务
15,301419,阿莱德,20.005481719970703,43.79,333151408,3473711814.0,5254800000.0,9.802558898925781,42840632,093315,093315,0,1/1,1,通信设备
16,605366,宏柏新材,10.00981330871582,11.21,312178976,8699831017.0,8699830972.16,3.6371192932128906,96079082,093339,093742,2,2/2,2,化学制品
17,000070,特发信息,9.986129760742188,15.86,634823824,14094446592.72,14279468020.48,4.579400539398193,115147311,093557,093557,0,1/1,1,通信设备
18,601133,柏诚股份,10.005684852600098,19.35,574057536,2890633496.4,10217156659.2,20.177978515625,21571380,093611,094605,1,1/1,1,专业工程
19,600589,大位科技,9.97038459777832,11.14,1189277200,16470154574.6,16539222552.320002,7.339529037475586,145212384,093643,093813,1,1/1,1,IT服务Ⅱ
20,603175,超颖电子,10.003737449645996,88.3,248590613,3885138896.4,38589689662.4,6.614433765411377,78904880,093804,093804,0,1/1,1,元件
21,600539,狮头股份,9.96592903137207,12.91,421081200,2969300000.0,2969300000.0,14.337396621704102,3600599,093856,145656,7,2/2,2,互联网电
22,603938,三孚股份,9.990999221801758,24.44,166786403,9351342706.68,9351342682.24,1.8246452808380127,36757760,093856,093856,0,1/1,1,化学原料
23,603618,杭电股份,9.985527992248535,22.8,1419438224,15763364044.800001,15763364044.800001,9.249347686767578,130105920,093937,093937,0,1/1,1,电网设备
24,605299,舒华体育,9.981401443481445,17.74,367514752,7259678518.0199995,7259678606.719999,5.272129535675049,64114080,094005,094005,0,8/4,2,文娱用品
25,603042,华脉科技,9.98964786529541,21.25,482210144,3412534100.0,3412534100.0,14.342503547668457,44975625,094027,101942,3,1/1,1,通信设备
