序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002980,华盛昌,10.010355949401855,31.87,64248645,3231297515.28,6036214969.2,1.988323450088501,185396076,092500,092500,0,2/2,2,电网设备
2,000035,中国天楹,9.985734939575195,7.71,963436192,17833428517.079998,18411732641.28,5.418145179748535,126965581,092500,144845,1,2/2,2,环境治理
3,002207,准油股份,10.008857727050781,12.42,99558993,3239283798.0,3254727794.7599998,3.0734877586364746,153245387,092500,092500,0,1/1,1,油服工程
4,301302,华如科技,19.98385238647461,29.72,203468856,4130782800.0,4632307800.0,4.925673007965088,313885016,092500,092500,0,1/1,1,军工电子
5,002490,山东墨龙,10.0,9.68,286076928,5243868960.0,7723172512.0,5.456499099731445,168665278,092500,093148,1,1/1,1,专用设备
6,000554,泰山石油,10.044642448425293,9.86,301818432,3575760522.4199996,4740622056.32,8.48099136352539,178635375,092500,093430,1,1/1,1,炼化及贸
7,002109,兴化股份,10.0,4.84,301600160,6177146078.84,6177146103.04,4.893823146820068,29581112,092500,093742,1,1/1,1,化学原料
8,300164,通源石油,19.97345733642578,18.08,1439667024,10544450866.24,10639331921.919998,13.68636703491211,260002965,092500,093857,4,1/1,1,油服工程
9,601975,招商南油,9.975668907165527,4.52,3056821728,21155157944.559998,21155157483.519997,14.91936206817627,277995191,092501,112201,1,1/1,1,航运港口
10,600108,亚盛集团,10.075567245483398,4.37,307450720,8508019078.77,8508019074.400001,3.6136581897735596,207905564,092502,092502,0,2/2,2,种植业
11,600722,金牛化工,10.021322250366211,10.32,210935434,7020899056.320001,7020899097.6,3.0043935775756836,290624822,092502,092502,0,1/1,1,化学原料
12,600759,洲际油气,9.98389720916748,6.83,352246432,28301373877.4,28337733382.4,1.2446266412734985,1735517226,092502,092502,0,5/3,1,油气开采
13,600871,石化油服,9.968847274780273,3.53,838502896,47820953599.03,66918371532.799995,1.7569293975830078,255342550,092502,093917,3,1/1,1,油服工程
14,603619,中曼石油,10.013755798339844,39.99,1037814496,18488915055.39,18488915175.36,5.623593330383301,214318407,092502,094747,2,1/1,1,油服工程
15,600339,中油工程,9.905660629272461,4.66,1406249712,26017467214.86,26017467443.2,5.4799485206604,149762879,092502,104432,2,1/1,1,油服工程
16,600714,金瑞矿业,10.022271156311035,19.76,81403355,5694363154.4800005,5694363134.72,1.4295427799224854,186182612,092503,092503,0,1/1,1,化学原料
17,600367,红星发展,9.995328903198242,23.55,601130128,7582468436.1,8033632600.8,7.936014652252197,120258075,092503,093803,2,1/1,1,化学原料
18,601808,中海油服,10.017783164978027,18.56,2760466272,54946286080.0,88560746332.15999,5.05088996887207,12865792,092504,133916,5,1/1,1,油服工程
19,600026,中远海能,10.00971794128418,22.64,4788336384,78668937582.8,123732600360.96,6.289147853851318,157102106,092504,135310,2,1/1,1,航运港口
20,603488,展鹏科技,9.979839324951172,10.91,67982828,3185615700.4,3185615787.68,2.1340560913085938,50362305,092505,092505,0,1/1,1,专用设备
21,002828,贝肯能源,9.977827072143555,14.88,406168432,2880202188.0,2990695488.0,14.170851707458496,58244337,093000,093818,1,1/1,1,油服工程
22,002843,泰嘉股份,10.011872291564941,27.8,650418160,6972033223.6,6998304223.6,9.523787498474121,184258650,093027,093027,0,6/4,3,通用设备
23,603353,和顺石油,9.992878913879395,46.34,938239584,7897170120.000001,7966124040.000001,12.057905197143555,32835133,093031,130701,3,2/2,2,炼化及贸
24,600452,涪陵电力,10.015060424804688,14.61,1215086112,22448873564.94,22448873477.28,5.452250957489014,38465909,093034,094310,4,2/2,2,电力
25,000070,特发信息,10.0167875289917,19.66,948367184,17471426230.32,17700778138.88,5.516498565673828,162687541,093206,093424,1,1/1,1,通信设备
26,603318,水发燃气,9.975062370300293,8.82,688337104,4049005549.6800003,4049005584.96,17.45774269104004,62985384,093209,111215,1,2/2,2,燃气Ⅱ
27,600498,烽火通信,10.009698867797852,56.71,1983503472,72113652769.76,77021678244.48,2.788100481033325,503788388,093229,093229,0,2/2,2,通信设备
28,600301,华锡有色,10.006176948547363,71.24,703573232,19614913914.44,45064106705.28,3.622185707092285,61544236,093426,094620,5,4/3,2,小金属
29,002413,雷科防务,10.020174980163574,16.36,2914468832,21193242930.92,21584414179.2,14.077600479125977,463026756,093800,093800,0,1/1,1,军工电子
30,000510,新金路,9.995100975036621,22.45,1447612288,13619625141.65,14559803460.8,10.768142700195312,91492909,094009,102648,7,2/2,2,化学原料
31,603897,长城科技,9.986945152282715,33.7,622999680,6956882449.700001,6956882449.700001,9.146512985229492,39715450,094051,102115,5,2/2,2,电网设备
32,002536,飞龙股份,10.0,34.65,2370676128,18864055980.0,19916331019.2,12.763379096984863,124771774,094254,112418,2,1/1,1,汽车零部
33,301213,观想科技,20.005327224731445,90.1,537003232,4659165514.9,7207999909.9,11.900992393493652,127001175,094315,094315,0,1/1,1,军工电子
34,000890,法尔胜,10.05221939086914,8.43,1006456256,3536309517.7799997,3536418450.24,29.543115615844727,34897662,094327,104542,3,6/5,1,环保设备
