ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260323,综合Ⅲ,粤桂股份,000833.SZ,-5.44,1.21,20706426.6,2.54,1,19,行业板块,东财三级行业
BK1626.DC,20260323,稀土,中国稀土,000831.SZ,-2.25,-1.01,27598449.6,3.53,0,4,行业板块,东财三级行业
BK1625.DC,20260323,钨,厦门钨业,600549.SH,-4.81,-4.34,23945192.4,4.42,0,4,行业板块,东财三级行业
BK1624.DC,20260323,其他小金属,西部材料,002149.SZ,-6.01,-2.64,40113454.4,4.87,0,15,行业板块,东财三级行业
BK1623.DC,20260323,钼,金钼股份,601958.SH,-6.81,-6.81,6962540.3,1.48,0,1,行业板块,东财三级行业
BK1622.DC,20260323,镍,华友钴业,603799.SH,-3.1,-3.1,10551495.0,3.42,0,1,行业板块,东财三级行业
BK1621.DC,20260323,锂,永兴材料,002756.SZ,-0.31,3.9,37094563.2,5.22,5,3,行业板块,东财三级行业
BK1620.DC,20260323,钴,寒锐钴业,300618.SZ,-5.72,-5.37,2933382.2,3.56,0,2,行业板块,东财三级行业
BK1619.DC,20260323,其他金属新材料,深圳新星,603978.SH,-5.53,1.39,19100037.7,2.99,1,19,行业板块,东财三级行业
BK1618.DC,20260323,磁性材料,金力永磁,300748.SZ,-6.24,-4.52,16106484.7,2.9,0,14,行业板块,东财三级行业
BK1617.DC,20260323,黄金,山东黄金,600547.SH,-8.22,-6.68,56558731.2,3.19,0,10,行业板块,东财三级行业
BK1616.DC,20260323,白银,兴业银锡,000426.SZ,-9.13,-8.33,11971469.4,7.75,0,3,行业板块,东财三级行业
BK1615.DC,20260323,铜,紫金矿业,601899.SH,-6.51,-3.38,172296296.0,2.96,0,17,行业板块,东财三级行业
BK1614.DC,20260323,铅锌,国城矿业,000688.SZ,-5.61,6.54,20787705.2,4.01,1,11,行业板块,东财三级行业
BK1613.DC,20260323,铝,鼎胜新材,603876.SH,-5.28,-0.5,102802436.8,2.8,0,30,行业板块,东财三级行业
BK1612.DC,20260323,农商行Ⅲ,沪农商行,601825.SH,-4.45,-1.82,26355919.8,1.68,0,10,行业板块,东财三级行业
BK1611.DC,20260323,国有大型银行Ⅲ,中国银行,601988.SH,-3.16,-2.18,1015677030.4,0.23,0,6,行业板块,东财三级行业
BK1610.DC,20260323,股份制银行Ⅲ,中信银行,601998.SH,-2.96,-1.13,287424227.2,0.68,0,9,行业板块,东财三级行业
BK1609.DC,20260323,城商行Ⅲ,上海银行,601229.SH,-3.9,-2.43,121226326.4,1.1,0,17,行业板块,东财三级行业
BK1608.DC,20260323,中药Ⅲ,健民集团,600976.SH,-5.87,5.25,80940603.2,2.28,1,66,行业板块,东财三级行业
BK1607.DC,20260323,医药流通,开开Ｂ股,900943.SH,-4.95,-0.7,23867652.7,1.82,0,24,行业板块,东财三级行业
BK1606.DC,20260323,线下药店,益丰药房,603939.SH,-5.8,-3.93,8165319.3,1.39,0,8,行业板块,东财三级行业
BK1605.DC,20260323,医疗设备,联影医疗,688271.SH,-6.21,-2.0,59046273.6,2.43,0,43,行业板块,东财三级行业
BK1604.DC,20260323,医疗耗材,康拓医疗,688314.SH,-5.48,1.73,43406926.4,2.67,2,51,行业板块,东财三级行业
BK1603.DC,20260323,体外诊断,东方生物,688298.SH,-6.09,-0.13,25410002.3,3.2,0,40,行业板块,东财三级行业
BK1602.DC,20260323,诊断服务,贝瑞基因,000710.SZ,-7.44,-6.57,4563722.2,3.34,0,5,行业板块,东财三级行业
BK1601.DC,20260323,医院,爱尔眼科,300015.SZ,-5.76,-3.81,21323092.9,2.32,0,15,行业板块,东财三级行业
BK1600.DC,20260323,医疗研发外包,海特生物,300683.SZ,-5.57,1.56,57358902.4,2.45,1,28,行业板块,东财三级行业
BK1599.DC,20260323,其他医疗服务,*ST生物,000504.SZ,-3.94,0.1,2384515.9,2.85,1,4,行业板块,东财三级行业
BK1598.DC,20260323,疫苗,万泰生物,603392.SH,-6.22,-1.79,22719490.2,1.67,0,14,行业板块,东财三级行业
BK1597.DC,20260323,血液制品,上海莱士,002252.SZ,-5.65,-4.49,9954122.2,0.98,0,6,行业板块,东财三级行业
BK1596.DC,20260323,其他生物制品,中源协和,600645.SH,-5.88,-1.9,59368350.4,1.99,0,38,行业板块,东财三级行业
BK1595.DC,20260323,原料药,博瑞医药,688166.SH,-5.96,-0.69,31881308.8,2.77,0,46,行业板块,东财三级行业
BK1594.DC,20260323,化学制剂,华纳药厂,688799.SH,-5.57,0.41,193265352.0,2.18,2,112,行业板块,东财三级行业
BK1593.DC,20260323,通信终端及配件,瑞斯康达,603803.SH,-5.34,10.02,37763014.4,5.11,2,26,行业板块,东财三级行业
BK1592.DC,20260323,通信线缆及配套,长飞光纤,601869.SH,-6.27,-2.2,46240377.6,5.36,0,12,行业板块,东财三级行业
BK1591.DC,20260323,通信网络设备及器件,光库科技,300620.SZ,-6.14,2.51,213510308.8,4.77,1,35,行业板块,东财三级行业
BK1590.DC,20260323,其他通信设备,震有科技,688418.SH,-6.38,-2.79,8863786.4,3.01,0,14,行业板块,东财三级行业
BK1589.DC,20260323,通信应用增值服务,润泽科技,300442.SZ,-5.58,-0.77,28957547.2,6.13,0,17,行业板块,东财三级行业
BK1588.DC,20260323,通信工程及服务,立昂技术,300603.SZ,-6.42,-1.95,10452585.0,5.28,0,20,行业板块,东财三级行业
BK1587.DC,20260323,电信运营商,中国电信,601728.SH,-3.44,-2.53,268924000.0,0.55,0,3,行业板块,东财三级行业
BK1586.DC,20260323,软饮料,东鹏饮料,605499.SH,-5.17,-3.78,19572574.7,1.97,0,8,行业板块,东财三级行业
BK1585.DC,20260323,乳品,皇氏集团,002329.SZ,-4.93,2.14,25116343.8,1.93,1,18,行业板块,东财三级行业
BK1584.DC,20260323,熟食,煌上煌,002695.SZ,-5.56,-1.7,2209571.4,1.58,0,3,行业板块,东财三级行业
BK1583.DC,20260323,零食,万辰集团,300972.SZ,-4.51,-3.41,9779387.1,2.2,0,11,行业板块,东财三级行业
BK1582.DC,20260323,烘焙食品,桃李面包,603866.SH,-5.42,-2.77,4296467.6,1.93,0,9,行业板块,东财三级行业
BK1581.DC,20260323,预加工食品,安井食品,603345.SH,-4.79,-0.6,6413290.3,2.77,0,11,行业板块,东财三级行业
BK1580.DC,20260323,肉制品,华统股份,002840.SZ,-3.99,6.99,12456690.9,2.73,1,6,行业板块,东财三级行业
BK1579.DC,20260323,保健品,西王食品,000639.SZ,-6.61,-4.63,5630842.3,3.3,0,9,行业板块,东财三级行业
BK1578.DC,20260323,其他酒类,*ST椰岛,600238.SH,-4.67,-1.56,6547321.6,1.55,0,10,行业板块,东财三级行业
BK1577.DC,20260323,啤酒,青岛啤酒,600600.SH,-5.12,-2.83,17077785.4,1.39,0,7,行业板块,东财三级行业
BK1576.DC,20260323,调味发酵品Ⅲ,ST加加,002650.SZ,-4.51,-3.03,34361100.8,2.26,0,15,行业板块,东财三级行业
BK1575.DC,20260323,白酒Ⅲ,五 粮 液,000858.SZ,-3.89,-2.12,281260190.4,0.97,1,20,行业板块,东财三级行业
BK1574.DC,20260323,油气开采Ⅲ,蓝焰控股,000968.SZ,3.49,6.8,208184089.6,5.7,4,0,行业板块,东财三级行业
