ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600249.SH,2026-04-01,7.01,7.01,7.01,7.01,6.37,0.64,10.0471,71545.52,50153.41
600249.SH,2026-03-27,5.99,6.5,5.89,6.37,6.01,0.36,5.99,485050.02,302955.484
600249.SH,2026-03-26,5.79,6.17,5.79,6.01,5.76,0.25,4.3403,380438.01,228665.863
600249.SH,2026-03-25,5.66,5.77,5.6,5.76,5.64,0.12,2.1277,101523.13,57874.261
600249.SH,2026-03-24,5.47,5.66,5.35,5.64,5.3,0.34,6.4151,170024.5,93770.675
600249.SH,2026-03-23,5.8,5.8,5.29,5.3,5.88,-0.58,-9.8639,273094.0,150654.912
600249.SH,2026-03-20,6.0,6.07,5.85,5.88,5.99,-0.11,-1.8364,119881.5,71293.103
600249.SH,2026-03-19,6.04,6.1,5.95,5.99,6.08,-0.09,-1.4803,128850.95,77415.254
600249.SH,2026-03-18,6.0,6.09,5.95,6.08,6.0,0.08,1.3333,113097.33,68279.17
600249.SH,2026-03-17,6.13,6.18,5.99,6.0,6.14,-0.14,-2.2801,174779.1,105851.197
600249.SH,2026-03-16,5.86,6.25,5.83,6.14,5.86,0.28,4.7782,357993.62,218803.782
600249.SH,2026-03-13,5.78,5.91,5.76,5.86,5.79,0.07,1.209,96268.85,56378.447
600249.SH,2026-03-12,5.84,5.86,5.76,5.79,5.82,-0.03,-0.5155,63871.01,37123.834
600249.SH,2026-03-11,5.85,5.88,5.79,5.82,5.86,-0.04,-0.6826,55147.13,32135.212
600249.SH,2026-03-10,5.84,5.88,5.8,5.86,5.8,0.06,1.0345,59045.0,34496.98
600249.SH,2026-03-09,5.8,5.87,5.75,5.8,5.86,-0.06,-1.0239,81900.02,47513.978
600249.SH,2026-03-06,5.7,5.86,5.68,5.86,5.7,0.16,2.807,93774.51,54339.381
600249.SH,2026-03-05,5.66,5.75,5.63,5.7,5.58,0.12,2.1505,97228.75,55321.092
600249.SH,2026-03-04,5.67,5.7,5.55,5.58,5.72,-0.14,-2.4476,123670.61,69531.416
600249.SH,2026-03-03,5.78,5.85,5.71,5.72,5.79,-0.07,-1.209,120576.21,69829.241
600249.SH,2026-03-02,5.93,5.96,5.75,5.79,5.99,-0.2,-3.3389,173294.0,100922.631
