ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1579.DC,20260401,保健品,仙乐健康,300791.SZ,0.69,3.05,5918423.0,4.18,8,1,行业板块,东财三级行业
BK1578.DC,20260401,其他酒类,会稽山,601579.SH,2.11,9.98,6971312.7,1.42,9,1,行业板块,东财三级行业
BK1577.DC,20260401,啤酒,青岛啤酒,600600.SH,-0.18,2.33,17881944.6,0.95,5,2,行业板块,东财三级行业
BK1576.DC,20260401,调味发酵品Ⅲ,莲花控股,600186.SH,1.23,3.24,38401468.8,2.42,12,2,行业板块,东财三级行业
BK1575.DC,20260401,白酒Ⅲ,迎驾贡酒,603198.SH,1.06,4.83,290309432.0,0.9,20,1,行业板块,东财三级行业
BK1574.DC,20260401,油气开采Ⅲ,海南矿业,601969.SH,-2.12,-0.97,192717464.0,3.77,0,5,行业板块,东财三级行业
BK1573.DC,20260401,油田服务,石化油服,600871.SH,-2.18,0.35,20119511.8,1.12,1,7,行业板块,东财三级行业
BK1572.DC,20260401,油气及炼化工程,博迈科,603727.SH,1.39,10.01,8325807.7,2.85,4,2,行业板块,东财三级行业
BK1571.DC,20260401,油品石化贸易,和顺石油,603353.SH,0.32,3.49,7095610.8,3.15,5,2,行业板块,东财三级行业
BK1570.DC,20260401,其他石化,齐翔腾达,002408.SZ,1.61,9.97,12513553.3,2.8,12,2,行业板块,东财三级行业
BK1569.DC,20260401,炼油化工,恒逸石化,000703.SZ,1.24,4.02,336505884.8,0.22,8,2,行业板块,东财三级行业
BK1568.DC,20260401,人力资源服务,科锐国际,300662.SZ,2.04,3.63,2573150.1,0.81,3,0,行业板块,东财三级行业
BK1567.DC,20260401,其他专业服务,零点有数,301169.SZ,1.36,3.91,1414340.3,1.3,3,0,行业板块,东财三级行业
BK1566.DC,20260401,检测服务,胜科纳米,688757.SH,1.69,5.96,15292144.1,2.0,22,1,行业板块,东财三级行业
BK1565.DC,20260401,会展服务,兰生股份,600826.SH,1.68,2.59,1541019.9,1.01,3,0,行业板块,东财三级行业
BK1564.DC,20260401,体育Ⅲ,中体产业,600158.SH,-5.99,-4.59,1342087.4,12.75,0,2,行业板块,东财三级行业
BK1563.DC,20260401,自然景区,九华旅游,603199.SH,2.31,5.5,7124635.0,2.61,12,1,行业板块,东财三级行业
BK1562.DC,20260401,人工景区,大连圣亚,600593.SH,1.22,4.31,4008284.4,1.4,3,2,行业板块,东财三级行业
BK1561.DC,20260401,旅游综合,岭南控股,000524.SZ,2.09,6.05,4847376.7,2.8,7,1,行业板块,东财三级行业
BK1560.DC,20260401,酒店,锦江酒店,600754.SH,4.16,8.67,7321311.5,2.59,6,0,行业板块,东财三级行业
BK1559.DC,20260401,餐饮,同庆楼,605108.SH,2.14,1.87,1423438.8,1.87,4,0,行业板块,东财三级行业
BK1558.DC,20260401,学历教育,凯文教育,002659.SZ,1.3,1.56,1279502.3,1.08,2,0,行业板块,东财三级行业
BK1557.DC,20260401,培训教育,中国高科,600730.SH,1.61,4.29,5498792.7,1.57,10,1,行业板块,东财三级行业
BK1556.DC,20260401,教育运营及其他,博瑞传播,600880.SH,0.45,1.04,2150403.0,1.56,2,0,行业板块,东财三级行业
BK1555.DC,20260401,专业连锁Ⅲ,吉峰科技,300022.SZ,0.98,2.14,5493832.9,1.94,5,2,行业板块,东财三级行业
BK1554.DC,20260401,商业物业经营,小商品城,600415.SH,0.62,2.63,20379266.2,0.75,10,5,行业板块,东财三级行业
BK1553.DC,20260401,多业态零售,新华百货,600785.SH,0.42,1.89,8100673.1,1.27,12,3,行业板块,东财三级行业
BK1552.DC,20260401,超市,家家悦,603708.SH,1.02,3.52,8096519.5,1.03,6,1,行业板块,东财三级行业
BK1551.DC,20260401,百货,友阿股份,002277.SZ,0.39,1.75,14348640.3,1.61,14,5,行业板块,东财三级行业
BK1550.DC,20260401,贸易Ⅲ,凯瑞德,002072.SZ,0.64,4.44,16408720.3,2.61,10,4,行业板块,东财三级行业
BK1549.DC,20260401,旅游零售Ⅲ,中国中免,601888.SH,1.34,1.45,15919346.3,1.03,2,0,行业板块,东财三级行业
BK1548.DC,20260401,综合电商,国联股份,603613.SH,0.35,2.54,3263228.7,0.57,2,1,行业板块,东财三级行业
BK1547.DC,20260401,跨境电商,华凯易佰,300592.SZ,1.66,6.28,4887128.8,3.56,6,1,行业板块,东财三级行业
BK1546.DC,20260401,电商服务,若羽臣,003010.SZ,1.88,7.59,4429574.2,2.62,6,2,行业板块,东财三级行业
BK1545.DC,20260401,特种纸,安妮股份,002235.SZ,1.52,4.38,7377863.7,2.4,12,1,行业板块,东财三级行业
BK1544.DC,20260401,大宗用纸,岳阳林纸,600963.SH,0.29,2.33,10821844.8,1.27,9,2,行业板块,东财三级行业
BK1543.DC,20260401,娱乐用品,群兴玩具,002575.SZ,0.84,5.62,8582195.9,5.03,15,3,行业板块,东财三级行业
BK1542.DC,20260401,文化用品,齐心集团,002301.SZ,2.04,2.91,4353784.8,1.07,5,0,行业板块,东财三级行业
BK1541.DC,20260401,卫浴制品,松霖科技,603992.SH,1.79,6.02,3971940.8,1.44,6,1,行业板块,东财三级行业
BK1540.DC,20260401,其他家居用品,张小泉,301055.SZ,1.55,9.42,20410596.4,2.09,18,6,行业板块,东财三级行业
BK1539.DC,20260401,定制家居,我乐家居,603326.SH,1.1,4.62,9938107.6,1.42,12,3,行业板块,东财三级行业
BK1538.DC,20260401,瓷砖地板,天振股份,301356.SZ,1.56,2.46,7595332.6,1.32,11,1,行业板块,东财三级行业
