ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603248.SH,2026-04-01,27.7,30.07,27.7,30.07,27.34,2.73,9.9854,176120.71,521539.976
603248.SH,2026-03-31,28.71,28.96,27.31,27.34,28.56,-1.22,-4.2717,129633.06,360493.793
603248.SH,2026-03-30,29.42,29.66,28.23,28.56,29.04,-0.48,-1.6529,208421.18,599683.743
603248.SH,2026-03-27,26.0,29.04,25.71,29.04,26.4,2.64,10.0,155653.08,437473.793
603248.SH,2026-03-26,27.8,27.9,26.28,26.4,28.2,-1.8,-6.383,165629.72,446511.206
603248.SH,2026-03-25,27.67,28.81,27.6,28.2,28.2,0.0,0.0,232670.42,657987.126
603248.SH,2026-03-24,27.68,28.2,26.1,28.2,27.37,0.83,3.0325,250661.94,687743.811
603248.SH,2026-03-23,26.99,28.78,26.96,27.37,28.8,-1.43,-4.9653,212786.59,586811.455
603248.SH,2026-03-20,29.94,31.15,27.8,28.8,29.75,-0.95,-3.1933,329268.93,957587.039
603248.SH,2026-03-19,31.75,32.3,29.47,29.75,32.39,-2.64,-8.1507,358333.56,1096652.874
603248.SH,2026-03-18,35.14,36.5,31.55,32.39,34.12,-1.73,-5.0703,455912.24,1548566.723
603248.SH,2026-03-17,30.8,34.12,30.49,34.12,31.02,3.1,9.9936,304292.46,999353.525
603248.SH,2026-03-16,28.88,31.02,27.7,31.02,28.2,2.82,10.0,401064.55,1179755.409
603248.SH,2026-03-13,25.65,28.2,25.37,28.2,25.64,2.56,9.9844,321571.86,884247.556
603248.SH,2026-03-12,24.72,25.96,24.53,25.64,24.28,1.36,5.6013,241908.76,612417.672
603248.SH,2026-03-11,23.57,24.43,23.48,24.28,23.56,0.72,3.056,119158.67,287008.128
603248.SH,2026-03-10,23.5,23.68,23.42,23.56,23.5,0.06,0.2553,43865.21,103200.587
603248.SH,2026-03-09,23.01,23.56,22.86,23.5,23.29,0.21,0.9017,47822.38,111266.175
603248.SH,2026-03-06,23.05,23.36,22.91,23.29,23.08,0.21,0.9099,38775.65,90128.689
603248.SH,2026-03-05,22.6,23.38,22.6,23.08,22.53,0.55,2.4412,54189.36,124913.287
603248.SH,2026-03-04,22.0,22.85,21.9,22.53,22.35,0.18,0.8054,43817.47,98643.828
603248.SH,2026-03-03,23.22,23.81,22.26,22.35,23.24,-0.89,-3.8296,76346.79,176589.538
603248.SH,2026-03-02,23.29,23.64,23.02,23.24,23.7,-0.46,-1.9409,50104.16,116425.214
