ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603687.SH,2026-04-01,15.28,16.39,15.28,16.39,14.9,1.49,10.0,781117.96,1266264.272
603687.SH,2026-03-31,15.83,16.2,14.73,14.9,16.12,-1.22,-7.5682,840771.14,1286941.142
603687.SH,2026-03-30,14.37,16.26,14.07,16.12,15.63,0.49,3.135,1039494.8,1561163.881
603687.SH,2026-03-27,15.99,16.47,14.85,15.63,16.5,-0.87,-5.2727,1150724.23,1778443.827
603687.SH,2026-03-26,15.22,16.5,14.81,16.5,15.0,1.5,10.0,1007492.93,1589996.065
603687.SH,2026-03-25,14.99,15.33,14.08,15.0,14.75,0.25,1.6949,1114531.36,1648182.516
603687.SH,2026-03-24,15.0,15.43,13.56,14.75,14.73,0.02,0.1358,1474710.22,2146808.315
603687.SH,2026-03-23,14.73,14.73,13.11,14.73,13.39,1.34,10.0075,1670972.57,2404826.713
603687.SH,2026-03-20,13.39,13.39,13.39,13.39,12.17,1.22,10.0247,46402.18,62132.519
603687.SH,2026-03-19,12.17,12.17,12.17,12.17,11.06,1.11,10.0362,49106.31,59762.379
603687.SH,2026-03-18,10.03,11.06,10.02,11.06,10.05,1.01,10.0498,358435.23,382957.488
603687.SH,2026-03-17,9.96,10.3,9.96,10.05,9.95,0.1,1.005,173165.72,175365.27
603687.SH,2026-03-16,9.94,10.13,9.76,9.95,9.91,0.04,0.4036,146528.0,145902.781
603687.SH,2026-03-13,10.11,10.14,9.87,9.91,10.05,-0.14,-1.393,128438.0,128600.717
603687.SH,2026-03-12,10.03,10.17,9.99,10.05,10.03,0.02,0.1994,113430.0,114251.059
603687.SH,2026-03-11,10.26,10.26,9.93,10.03,10.17,-0.14,-1.3766,147870.0,148003.683
603687.SH,2026-03-10,10.11,10.35,10.01,10.17,10.15,0.02,0.197,174321.0,177271.194
603687.SH,2026-03-09,10.47,10.47,9.81,10.15,10.62,-0.47,-4.4256,227122.0,229640.894
603687.SH,2026-03-06,10.5,10.77,10.45,10.62,10.54,0.08,0.759,131882.0,140436.099
603687.SH,2026-03-05,10.59,10.71,10.5,10.54,10.43,0.11,1.0547,86682.15,91840.267
603687.SH,2026-03-04,10.31,10.66,10.29,10.43,10.5,-0.07,-0.6667,93228.76,97780.816
603687.SH,2026-03-03,11.02,11.11,10.41,10.5,10.98,-0.48,-4.3716,170497.34,181535.471
