ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000993.SZ,2026-03-31,14.84,16.31,14.7,16.31,14.83,1.48,9.9798,380515.51,608092.071
000993.SZ,2026-03-30,15.69,15.72,14.64,14.83,16.27,-1.44,-8.8506,637358.22,953554.684
000993.SZ,2026-03-27,16.1,16.42,14.92,16.27,16.0,0.27,1.6875,841104.71,1334792.716
000993.SZ,2026-03-26,16.29,17.27,15.96,16.0,15.7,0.3,1.9108,1089122.08,1807146.147
000993.SZ,2026-03-25,14.27,15.7,14.16,15.7,14.27,1.43,10.021,621194.46,932591.152
000993.SZ,2026-03-24,13.8,14.27,13.57,14.27,13.65,0.62,4.5421,343163.49,481283.632
000993.SZ,2026-03-23,13.8,14.5,13.4,13.65,14.2,-0.55,-3.8732,321508.51,448289.928
000993.SZ,2026-03-20,14.0,14.55,13.7,14.2,14.16,0.04,0.2825,354577.69,502508.049
000993.SZ,2026-03-19,14.0,14.51,13.85,14.16,14.42,-0.26,-1.8031,301178.39,428550.206
000993.SZ,2026-03-18,13.86,15.13,13.8,14.42,13.75,0.67,4.8727,462230.52,675750.395
000993.SZ,2026-03-17,14.17,14.26,13.73,13.75,14.16,-0.41,-2.8955,216066.55,301356.435
000993.SZ,2026-03-16,14.43,14.56,13.98,14.16,14.15,0.01,0.0707,192605.08,272717.452
000993.SZ,2026-03-13,14.55,14.56,13.92,14.15,14.57,-0.42,-2.8826,307170.03,435655.48
000993.SZ,2026-03-12,14.93,15.13,14.4,14.57,15.09,-0.52,-3.446,347509.15,513331.031
000993.SZ,2026-03-11,14.85,15.09,14.4,15.09,14.85,0.24,1.6162,431739.66,639232.537
000993.SZ,2026-03-10,15.1,15.2,14.65,14.85,15.25,-0.4,-2.623,464473.59,688640.939
000993.SZ,2026-03-09,14.1,15.91,14.05,15.25,14.46,0.79,5.4633,677020.15,1017692.48
000993.SZ,2026-03-06,14.38,14.76,14.13,14.46,14.74,-0.28,-1.8996,384703.03,556854.59
000993.SZ,2026-03-05,14.3,15.15,14.27,14.74,14.29,0.45,3.1491,666153.62,980448.16
000993.SZ,2026-03-04,13.61,14.5,13.55,14.29,14.04,0.25,1.7806,467624.94,664753.93
000993.SZ,2026-03-03,14.0,14.7,13.9,14.04,14.0,0.04,0.2857,573407.3,815561.599
000993.SZ,2026-03-02,14.33,14.63,13.89,14.0,14.43,-0.43,-2.9799,597601.6,846242.835
