ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260327,综合Ⅲ,粤桂股份,000833.SZ,1.13,3.77,21180265.2,1.68,16,3,行业板块,东财三级行业
BK1626.DC,20260327,稀土,中稀有色,600259.SH,3.47,4.73,28798446.4,2.82,4,0,行业板块,东财三级行业
BK1625.DC,20260327,钨,翔鹭钨业,002842.SZ,5.35,9.99,25385374.8,6.76,4,0,行业板块,东财三级行业
BK1624.DC,20260327,其他小金属,云南锗业,002428.SZ,3.16,10.0,42976440.0,5.13,15,0,行业板块,东财三级行业
BK1623.DC,20260327,钼,金钼股份,601958.SH,3.07,3.07,7498503.2,1.15,1,0,行业板块,东财三级行业
BK1622.DC,20260327,镍,华友钴业,603799.SH,2.97,2.97,11361397.7,4.18,1,0,行业板块,东财三级行业
BK1621.DC,20260327,锂,融捷股份,002192.SZ,8.88,10.0,44336824.0,8.37,8,0,行业板块,东财三级行业
BK1620.DC,20260327,钴,腾远钴业,301219.SZ,3.45,3.8,3156001.7,3.63,2,0,行业板块,东财三级行业
BK1619.DC,20260327,其他金属新材料,深圳新星,603978.SH,2.44,10.02,20346558.3,2.23,18,2,行业板块,东财三级行业
BK1618.DC,20260327,磁性材料,新莱福,301323.SZ,2.45,5.27,17043548.7,2.0,14,0,行业板块,东财三级行业
BK1617.DC,20260327,黄金,赤峰黄金,600988.SH,3.32,6.7,60056811.2,2.34,10,0,行业板块,东财三级行业
BK1616.DC,20260327,白银,兴业银锡,000426.SZ,1.73,2.51,13102994.6,4.37,3,0,行业板块,东财三级行业
BK1615.DC,20260327,铜,海亮股份,002203.SZ,1.76,6.54,183169984.0,1.65,15,2,行业板块,东财三级行业
BK1614.DC,20260327,铅锌,金徽股份,603132.SH,4.04,9.99,23311417.6,3.16,12,0,行业板块,东财三级行业
BK1613.DC,20260327,铝,万顺新材,300057.SZ,2.1,10.35,108863467.2,1.86,26,4,行业板块,东财三级行业
BK1612.DC,20260327,农商行Ⅲ,常熟银行,601128.SH,-1.69,-0.42,27132544.0,0.99,0,10,行业板块,东财三级行业
BK1611.DC,20260327,国有大型银行Ⅲ,交通银行,601328.SH,-0.3,0.29,1037991884.8,0.11,1,5,行业板块,东财三级行业
BK1610.DC,20260327,股份制银行Ⅲ,平安银行,000001.SZ,-0.36,0.73,296035632.0,0.3,1,8,行业板块,东财三级行业
BK1609.DC,20260327,城商行Ⅲ,青岛银行,002948.SZ,-0.82,0.2,124508779.2,0.55,1,16,行业板块,东财三级行业
BK1608.DC,20260327,中药Ⅲ,天目药业,600671.SH,2.4,7.66,83382035.2,1.48,60,7,行业板块,东财三级行业
BK1607.DC,20260327,医药流通,海王生物,000078.SZ,1.99,3.62,24872539.3,1.24,23,0,行业板块,东财三级行业
BK1606.DC,20260327,线下药店,第一医药,600833.SH,1.48,2.48,8477833.2,0.81,8,0,行业板块,东财三级行业
BK1605.DC,20260327,医疗设备,北芯生命-U,688712.SH,2.35,6.76,61209899.2,1.46,40,3,行业板块,东财三级行业
BK1604.DC,20260327,医疗耗材,海圣医疗,920166.BJ,2.7,9.72,46170432.0,1.7,53,1,行业板块,东财三级行业
BK1603.DC,20260327,体外诊断,基蛋生物,603387.SH,3.42,10.0,26876550.4,2.2,40,0,行业板块,东财三级行业
BK1602.DC,20260327,诊断服务,兰卫医学,301060.SZ,2.88,3.74,4790893.8,2.09,5,0,行业板块,东财三级行业
BK1601.DC,20260327,医院,光正眼科,002524.SZ,2.14,4.22,22058934.6,3.25,13,2,行业板块,东财三级行业
BK1600.DC,20260327,医疗研发外包,昭衍新药,603127.SH,5.72,10.0,64025688.0,2.96,29,0,行业板块,东财三级行业
BK1599.DC,20260327,其他医疗服务,诺禾致源,688315.SH,1.72,3.22,2461780.4,1.55,5,0,行业板块,东财三级行业
BK1598.DC,20260327,疫苗,欧林生物,688319.SH,2.75,4.83,23473601.3,1.15,14,0,行业板块,东财三级行业
BK1597.DC,20260327,血液制品,博晖创新,300318.SZ,1.4,3.13,10177262.0,0.5,6,0,行业板块,东财三级行业
BK1596.DC,20260327,其他生物制品,康弘药业,002773.SZ,4.33,9.98,64403227.2,2.06,37,1,行业板块,东财三级行业
BK1595.DC,20260327,原料药,美诺华,603538.SH,3.92,9.99,35200891.2,3.78,44,2,行业板块,东财三级行业
BK1594.DC,20260327,化学制剂,联环药业,600513.SH,4.76,10.01,209678577.6,2.38,113,1,行业板块,东财三级行业
BK1593.DC,20260327,通信终端及配件,菲菱科思,301191.SZ,0.44,3.99,38428492.8,3.42,19,9,行业板块,东财三级行业
BK1592.DC,20260327,通信线缆及配套,通鼎互联,002491.SZ,0.95,3.31,54749832.0,6.31,10,2,行业板块,东财三级行业
BK1591.DC,20260327,通信网络设备及器件,德科立,688205.SH,0.95,8.84,218227716.8,4.07,22,13,行业板块,东财三级行业
BK1590.DC,20260327,其他通信设备,震有科技,688418.SH,0.81,4.68,9335221.1,1.59,11,3,行业板块,东财三级行业
BK1589.DC,20260327,通信应用增值服务,会畅科技,300578.SZ,0.65,2.62,29651862.4,5.13,13,4,行业板块,东财三级行业
BK1588.DC,20260327,通信工程及服务,*ST亿通,300211.SZ,0.71,3.77,10855183.5,3.88,18,2,行业板块,东财三级行业
BK1587.DC,20260327,电信运营商,中国联通,600050.SH,-0.33,0.0,268487772.8,0.21,0,2,行业板块,东财三级行业
BK1586.DC,20260327,软饮料,东鹏饮料,605499.SH,1.38,2.86,20206531.3,0.97,7,1,行业板块,东财三级行业
BK1585.DC,20260327,乳品,均瑶健康,605388.SH,1.86,9.98,25911519.8,1.31,18,1,行业板块,东财三级行业
BK1584.DC,20260327,熟食,ST绝味,603517.SH,1.01,2.37,2329335.6,0.92,2,1,行业板块,东财三级行业
BK1583.DC,20260327,零食,好想你,002582.SZ,1.7,5.35,10100686.0,1.52,10,1,行业板块,东财三级行业
BK1582.DC,20260327,烘焙食品,立高食品,300973.SZ,1.1,2.44,4479164.2,0.87,8,1,行业板块,东财三级行业
