date,stock_code,stock_name,pattern_type,action,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,hot_resonance,resonance_sectors,stop_loss_triggered,take_profit_triggered,entry_date,exit_reason,plan_rank,plan_score,plan_reason,factor_metrics_json
20260601,002428,云南锗业,指标筛选/default,SELL,95.2902,81.89588,2400,-32470.492089599982,-0.1419381437940844,1,False,,True,False,20260529,stop_loss,2,94.7821,综合评分 94.8，候选排名第 2；当日涨幅 +10.00%，短线强度已确认；流动性分位 99.3，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.27351979658555, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260601,600011,华能国际,指标筛选/default,BUY,9.018,0.0,25100,0.0,0.0,0,False,,False,False,20260601,buy,2,94.2481,综合评分 94.2，候选排名第 2；当日涨幅 +10.05%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.70/2.43 倍；流动性分位 97.5，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.49364329822012, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260601,600863,华能蒙电,指标筛选/default,BUY,7.67532,0.0,29500,0.0,0.0,0,False,,False,False,20260601,buy,3,94.2253,综合评分 94.2，候选排名第 3；当日涨幅 +9.94%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.55/1.37 倍；流动性分位 97.7，承接能力较好；tech_score 94.5，指标表现靠前,"{""stk_liquidity_percentile"": 97.6934253541591, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.54033235294118}"
20260602,002081,金螳螂,指标筛选/default,BUY,7.014,0.0,30400,0.0,0.0,0,False,,False,False,20260602,buy,3,94.4172,综合评分 94.4，候选排名第 3；当日涨幅 +10.06%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.49/2.18 倍；流动性分位 98.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.05737109658679, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260603,002081,金螳螂,指标筛选/default,SELL,7.014,6.6367,30400,-11796.170063999976,-0.05530589326196142,1,False,,True,False,20260602,stop_loss,3,94.4172,综合评分 94.4，候选排名第 3；当日涨幅 +10.06%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.49/2.18 倍；流动性分位 98.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.05737109658679, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260603,002384,东山精密,指标筛选/default,BUY,220.0392,0.0,900,0.0,0.0,0,False,,False,False,20260603,buy,1,94.9782,综合评分 95.0，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.17/1.22 倍；流动性分位 99.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.92736517159977, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260603,600487,亨通光电,指标筛选/default,BUY,90.18,0.0,2300,0.0,0.0,0,False,,False,False,20260603,buy,2,94.9292,综合评分 94.9，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.7639368076993, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260603,600105,永鼎股份,指标筛选/default,BUY,51.102,0.0,4200,0.0,0.0,0,False,,False,False,20260603,buy,3,94.839,综合评分 94.8，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；流动性分位 99.5，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.47339749409842, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69983235294117}"
20260604,600011,华能国际,指标筛选/default,SELL,9.018,8.7325,25100,-7518.897015000024,-0.033207785502007515,3,False,,False,False,20260601,time_stop,2,94.2481,综合评分 94.2，候选排名第 2；当日涨幅 +10.05%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.70/2.43 倍；流动性分位 97.5，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.49364329822012, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260604,600863,华能蒙电,指标筛选/default,SELL,7.67532,6.8662399999999995,29500,-24199.106885999994,-0.10684410411464823,3,False,,True,False,20260601,stop_loss,3,94.2253,综合评分 94.2，候选排名第 3；当日涨幅 +9.94%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.55/1.37 倍；流动性分位 97.7，承接能力较好；tech_score 94.5，指标表现靠前,"{""stk_liquidity_percentile"": 97.6934253541591, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.54033235294118}"
