plan_rank,sample_count,win_rate,total_pnl,avg_pnl_pct,stop_loss_rate,take_profit_rate,avg_score
1,25,0.52,33476.35867439996,0.008036849902699905,0.36,0.48,94.822668
2,30,0.43333333333333335,242995.3346363999,0.054684298552780314,0.3,0.5,94.71693333333334
3,29,0.5172413793103449,147696.54835319996,0.028115847871392655,0.41379310344827586,0.5172413793103449,94.59003448275863
