代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000062.SZ,深圳华强,26.2,9.99,140921,140921,0,其他电子,1,1/1
000537.SZ,绿发电力,11.37,9.96,94212,94212,0,电力,1,1/1
000545.SZ,金浦钛业,3.83,10.06,102345,102345,0,化学原料,1,1/1
000626.SZ,远大控股,8.42,10.07,131930,133012,1,物流,1,1/1
000833.SZ,粤桂股份,27.52,9.99,100124,100512,1,综合Ⅱ,1,1/1
000839.SZ,国安股份,3.98,9.94,93000,141739,6,通信服务,1,1/1
000899.SZ,赣能股份,16.15,10.01,110133,110133,0,电力,1,1/1
001207.SZ,联科科技,31.27,9.99,95542,95903,2,橡胶,1,1/1
001369.SZ,双欣材料,16.94,10.0,130142,131139,1,化学纤维,1,1/1
002092.SZ,中泰化学,8.1,10.05,134727,134727,0,化学原料,1,1/1
002150.SZ,正泰电源,29.68,10.01,94848,94848,0,通用设备,1,1/1
002175.SZ,东方智造,3.53,9.97,94739,104621,1,通用设备,1,1/1
002177.SZ,御银股份,9.25,9.99,103818,103818,0,计算机设,1,1/1
002248.SZ,华东数控,15.58,10.03,92500,140454,3,通用设备,1,1/1
002432.SZ,九安医疗,58.52,10.0,105039,110003,1,医疗器械,1,1/1
002445.SZ,中南文化,3.71,10.09,92500,92500,0,通用设备,1,1/1
002455.SZ,百川股份,14.73,10.01,93000,93000,0,化学制品,1,1/1
002667.SZ,威领股份,33.01,10.0,93951,93951,0,专用设备,1,1/1
002733.SZ,雄韬股份,27.05,10.0,104654,104654,0,电池,1,1/1
002782.SZ,可立克,28.78,10.02,101109,101109,0,其他电子,1,1/1
002831.SZ,裕同科技,34.06,10.01,104227,111603,1,包装印刷,1,1/1
300246.SZ,宝莱特,16.8,20.0,102724,102724,0,医疗器械,1,1/1
300504.SZ,天邑股份,19.32,20.0,94000,95600,1,通信设备,1,1/1
301150.SZ,中一科技,54.88,14.33,105227,,1,电池,1,1/1
301361.SZ,众智科技,49.93,14.6,100454,,1,电网设备,1,1/1
301658.SZ,首航新能,45.94,20.01,100300,100300,0,光伏设备,1,1/1
600075.SH,新疆天业,7.47,10.01,135321,135421,1,化学原料,1,1/1
600108.SH,亚盛集团,6.57,10.05,95846,134225,9,种植业,1,1/1
600172.SH,黄河旋风,11.09,10.02,93230,112758,11,通用设备,1,1/1
600299.SH,安迪苏,14.61,10.02,134450,135123,1,化学制品,1,1/1
600328.SH,中盐化工,9.94,9.96,130315,130315,0,化学原料,1,1/1
600409.SH,三友化工,9.17,9.95,135132,135132,0,化学原料,1,1/1
600433.SH,冠豪高新,3.85,10.0,93427,94909,1,造纸,1,1/1
600722.SH,金牛化工,14.0,9.98,131507,131507,0,化学原料,1,1/1
600726.SH,华电能源,3.53,9.97,140349,140349,0,电力,1,1/1
600769.SH,祥龙电业,15.02,10.04,110842,110842,0,环境治理,1,1/1
600873.SH,梅花生物,12.62,10.03,140606,144921,4,化学制品,1,1/1
600989.SH,宝丰能源,31.85,10.02,133605,133605,0,化学原料,1,1/1
601016.SH,节能风电,4.03,10.11,101543,101543,0,电力,1,1/1
601330.SH,绿色动力,8.37,9.99,100324,100957,2,环境治理,1,1/1
601700.SH,风范股份,6.9,10.05,92500,93543,1,电网设备,1,1/1
601789.SH,宁波建工,7.3,9.94,93246,141352,8,房屋建设,1,1/1
601858.SH,中国科传,21.67,10.0,102034,102034,0,出版,1,1/1
601868.SH,中国能建,3.45,9.87,94237,94307,1,基础建设,1,1/1
603158.SH,腾龙股份,12.25,9.96,93832,134132,6,汽车零部件,1,1/1
603353.SH,和顺石油,42.85,10.01,93720,93720,0,炼化及贸,1,1/1
603421.SH,鼎信通讯,10.13,9.99,93114,145532,2,通信设备,1,1/1
603629.SH,利通电子,63.15,10.0,145319,145319,0,消费电子,1,1/1
603757.SH,大元泵业,47.43,10.0,93409,93524,2,通用设备,1,1/1
603773.SH,沃格光电,43.36,9.99,103828,103828,0,光学光电,1,1/1
603778.SH,国晟科技,20.82,9.98,110210,143140,16,光伏设备,1,1/1
603803.SH,瑞斯康达,12.1,10.0,92503,93403,2,通信设备,1,1/1
603936.SH,博敏电子,15.42,9.99,93254,141333,5,元件,1,1/1
603938.SH,三孚股份,30.12,10.01,95216,95216,0,化学原料,1,1/1
605117.SH,德业股份,131.88,10.0,100601,100707,1,光伏设备,1,1/1
