trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK1080.DC,新型城镇化,-3.31,1093.24,-4425.728,-1.14,-81725744.0,-0.4,-148449536.0,-0.73,272839936.0,1.35,-44257280.0,-0.22,宏景科技,10,27283.9936,-14844.9536,8013.312000000002
20260403,概念,BK1179.DC,房屋检测,-3.38,1398.69,22981.4032,-5.16,-115592926.0,-2.54,-118893232.0,-2.62,-3050256.0,-0.07,229814032.0,5.06,建科院,11,-305.0256,-11889.3232,10787.054399999999
20260403,概念,BK0967.DC,水产概念,-3.12,950.52,25673.7536,-8.35,-106337294.0,-3.78,-128840480.0,-4.58,-21559744.0,-0.77,256737536.0,9.12,天马科技,12,-2155.9744,-12884.048,10633.7312
20260403,概念,BK0928.DC,抖音小店,-2.89,1221.0,23025.0864,-6.69,-102418850.0,-2.88,-135473424.0,-3.81,3788992.0,0.11,230250864.0,6.47,粤海饲料,13,378.8992,-13547.3424,9856.6432
20260403,概念,BK0907.DC,转基因,-3.39,1477.62,19558.0944,-9.05,-116364772.0,-4.41,-122168944.0,-4.63,18987840.0,0.72,195580944.0,7.42,天康生物,14,1898.784,-12216.8944,9239.984000000002
20260403,概念,BK1630.DC,昨日首板,-0.76,1571.87,4359.2192,-1.51,-201826336.0,-1.26,-41026416.0,-0.26,212162304.0,1.32,43592192.0,0.27,重药控股,15,21216.2304,-4102.6416,21472.808
20260403,概念,BK1131.DC,同步磁阻电机,-2.7,2268.03,29427.9696,-11.83,-164319790.0,-7.68,-88747776.0,-4.15,-41212128.0,-1.93,294279696.0,13.75,科汇股份,16,-4121.2128,-8874.7776,16431.9792
20260403,概念,BK1070.DC,土壤修复,-3.18,986.41,18936.4192,-3.73,-140320976.0,-2.04,-116533248.0,-1.69,60999296.0,0.89,189364192.0,2.75,上海环境,17,6099.9296,-11653.3248,13383.024
20260403,概念,BK1049.DC,EDR概念,-2.53,1701.03,23556.8752,-5.8,-114499760.0,-2.58,-143229216.0,-3.22,22160224.0,0.5,235568752.0,5.3,协创数据,18,2216.0224,-14322.9216,11449.975999999997
20260403,概念,BK0985.DC,换电概念,-2.03,1652.53,11620.6288,-2.02,-165411712.0,-1.28,-96281248.0,-0.74,133456976.0,1.03,116206288.0,0.9,中恒电气,19,13345.6976,-9628.1248,15338.201599999999
20260403,概念,BK0692.DC,旅游概念,-2.48,1660.53,30366.152,-3.7,-12981968.0,-0.18,-249251568.0,-3.52,-41427984.0,-0.59,303661520.0,4.29,翠微股份,20,-4142.7984,-24925.1568,1298.196799999998
20260403,概念,BK1095.DC,钒电池,-2.43,1387.29,49935.1824,-2.65,-115174432.0,-1.16,-147166800.0,-1.48,-237010576.0,-2.39,499351824.0,5.04,振华股份,21,-23701.0576,-14716.68,11517.444799999997
20260403,概念,BK0916.DC,氮化镓,-1.48,1696.94,11957.5808,-1.03,-167540624.0,-0.66,-95317504.0,-0.37,143282176.0,0.56,119575808.0,0.47,中恒电气,22,14328.2176,-9531.7504,16754.048
20260403,概念,BK0802.DC,无人驾驶,-0.95,2120.27,224176.1024,-0.22,1426197504.0,1.16,-1691796480.0,-1.37,-2057602560.0,-1.67,2241761024.0,1.82,中际旭创,23,-205760.256,-169179.648,-150763.80159999998
