trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,行业,BK1553.DC,多业态零售,-2.78,1515.44,3813.7536,-5.75,-23161051.0,-3.22,-18232414.0,-2.53,3255939.0,0.45,38137536.0,5.3,欧亚集团,43,325.5939,-1823.2414,2316.1061
20260403,行业,BK0731.DC,农化制品,-3.05,1852.83,120329.984,-4.86,-394187648.0,-2.31,-435328592.0,-2.55,-407624960.0,-2.39,1203299840.0,7.05,宏达股份,49,-40762.496,-43532.8592,36034.6288
20260403,概念,BK0556.DC,移动支付,-1.03,12289.57,-19680.0,1.03,384082736.0,1.79,-163824384.0,-0.76,-23458304.0,-0.11,-196800000.0,-0.92,华工科技,15,-2345.8304,-16382.4384,-38408.2688
20260403,概念,BK0945.DC,装配建筑,-3.48,1102.1,84448.2816,-7.9,-776506304.0,-5.34,-371450000.0,-2.56,298431344.0,2.05,844482816.0,5.81,海螺水泥,22,29843.1344,-37145.0,77146.416
20260403,行业,BK1464.DC,水泥制造,-2.45,2350.39,6525.7776,-2.55,-64198985.0,-3.85,21671680.0,1.3,-22730464.0,-1.36,65257776.0,3.91,海螺水泥,44,-2273.0464,2167.168,6419.8992
20260403,行业,BK1472.DC,基建市政工程,-2.78,2280.66,70137.904,-9.43,-539080176.0,-5.71,-351758256.0,-3.72,195169936.0,2.07,701379040.0,7.42,中国能建,50,19516.9936,-35175.8256,54479.072
20260403,概念,BK0498.DC,AB股,-2.88,11841.87,2884.3776,1.35,482859216.0,3.06,-269873344.0,-1.71,-241829888.0,-1.53,28843776.0,0.18,云赛智联,16,-24182.9888,-26987.3344,-48285.9456
20260403,概念,BK0865.DC,电子烟,-1.42,2442.43,59400.9856,-3.65,-630492688.0,-1.99,-526188544.0,-1.66,560901632.0,1.77,594009856.0,1.87,蓝思科技,23,56090.1632,-52618.8544,62872.2944
20260403,行业,BK1484.DC,公交,-3.35,1640.88,2485.0209,-8.41,-30732866.0,-6.06,-11919059.0,-2.35,17801716.0,3.51,24850209.0,4.9,海汽集团,45,1780.1716,-1191.9059,3073.2866000000004
20260403,行业,BK1283.DC,银行,-1.23,4119.5,66726.8608,-4.45,-505460304.0,-2.51,-391259648.0,-1.94,229451264.0,1.14,667268608.0,3.31,青岛银行,1,22945.1264,-39125.9648,50546.0224
20260403,概念,BK1163.DC,可控核聚变,-1.37,2358.86,81513.2416,0.3,1753675776.0,2.99,-1577269760.0,-2.69,-1033205504.0,-1.76,815132416.0,1.39,中油资本,17,-103320.5504,-157726.976,-179534.2848
20260403,概念,BK1195.DC,2025中报预减,-2.41,1078.18,92713.472,-2.35,-903546112.0,-1.83,-258562304.0,-0.52,234973952.0,0.48,927134720.0,1.88,大族激光,24,23497.3952,-25856.2304,90354.6368
