trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,代码,名称,最新价,涨跌幅,所属行业,首次封板时间,最后封板时间,炸板次数,连板数,涨停统计,成交额,换手率,流通市值,总市值,板上成交金额,封单金额,行业代码
20260331,600184.SH,地面兵装,光电股份,18.41,9.98,655146048.0,,10728012685.88,10728012759.52,6.5,95099763.0,134625,134625,0,1/1,1.0,U,600184,光电股份,18.41,9.98,地面兵装,134625,134625,0,1.0,1/1,655146048.0,6.5,10728012685.88,10728012759.52,,95099763.0,BK1382.DC
20260331,600250.SH,贸易Ⅱ,南京商旅,14.05,10.02,823592416.0,,4394719226.2,4394719282.4,19.52,37925165.0,131623,132814,4,1/1,1.0,U,600250,南京商旅,14.05,10.02,贸易Ⅱ,131623,132814,4,1.0,1/1,823592416.0,19.52,4394719226.2,4394719282.4,,37925165.0,BK0484.DC
20260331,600488.SH,化学制药,津药药业,5.24,10.08,466914880.0,,5721486203.2,5721486245.12,8.22,54451187.0,93042,93703,2,3/3,3.0,U,600488,津药药业,5.24,10.08,化学制药,93042,93703,2,3.0,3/3,466914880.0,8.22,5721486203.2,5721486245.12,,54451187.0,BK0465.DC
20260331,600495.SH,轨交设备,晋西车轴,4.93,10.04,347120240.0,,5956381067.98,5956381038.4,5.95,62534939.0,101552,104029,2,1/1,1.0,U,600495,晋西车轴,4.93,10.04,轨交设备,101552,104029,2,1.0,1/1,347120240.0,5.95,5956381067.98,5956381038.4,,62534939.0,BK1394.DC
20260331,600502.SH,基础建设,安徽建工,5.63,9.96,948716160.0,,9664086070.94,9664086059.68,9.96,82586807.0,100956,100956,0,2/2,2.0,U,600502,安徽建工,5.63,9.96,基础建设,100956,100956,0,2.0,2/2,948716160.0,9.96,9664086070.94,9664086059.68,,82586807.0,BK1247.DC
20260331,600528.SH,基础建设,中铁工业,9.17,9.95,1327340768.0,,20371628061.96,20371628025.28,6.7,111057870.0,101209,101424,1,1/1,1.0,U,600528,中铁工业,9.17,9.95,基础建设,101209,101424,1,1.0,1/1,1327340768.0,6.7,20371628061.96,20371628025.28,,111057870.0,BK1247.DC
20260331,600894.SH,专用设备,广日股份,9.59,9.98,144711983.0,,8085755227.55,8167595549.12,1.79,48324441.0,93002,93420,3,1/1,1.0,U,600894,广日股份,9.59,9.98,专用设备,93002,93420,3,1.0,1/1,144711983.0,1.79,8085755227.55,8167595549.12,,48324441.0,BK0910.DC
20260331,601908.SH,电力,京运通,5.01,10.11,964440256.0,,12097160333.61,12097160348.64,8.15,104920422.0,93521,93521,0,2/4,1.0,U,601908,京运通,5.01,10.11,电力,93521,93521,0,1.0,2/4,964440256.0,8.15,12097160333.61,12097160348.64,,104920422.0,BK0428.DC
20260331,603039.SH,软件开发,泛微网络,43.45,10.0,274447408.0,,11139100744.75,11139100744.75,2.48,59583462.0,93051,93112,1,1/1,1.0,U,603039,泛微网络,43.45,10.0,软件开发,93051,93112,1,1.0,1/1,274447408.0,2.48,11139100744.75,11139100744.75,,59583462.0,BK0737.DC
20260331,603657.SH,家电零部,春光科技,27.94,10.0,142375599.0,,3777209997.0,3777209997.0,3.88,27423110.0,104452,105310,1,1/1,1.0,U,603657,春光科技,27.94,10.0,家电零部,104452,105310,1,1.0,1/1,142375599.0,3.88,3777209997.0,3777209997.0,,27423110.0,BK1455.DC
20260331,603660.SH,计算机设,苏州科达,9.74,10.06,336991120.0,,5566338859.04,5608156107.52,6.26,131568114.0,140300,140300,0,1/1,1.0,U,603660,苏州科达,9.74,10.06,计算机设,140300,140300,0,1.0,1/1,336991120.0,6.26,5566338859.04,5608156107.52,,131568114.0,BK1446.DC
20260331,603826.SH,非金属材,坤彩科技,27.67,10.02,696678496.0,,18129384000.0,18129384000.0,3.92,32755746.0,100932,134044,8,1/1,1.0,U,603826,坤彩科技,27.67,10.02,非金属材,100932,134044,8,1.0,1/1,696678496.0,3.92,18129384000.0,18129384000.0,,32755746.0,BK1411.DC
20260331,605116.SH,化学制药,奥锐特,29.39,9.99,384524832.0,,11937725247.26,11937725188.48,3.4,95253754.0,142530,142530,0,1/1,1.0,U,605116,奥锐特,29.39,9.99,化学制药,142530,142530,0,1.0,1/1,384524832.0,3.4,11937725247.26,11937725188.48,,95253754.0,BK0465.DC
20260331,605162.SH,电力,新中港,11.61,10.05,363563968.0,,4650768653.22,4650768722.88,8.14,96870600.0,104933,104933,0,1/1,1.0,U,605162,新中港,11.61,10.05,电力,104933,104933,0,1.0,1/1,363563968.0,8.14,4650768653.22,4650768722.88,,96870600.0,BK0428.DC
20260331,605299.SH,文娱用品,舒华体育,21.33,10.01,863127488.0,,8728801735.59,8728801842.24,10.17,72481302.0,94047,94647,2,6/12,1.0,U,605299,舒华体育,21.33,10.01,文娱用品,94047,94647,2,1.0,6/12,863127488.0,10.17,8728801735.59,8728801842.24,,72481302.0,BK1266.DC
