trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,代码,名称,最新价,涨跌幅,所属行业,首次封板时间,最后封板时间,炸板次数,连板数,涨停统计,成交额,换手率,流通市值,总市值,板上成交金额,封单金额,行业代码
20260324,000035.SZ,环境治理,中国天楹,7.46,10.03,1275056176.0,,17255172080.08,17814724449.28,7.48,38753954.0,93503,105003,3,1/1,1.0,U,000035,中国天楹,7.46,10.03,环境治理,93503,105003,3,1.0,1/1,1275056176.0,7.48,17255172080.08,17814724449.28,,38753954.0,BK1235.DC
20260324,000065.SZ,专业工程,北方国际,14.22,9.98,659942288.0,,13863963735.36,16515707515.2,4.92,71023780.0,104509,104509,0,1/1,1.0,U,000065,北方国际,14.22,9.98,专业工程,104509,104509,0,1.0,1/1,659942288.0,4.92,13863963735.36,16515707515.2,,71023780.0,BK1248.DC
20260324,000415.SZ,多元金融,渤海租赁,4.29,10.0,492311680.0,,23135780094.57,26531596016.64,2.19,109366677.0,130206,130206,0,1/1,1.0,U,000415,渤海租赁,4.29,10.0,多元金融,130206,130206,0,1.0,1/1,492311680.0,2.19,23135780094.57,26531596016.64,,109366677.0,BK0738.DC
20260324,000509.SZ,光学光电,华塑控股,4.5,10.02,389420944.0,,4829061636.0,4829076216.0,8.33,63453096.0,94524,94524,0,2/3,1.0,U,000509,华塑控股,4.5,10.02,光学光电,94524,94524,0,1.0,2/3,389420944.0,8.33,4829061636.0,4829076216.0,,63453096.0,BK1038.DC
20260324,000539.SZ,电力,粤电力Ａ,6.78,10.06,1839198528.0,,17325523175.22,35596925736.96,11.14,74710854.0,145545,145545,0,3/5,1.0,U,000539,粤电力Ａ,6.78,10.06,电力,145545,145545,0,1.0,3/5,1839198528.0,11.14,17325523175.22,35596925736.96,,74710854.0,BK0428.DC
20260324,000601.SZ,电力,韶能股份,8.06,9.96,2245346224.0,,8459186870.42,8578607223.68,27.24,97958547.0,93536,103409,2,4/5,1.0,U,000601,韶能股份,8.06,9.96,电力,93536,103409,2,1.0,4/5,2245346224.0,27.24,8459186870.42,8578607223.68,,97958547.0,BK0428.DC
20260324,000677.SZ,化学纤维,恒天海龙,4.93,10.04,461072848.0,,4259411283.64,4259411303.36,11.44,96009496.0,103515,103515,0,2/3,1.0,U,000677,恒天海龙,4.93,10.04,化学纤维,103515,103515,0,1.0,2/3,461072848.0,11.44,4259411283.64,4259411303.36,,96009496.0,BK0471.DC
20260324,000688.SZ,工业金属,国城矿业,35.86,10.0,1631477600.0,,42496373021.96,42496528152.32,3.99,33267322.0,145242,145242,0,1/1,1.0,U,000688,国城矿业,35.86,10.0,工业金属,145242,145242,0,1.0,1/1,1631477600.0,3.99,42496373021.96,42496528152.32,,33267322.0,BK1287.DC
20260324,000720.SZ,电网设备,新能泰山,4.14,10.11,107283136.0,,5202040703.94,5202040691.52,2.06,124971277.0,92500,92500,0,1/1,1.0,U,000720,新能泰山,4.14,10.11,电网设备,92500,92500,0,1.0,1/1,107283136.0,2.06,5202040703.94,5202040691.52,,124971277.0,BK0457.DC
20260324,000722.SZ,电力,湖南发展,15.11,9.97,306761280.0,,7013431641.02,7013431731.68,4.46,134234202.0,93421,93421,0,1/1,1.0,U,000722,湖南发展,15.11,9.97,电力,93421,93421,0,1.0,1/1,306761280.0,4.46,7013431641.02,7013431731.68,,134234202.0,BK0428.DC
20260324,000811.SZ,通用设备,冰轮环境,18.11,10.02,624757392.0,,17718745782.91,17973776290.24,3.64,85199509.0,133842,133842,0,1/1,1.0,U,000811,冰轮环境,18.11,10.02,通用设备,133842,133842,0,1.0,1/1,624757392.0,3.64,17718745782.91,17973776290.24,,85199509.0,BK0545.DC
20260324,001203.SZ,冶钢原料,大中矿业,40.26,10.0,2551770688.0,,52954637982.18,61721818192.32,5.05,14163468.0,143130,145627,4,1/1,1.0,U,001203,大中矿业,40.26,10.0,冶钢原料,143130,145627,4,1.0,1/1,2551770688.0,5.05,52954637982.18,61721818192.32,,14163468.0,BK1228.DC
20260324,002082.SZ,化学制药,万邦德,19.79,10.01,531626912.0,,10948875326.38,12105326418.24,4.98,28052325.0,105521,111424,1,1/1,1.0,U,002082,万邦德,19.79,10.01,化学制药,105521,111424,1,1.0,1/1,531626912.0,4.98,10948875326.38,12105326418.24,,28052325.0,BK0465.DC
20260324,002083.SZ,纺织制造,孚日股份,10.96,10.04,851831312.0,,10375163571.52,10375163527.68,8.34,63015616.0,93039,142103,1,1/1,1.0,U,002083,孚日股份,10.96,10.04,纺织制造,93039,142103,1,1.0,1/1,851831312.0,8.34,10375163571.52,10375163527.68,,63015616.0,BK1224.DC
20260324,002192.SZ,能源金属,融捷股份,58.6,10.01,1713840992.0,,15184295930.8,15215794895.8,11.37,113672162.0,93027,103518,5,1/1,1.0,U,002192,融捷股份,58.6,10.01,能源金属,93027,103518,5,1.0,1/1,1713840992.0,11.37,15184295930.8,15215794895.8,,113672162.0,BK1015.DC
20260324,002218.SZ,电力,拓日新能,7.25,10.02,1323987600.0,,10094887305.25,10244398944.0,13.22,314921998.0,93042,93336,1,2/2,2.0,U,002218,拓日新能,7.25,10.02,电力,93042,93336,1,2.0,2/2,1323987600.0,13.22,10094887305.25,10244398944.0,,314921998.0,BK0428.DC
20260324,002222.SZ,光学光电,福晶科技,64.79,10.0,1718420752.0,,30331549550.06,30467497500.0,5.92,175693634.0,141815,141815,0,1/1,1.0,U,002222,福晶科技,64.79,10.0,光学光电,141815,141815,0,1.0,1/1,1718420752.0,5.92,30331549550.06,30467497500.0,,175693634.0,BK1038.DC
