代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000010.SZ,美丽生态,4.53,9.95,93533,93533,0,基础建设,1,1/1
000677.SZ,恒天海龙,5.02,10.09,92500,92500,0,化学纤维,1,1/1
000890.SZ,法尔胜,11.09,10.02,93142,93315,2,环保设备,1,1/1
001309.SZ,德明利,320.05,9.05,103733,,2,半导体,1,1/1
001366.SZ,播恩集团,15.76,9.98,100348,100348,0,饲料,1,1/1
002056.SZ,横店东磁,25.84,10.0,100351,145424,3,光伏设备,1,1/1
002084.SZ,海鸥住工,4.29,10.0,112830,112830,0,家居用品,1,1/1
002109.SZ,兴化股份,5.18,9.98,93200,100521,1,化学原料,1,1/1
002165.SZ,红 宝 丽,12.76,10.0,94300,94300,0,化学制品,1,1/1
002323.SZ,雅博股份,2.54,9.96,110642,110642,0,专业工程,1,1/1
002382.SZ,蓝帆医疗,7.59,10.0,94654,94654,0,医疗器械,1,1/1
002429.SZ,兆驰股份,11.94,10.05,94757,145418,5,黑色家电,1,1/1
002438.SZ,江苏神通,19.26,9.99,133512,133512,0,通用设备,1,1/1
002445.SZ,中南文化,4.49,10.05,92500,92500,0,通用设备,1,1/1
002470.SZ,金正大,3.22,9.9,93136,93136,0,农化制品,1,1/1
002487.SZ,大金重工,80.65,10.0,132430,132718,2,风电设备,1,1/1
002531.SZ,天顺风能,12.42,10.01,101909,101909,0,风电设备,1,1/1
002543.SZ,万和电气,9.79,10.0,103109,104224,3,厨卫电器,1,1/1
002637.SZ,赞宇科技,15.87,9.98,130554,130554,0,化学制品,1,1/1
002669.SZ,康达新材,15.35,10.04,144730,144730,0,化学制品,1,1/1
002903.SZ,宇环数控,31.03,10.0,110345,145515,4,通用设备,1,1/1
002931.SZ,锋龙股份,81.58,10.01,93018,93018,0,通用设备,1,1/1
002950.SZ,奥美医疗,11.3,10.03,101427,101427,0,医疗器械,1,1/1
002969.SZ,嘉美包装,26.47,10.02,145600,145600,0,包装印刷,1,1/1
003027.SZ,同兴科技,24.52,10.0,105245,105245,0,环境治理,1,1/1
003041.SZ,真爱美家,69.85,10.0,140157,144351,3,服装家纺,1,1/1
300035.SZ,中科电气,22.89,13.32,95612,,1,电池,1,1/1
300185.SZ,通裕重工,4.21,19.94,104803,104803,0,风电设备,1,1/1
300505.SZ,川金诺,38.9,14.82,95542,,1,农化制品,1,1/1
300981.SZ,中红医疗,15.77,20.02,140030,140030,0,医疗器械,1,1/1
600121.SH,郑州煤电,5.65,9.92,92500,92500,0,煤炭开采,1,1/1
600226.SH,亨通股份,6.02,10.05,133335,134732,1,电力,1,1/1
600227.SH,赤天化,4.37,10.08,94035,144914,3,农化制品,1,1/1
600232.SH,金鹰股份,8.78,10.03,100655,100655,0,专用设备,1,1/1
600234.SH,科新发展,14.92,10.03,132232,132232,0,装修装饰,1,1/1
600307.SH,酒钢宏兴,2.22,9.9,93459,131441,4,普钢,1,1/1
600336.SH,澳柯玛,8.18,9.95,130704,131543,1,白色家电,1,1/1
600370.SH,三房巷,2.73,10.08,143221,143221,0,化学纤维,1,1/1
600408.SH,安泰集团,4.13,10.13,105448,105448,0,焦炭Ⅱ,1,1/1
600683.SH,京投发展,8.76,10.05,95822,100710,1,房地产开发,1,1/1
600691.SH,潞化科技,4.43,9.93,92504,93022,1,农化制品,1,1/1
600722.SH,金牛化工,16.94,10.0,94004,144849,19,化学原料,1,1/1
600726.SH,华电能源,4.27,10.05,100655,100655,0,电力,1,1/1
600746.SH,江苏索普,9.26,9.98,132622,135507,1,化学原料,1,1/1
600756.SH,浪潮软件,17.63,9.98,130830,130951,1,IT服务Ⅱ,1,1/1
600847.SH,万里股份,15.51,10.0,112140,112140,0,电池,1,1/1
601218.SH,吉鑫科技,6.94,9.98,134355,144928,2,风电设备,1,1/1
601611.SH,中国核建,19.21,10.02,132032,140956,3,基础建设,1,1/1
601669.SH,中国电建,7.19,9.94,93456,101453,1,基础建设,1,1/1
603029.SH,天鹅股份,21.6,9.98,104716,104716,0,专用设备,1,1/1
603062.SH,麦加芯彩,56.29,10.01,110928,110928,0,化学制品,1,1/1
603169.SH,兰石重装,12.8,9.97,104350,104350,0,专用设备,1,1/1
603248.SH,锡华科技,28.2,9.98,130024,150000,2,风电设备,1,1/1
603280.SH,南方路机,40.7,10.0,110830,110830,0,工程机械,1,1/1
603366.SH,日出东方,10.32,10.02,103220,103220,0,厨卫电器,1,1/1
603538.SH,美诺华,25.37,10.02,112950,112950,0,化学制药,1,1/1
603558.SH,健盛集团,12.99,9.99,93327,93327,0,纺织制造,1,1/1
603607.SH,京华激光,24.55,9.99,93520,93520,0,包装印刷,1,1/1
603659.SH,璞泰来,32.41,10.01,94917,94917,0,电池,1,1/1
603803.SH,瑞斯康达,13.75,10.0,95315,95315,0,通信设备,1,1/1
603929.SH,亚翔集成,140.83,10.0,93000,93000,0,专业工程,1,1/1
605222.SH,起帆电缆,23.06,10.02,130826,130826,0,电网设备,1,1/1
