代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000420.SZ,吉林化纤,5.02,10.09,92500,92500,0,化学纤维,1,1/1
000537.SZ,绿发电力,12.51,10.03,93157,93157,0,电力,1,1/1
000553.SZ,安道麦A,6.8,10.03,101706,101706,0,农化制品,1,1/1
000593.SZ,德龙汇能,15.65,9.98,101918,101918,0,燃气Ⅱ,1,1/1
000600.SZ,建投能源,10.7,9.97,134145,134145,0,电力,1,1/1
000890.SZ,法尔胜,10.08,10.04,94236,104645,3,环保设备,1,1/1
000990.SZ,诚志股份,9.78,10.01,94242,111739,1,化学原料,1,1/1
001260.SZ,坤泰股份,24.53,10.0,94742,94742,0,汽车零部件,1,1/1
002015.SZ,协鑫能科,21.36,9.99,100315,130454,9,电力,1,1/1
002150.SZ,正泰电源,32.65,10.01,93124,93724,1,通用设备,1,1/1
002221.SZ,东华能源,9.74,9.56,100300,,1,炼化及贸,1,1/1
002254.SZ,泰和新材,13.81,10.04,92500,101009,1,化学纤维,1,1/1
002445.SZ,中南文化,4.08,9.97,92500,92500,0,通用设备,1,1/1
002455.SZ,百川股份,16.16,9.71,92500,,5,化学制品,1,1/1
002487.SZ,大金重工,73.32,10.01,132127,132127,0,风电设备,1,1/1
002498.SZ,汉缆股份,10.38,9.96,95727,95727,0,电网设备,1,1/1
002652.SZ,扬子新材,5.37,10.04,141506,141506,0,装修建材,1,1/1
002869.SZ,金溢科技,24.15,10.02,141215,141215,0,计算机设,1,1/1
002951.SZ,金时科技,17.24,10.02,93748,93748,0,其他电源,1,1/1
003041.SZ,真爱美家,63.5,9.54,101100,,1,服装家纺,1,1/1
300690.SZ,双一科技,37.4,19.99,132639,141824,4,风电设备,1,1/1
301068.SZ,大地海洋,35.16,20.0,135406,145633,2,环境治理,1,1/1
301396.SZ,宏景科技,149.98,20.0,143848,143848,0,IT服务Ⅱ,1,1/1
301667.SZ,纳百川,79.98,20.0,101512,101730,2,汽车零部件,1,1/1
600121.SH,郑州煤电,5.14,10.06,110459,110459,0,煤炭开采,1,1/1
600188.SH,兖矿能源,22.17,10.02,102658,132846,2,煤炭开采,1,1/1
600370.SH,三房巷,2.48,10.22,92502,93444,1,化学纤维,1,1/1
600691.SH,潞化科技,4.03,10.11,93031,93125,1,农化制品,1,1/1
600703.SH,三安光电,18.74,9.98,94929,135626,1,光学光电,1,1/1
600714.SH,金瑞矿业,23.79,9.99,130030,143251,8,化学原料,1,1/1
600722.SH,金牛化工,15.4,10.0,102923,134120,3,化学原料,1,1/1
600726.SH,华电能源,3.88,9.92,93507,93507,0,电力,1,1/1
600821.SH,金开新能,10.87,10.02,131046,131046,0,电力,1,1/1
600844.SH,金煤科技,3.94,10.06,100908,141220,4,化学原料,1,1/1
600868.SH,梅雁吉祥,4.33,9.9,94149,94149,0,电力,1,1/1
600935.SH,华塑股份,3.31,9.97,100225,131022,1,化学原料,1,1/1
600956.SH,新天绿能,9.46,10.0,134557,145633,2,电力,1,1/1
601015.SH,陕西黑猫,5.17,10.0,130220,130220,0,焦炭Ⅱ,1,1/1
601016.SH,节能风电,4.43,9.93,93829,130232,6,电力,1,1/1
601038.SH,一拖股份,15.82,10.01,130211,130211,0,专用设备,1,1/1
601330.SH,绿色动力,9.21,10.04,93335,131820,14,环境治理,1,1/1
601868.SH,中国能建,3.8,10.14,133322,145443,6,基础建设,1,1/1
601969.SH,海南矿业,13.42,10.0,95627,145343,2,冶钢原料,1,1/1
601991.SH,大唐发电,4.58,10.1,93533,93533,0,电力,1,1/1
603077.SH,和邦生物,3.33,9.9,95308,134702,3,农化制品,1,1/1
603092.SH,德力佳,73.82,10.0,130955,144149,4,风电设备,1,1/1
603281.SH,江瀚新材,32.81,9.99,130441,130441,0,化学制品,1,1/1
603507.SH,振江股份,38.87,9.99,131221,131221,0,风电设备,1,1/1
603527.SH,众源新材,12.39,10.04,110350,140305,4,工业金属,1,1/1
603626.SH,科森科技,24.37,10.02,93407,93631,1,消费电子,1,1/1
603693.SH,江苏新能,15.42,9.99,131740,131740,0,电力,1,1/1
603978.SH,深圳新星,27.52,9.99,93440,93440,0,金属新材,1,1/1
603992.SH,松霖科技,32.18,10.02,144419,144419,0,家居用品,1,1/1
605305.SH,中际联合,42.58,10.0,140907,140907,0,工程机械,1,1/1
688295.SH,中复神鹰,43.25,20.01,92503,94039,2,化学纤维,1,1/1
