ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260405,综合Ⅲ,东阳光,600673.SH,-3.16,2.85,20644043.1,1.87,1,18,行业板块,东财三级行业,0.05263157894736842,-17,0.15,0.09842105263157895,0.6806315789473685
BK1626.DC,20260405,稀土,中稀有色,600259.SH,0.2,0.7,28802451.2,1.63,3,1,行业板块,东财三级行业,0.75,2,0.5249999999999999,1.2225,22.909499999999998
BK1625.DC,20260405,钨,中钨高新,000657.SZ,-1.14,0.22,23557392.7,2.4,1,3,行业板块,东财三级行业,0.25,-2,0.055,0.6,7.289000000000001
BK1624.DC,20260405,其他小金属,云南锗业,002428.SZ,-1.4,8.86,41951673.6,3.53,2,13,行业板块,东财三级行业,0.13333333333333333,-11,1.1813333333333333,0.4706666666666666,3.9104
BK1623.DC,20260405,钼,金钼股份,601958.SH,-1.28,-1.28,10036685.0,2.17,0,2,行业板块,东财三级行业,0.0,-2,-0.0,0.0,-0.384
BK1622.DC,20260405,镍,华友钴业,603799.SH,-2.64,-2.64,10891009.2,2.03,0,1,行业板块,东财三级行业,0.0,-1,-0.0,0.0,-0.792
BK1621.DC,20260405,锂,赣锋锂业,002460.SZ,-2.02,-0.23,42859561.6,4.74,0,8,行业板块,东财三级行业,0.0,-8,-0.0,0.0,-0.606
BK1620.DC,20260405,钴,腾远钴业,301219.SZ,-2.25,-2.04,3008135.1,1.41,0,2,行业板块,东财三级行业,0.0,-2,-0.0,0.0,-0.6749999999999999
BK1619.DC,20260405,其他金属新材料,博迁新材,605376.SH,-1.9,5.62,20038609.7,1.64,4,16,行业板块,东财三级行业,0.2,-12,1.124,0.328,5.7204
BK1618.DC,20260405,磁性材料,新莱福,301323.SZ,-0.75,3.23,16821333.9,1.11,3,11,行业板块,东财三级行业,0.21428571428571427,-8,0.6921428571428571,0.23785714285714288,6.389571428571428
BK1617.DC,20260405,黄金,中金黄金,600489.SH,-0.96,1.06,62726521.6,1.39,4,6,行业板块,东财三级行业,0.4,-2,0.42400000000000004,0.5559999999999999,11.908
BK1616.DC,20260405,白银,盛达资源,000603.SZ,-1.17,-0.08,12857130.9,2.96,0,3,行业板块,东财三级行业,0.0,-3,-0.0,0.0,-0.351
