trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,代码,名称,最新价,涨跌幅,所属行业,首次封板时间,最后封板时间,炸板次数,连板数,涨停统计,成交额,换手率,流通市值,总市值,板上成交金额,封单金额,行业代码
20260325,000070.SZ,通信设备,特发信息,15.86,9.99,634823824.0,,14094446592.72,14279468020.48,4.58,115147311.0,93557,93557,0,1/1,1.0,U,000070,特发信息,15.86,9.99,通信设备,93557,93557,0,1.0,1/1,634823824.0,4.58,14094446592.72,14279468020.48,,115147311.0,BK0448.DC
20260325,000539.SZ,电力,粤电力Ａ,7.46,10.03,1656450032.0,,19063186266.54,39167118878.72,8.98,97520462.0,95421,100757,2,4/6,2.0,U,000539,粤电力Ａ,7.46,10.03,电力,95421,100757,2,2.0,4/6,1656450032.0,8.98,19063186266.54,39167118878.72,,97520462.0,BK0428.DC
20260325,000592.SZ,林业Ⅱ,平潭发展,11.17,10.05,3170908416.0,,21391582655.33,21577992608.32,15.57,282252886.0,142627,142627,0,1/1,1.0,U,000592,平潭发展,11.17,10.05,林业Ⅱ,142627,142627,0,1.0,1/1,3170908416.0,15.57,21391582655.33,21577992608.32,,282252886.0,BK1255.DC
20260325,000601.SZ,电力,韶能股份,8.87,10.05,2043467744.0,,9309303665.09,9440725319.36,22.25,169398044.0,93024,94724,4,7/14,2.0,U,000601,韶能股份,8.87,10.05,电力,93024,94724,4,2.0,7/14,2043467744.0,22.25,9309303665.09,9440725319.36,,169398044.0,BK0428.DC
20260325,000639.SZ,食品加工,西王食品,3.1,9.93,160729283.0,,3346222993.2,3346227097.6,4.92,140610398.0,94521,94521,0,1/1,1.0,U,000639,西王食品,3.1,9.93,食品加工,94521,94521,0,1.0,1/1,160729283.0,4.92,3346222993.2,3346227097.6,,140610398.0,BK1280.DC
20260325,000659.SZ,包装印刷,珠海中富,4.17,10.03,203356948.0,,5361379508.4,5361379541.76,3.93,50375197.0,130054,130054,0,1/1,1.0,U,000659,珠海中富,4.17,10.03,包装印刷,130054,130054,0,1.0,1/1,203356948.0,3.93,5361379508.4,5361379541.76,,50375197.0,BK1265.DC
20260325,000690.SZ,电力,宝新能源,5.61,10.0,1489921088.0,,12198784413.75,12206730872.16,12.69,122025163.0,102015,104018,1,1/1,1.0,U,000690,宝新能源,5.61,10.0,电力,102015,104018,1,1.0,1/1,1489921088.0,12.69,12198784413.75,12206730872.16,,122025163.0,BK0428.DC
20260325,000720.SZ,电网设备,新能泰山,4.55,9.9,81710420.0,,5717218648.05,5717218634.4,1.43,232484825.0,92500,92500,0,2/2,2.0,U,000720,新能泰山,4.55,9.9,电网设备,92500,92500,0,2.0,2/2,81710420.0,1.43,5717218648.05,5717218634.4,,232484825.0,BK0457.DC
20260325,000722.SZ,电力,湖南发展,16.62,9.99,102218584.0,,7714310646.84,7714310746.56,1.33,157263143.0,92500,92500,0,2/2,2.0,U,000722,湖南发展,16.62,9.99,电力,92500,92500,0,2.0,2/2,102218584.0,1.33,7714310646.84,7714310746.56,,157263143.0,BK0428.DC
20260325,000753.SZ,综合Ⅱ,漳州发展,6.97,9.94,282699488.0,,6910623064.87,6910623071.84,4.27,63709285.0,145030,145030,0,1/1,1.0,U,000753,漳州发展,6.97,9.94,综合Ⅱ,145030,145030,0,1.0,1/1,282699488.0,4.27,6910623064.87,6910623071.84,,63709285.0,BK0539.DC
20260325,000791.SZ,电力,甘肃能源,9.25,9.99,1459718752.0,,17904501520.5,30005517632.0,8.38,94639811.0,102100,142145,4,1/1,1.0,U,000791,甘肃能源,9.25,9.99,电力,102100,142145,4,1.0,1/1,1459718752.0,8.38,17904501520.5,30005517632.0,,94639811.0,BK0428.DC
20260325,000859.SZ,塑料,国风新材,10.34,10.0,225007044.0,,9263867302.14,9264394652.48,2.43,88545183.0,93000,93000,0,1/1,1.0,U,000859,国风新材,10.34,10.0,塑料,93000,93000,0,1.0,1/1,225007044.0,2.43,9263867302.14,9264394652.48,,88545183.0,BK0454.DC
20260325,000889.SZ,通信服务,中嘉博创,3.54,9.94,82760698.0,,3079267853.04,3314470564.8,2.69,16019916.0,93000,93000,0,1/1,1.0,U,000889,中嘉博创,3.54,9.94,通信服务,93000,93000,0,1.0,1/1,82760698.0,2.69,3079267853.04,3314470564.8,,16019916.0,BK0736.DC
20260325,000927.SZ,轨交设备,中国铁物,3.04,10.14,267614295.0,,18393065766.24,18393075138.56,1.52,61428361.0,100818,100818,0,1/1,1.0,U,000927,中国铁物,3.04,10.14,轨交设备,100818,100818,0,1.0,1/1,267614295.0,1.52,18393065766.24,18393075138.56,,61428361.0,BK1394.DC
20260325,000978.SZ,旅游及景,桂林旅游,7.38,9.99,246672082.0,,3454716375.0,3454799400.0,7.34,12540834.0,103900,103900,0,1/1,1.0,U,000978,桂林旅游,7.38,9.99,旅游及景,103900,103900,0,1.0,1/1,246672082.0,7.34,3454716375.0,3454799400.0,,12540834.0,BK1272.DC
20260325,000993.SZ,电力,闽东电力,15.7,10.02,932591152.0,,6904036880.4,7189837859.2,14.13,121654590.0,142648,142648,0,1/1,1.0,U,000993,闽东电力,15.7,10.02,电力,142648,142648,0,1.0,1/1,932591152.0,14.13,6904036880.4,7189837859.2,,121654590.0,BK0428.DC
20260325,001316.SZ,炼化及贸,润贝航科,47.58,10.01,121583056.0,,5295255993.3,5477191683.6,2.36,130744606.0,103027,103027,0,1/1,1.0,U,001316,润贝航科,47.58,10.01,炼化及贸,103027,103027,0,1.0,1/1,121583056.0,2.36,5295255993.3,5477191683.6,,130744606.0,BK1274.DC
20260325,001376.SZ,电力,百通能源,17.88,10.03,281464544.0,,3821900296.44,8240892000.0,7.6,138753949.0,105518,105518,0,1/1,1.0,U,001376,百通能源,17.88,10.03,电力,105518,105518,0,1.0,1/1,281464544.0,7.6,3821900296.44,8240892000.0,,138753949.0,BK0428.DC
20260325,001400.SZ,专用设备,江顺科技,147.29,10.0,210379530.0,,2209350000.0,8837400000.0,9.79,136405269.0,94115,94115,0,1/1,1.0,U,001400,江顺科技,147.29,10.0,专用设备,94115,94115,0,1.0,1/1,210379530.0,9.79,2209350000.0,8837400000.0,,136405269.0,BK0910.DC
20260325,002038.SZ,化学制药,双鹭药业,6.25,10.04,344774304.0,,5324459181.25,6420937500.0,6.62,62993118.0,105533,105736,1,1/1,1.0,U,002038,双鹭药业,6.25,10.04,化学制药,105533,105736,1,1.0,1/1,344774304.0,6.62,5324459181.25,6420937500.0,,62993118.0,BK0465.DC
20260325,002192.SZ,能源金属,融捷股份,64.46,10.0,2447530928.0,,16702725523.88,16737374385.38,14.73,61030728.0,93127,112936,19,2/2,2.0,U,002192,融捷股份,64.46,10.0,能源金属,93127,112936,19,2.0,2/2,2447530928.0,14.73,16702725523.88,16737374385.38,,61030728.0,BK1015.DC
20260325,002309.SZ,光伏设备,中利集团,5.07,9.98,5368929536.0,,12199090801.56,15248863537.44,45.61,46168210.0,105948,145600,9,4/4,4.0,U,002309,中利集团,5.07,9.98,光伏设备,105948,145600,9,4.0,4/4,5368929536.0,45.61,12199090801.56,15248863537.44,,46168210.0,BK1031.DC
20260325,002418.SZ,家电零部,康盛股份,4.6,10.05,406271824.0,,5227427754.8,5227440000.0,7.9,106134866.0,94103,102715,1,1/1,1.0,U,002418,康盛股份,4.6,10.05,家电零部,94103,102715,1,1.0,1/1,406271824.0,7.9,5227427754.8,5227440000.0,,106134866.0,BK1455.DC
20260325,002467.SZ,通信服务,二六三,7.38,9.99,947534016.0,,10087603602.66,10150244415.36,9.49,146514889.0,93312,93418,1,1/1,1.0,U,002467,二六三,7.38,9.99,通信服务,93312,93418,1,1.0,1/1,947534016.0,9.49,10087603602.66,10150244415.36,,146514889.0,BK0736.DC
20260325,002475.SZ,消费电子,立讯精密,50.97,9.99,13043880704.0,,370514832322.35,371366630576.64,3.59,524878560.0,101815,130330,1,1/1,1.0,U,002475,立讯精密,50.97,9.99,消费电子,101815,130330,1,1.0,1/1,13043880704.0,3.59,370514832322.35,371366630576.64,,524878560.0,BK1037.DC
