序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000586,汇源通信,10.029153823852539,18.87,78843917,3650212800.0,3650212800.0,2.1599814891815186,149688577,092500,092500,0,2/2,2,通信设备
2,603123,翠微股份,10.02759838104248,11.96,697446272,7801220350.040001,9552890597.12,8.96299934387207,85057128,092500,094739,2,1/1,1,多元金融
3,600488,津药药业,9.936908721923828,6.97,652492192,7610450159.599999,7610450215.36,8.585705757141113,184504264,093024,093024,0,6/6,6,化学制药
4,002792,通宇通讯,9.995148658752441,45.34,2856261264,15316962013.880001,23750725690.88,18.7464542388916,175335719,093124,095106,4,1/1,1,通信设备
5,000950,重药控股,10.01540756225586,7.14,1088612704,12339238729.439999,12339238786.56,8.974218368530273,102742058,093127,094354,2,2/2,2,医药商业
6,603189,网达软件,10.006101608276367,18.03,285124352,4859956732.47,4859956786.56,5.970991134643555,52919853,093605,093817,1,1/1,1,软件开发
7,603585,苏利股份,10.008976936340332,24.51,306013696,4478934164.52,4580773214.52,7.0565338134765625,77894593,094150,094150,0,6/3,1,农化制品
8,300626,华瑞股份,20.0097599029541,24.59,739771104,4423778499.75,4426200000.0,17.17102813720703,18347582,094609,140712,7,1/1,1,电机Ⅱ
9,300608,思特奇,20.0,12.9,499598864,3709742306.7000003,4272995793.6,14.101293563842773,44470428,095642,095642,0,1/1,1,软件开发
10,002980,华盛昌,10.0,46.09,543527472,4673062518.96,8729499464.400002,11.887598991394043,214655417,095824,095824,0,1/1,1,电网设备
11,000720,新能泰山,10.0,5.94,1680827360,7463797531.740001,7463797513.92,23.45001220703125,117534346,100033,100221,2,9/7,2,电网设备
12,003007,直真科技,10.012484550476074,44.06,262294903,3167369242.1600003,4486189200.0,8.479148864746094,31692358,100300,102012,2,1/1,1,软件开发
13,002831,裕同科技,10.006234169006348,35.29,763282032,18032950698.51,32484921556.16,4.2901082038879395,6119286,100851,130021,1,1/1,1,包装印刷
14,600056,中国医药,9.96204948425293,11.59,1791958240,17331123630.02,17337246232.96,10.490880966186523,34047015,101032,131023,4,1/1,1,医药商业
15,300812,易天股份,20.0,40.5,850450992,3754676308.5,5673119674.5,24.26039695739746,94095999,101300,101300,0,1/1,1,消费电子
16,002678,珠江钢琴,9.963768005371094,6.07,354342704,8240476899.360001,8245004342.400001,4.395029067993164,176821892,101627,130357,2,1/1,1,文娱用品
17,688205,德科立,19.9990291595459,247.21,3894355664,39129716182.090004,39129716182.090004,10.223729133605957,29518357,101754,143118,9,1/1,1,通信设备
18,605589,圣泉集团,10.006783485412598,32.43,1086110864,27357947935.14,27448378925.28,4.060797214508057,43003996,102053,105047,2,1/1,1,塑料
19,002222,福晶科技,10.0,75.46,3608571168,35326728338.439995,35485065000.0,10.436579704284668,35432318,102948,130524,3,1/1,1,光学光电
20,600106,重庆路桥,9.925093650817871,5.87,210129997,7801377113.940001,7801377078.72,2.7658867835998535,45005571,103249,104025,1,1/1,1,铁路公路
21,300006,莱美药业,20.07366371154785,6.52,1472216320,6883952254.959999,6884541024.0,22.34376335144043,18509628,103418,131812,2,1/1,1,化学制药
22,003031,中瓷电子,9.997515678405762,88.57,1632018560,30127678564.719997,39949752164.479996,5.557224273681641,82863789,103442,131018,1,1/1,1,通信设备
23,688485,九州一轨,20.015338897705078,31.3,628378192,2778124711.4,4704141540.6,23.80556297302246,20757847,103555,110222,2,1/1,1,轨交设备
24,605133,嵘泰股份,10.0,28.49,349774160,8037545010.879999,8056093140.48,4.491886138916016,34228142,104535,104535,0,1/1,1,汽车零部
25,600654,中安科,9.969788551330566,3.64,415392400,8435451835.72,10474441752.32,5.082935810089111,60905175,110539,111203,1,1/1,1,软件开发
26,688226,威腾电气,20.0,50.28,1395741984,9491633145.6,9491633145.6,15.309284210205078,16729161,110721,134051,7,1/1,1,电网设备
27,603067,振华股份,9.990485191345215,34.68,970186160,24649166406.36,24649166232.96,4.077818870544434,207264707,130936,130936,0,1/1,1,化学原料
28,002796,世嘉科技,10.002174377441406,50.59,1233635408,11519757989.77,12767243899.320002,11.037389755249023,107406870,131415,131415,0,1/1,1,通信设备
29,688146,中船特气,20.009370803833008,51.22,1496903952,7425406527.24,27116470347.2,21.02629852294922,1334127,133040,145001,20,1/1,1,半导体
30,002952,亚世光电,10.004368782043457,25.18,263736247,3314821905.7599998,4138081200.0,8.30073070526123,103681168,133130,133130,0,1/1,1,光学光电
31,603033,三维股份,10.0,10.78,228475374,10915084374.039999,11115943090.56,2.1788077354431152,73474776,133137,133137,0,1/1,1,橡胶
32,600602,云赛智联,10.013531684875488,24.39,2916346368,26202249926.100002,33357555591.84,11.635601997375488,132563528,133813,143855,1,1/1,1,软件开发
33,603966,法兰泰克,9.967845916748047,13.68,572880816,5440838820.48,5453819170.559999,10.80526351928711,22796352,134959,134959,0,1/1,1,专用设备
34,600869,远东股份,10.007046699523926,15.61,2141491760,34644096365.06,34644096458.72,6.447916507720947,109396441,140138,140138,0,1/1,1,电网设备
35,605303,园林股份,10.030959129333496,17.77,160498056,2865188740.16,2865188740.16,5.839381694793701,75755287,141254,141254,0,1/1,1,基础建设
36,600302,标准股份,10.044842720031738,12.27,214100445,4245540295.08,4245540344.16,5.396927833557129,71260479,145544,145544,0,1/1,1,专用设备
