ts_code,name,con_name,con_code,trade_date,desc,hot_num
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251027,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,373
000111.KP,化债概念,重药控股,000950.SZ,20251027,应收总类/总市值：4,373
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251026,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,869
000111.KP,化债概念,重药控股,000950.SZ,20251026,应收总类/总市值：4,869
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251025,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,666
000111.KP,化债概念,重药控股,000950.SZ,20251025,应收总类/总市值：4,666
000111.KP,化债概念,重药控股,000950.SZ,20251024,应收总类/总市值：4,354
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251024,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,354
000111.KP,化债概念,重药控股,000950.SZ,20251023,应收总类/总市值：4,373
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251023,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,373
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251022,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,422
000111.KP,化债概念,重药控股,000950.SZ,20251022,应收总类/总市值：4,422
000111.KP,化债概念,重药控股,000950.SZ,20251021,应收总类/总市值：4,374
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251021,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,374
000111.KP,化债概念,重药控股,000950.SZ,20251020,应收总类/总市值：4,371
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251020,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,371
000111.KP,化债概念,重药控股,000950.SZ,20251019,应收总类/总市值：4,1116
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251019,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1116
000111.KP,化债概念,重药控股,000950.SZ,20251018,应收总类/总市值：4,675
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251018,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,675
000111.KP,化债概念,重药控股,000950.SZ,20251017,应收总类/总市值：4,377
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251017,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,377
000111.KP,化债概念,重药控股,000950.SZ,20251016,应收总类/总市值：4,435
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251016,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,435
000111.KP,化债概念,重药控股,000950.SZ,20251015,应收总类/总市值：4,392
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251015,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,392
000111.KP,化债概念,重药控股,000950.SZ,20251014,应收总类/总市值：4,437
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251014,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,437
000111.KP,化债概念,重药控股,000950.SZ,20251013,应收总类/总市值：4,575
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251013,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,575
000111.KP,化债概念,重药控股,000950.SZ,20251012,应收总类/总市值：4,1894
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251012,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1894
000111.KP,化债概念,重药控股,000950.SZ,20251011,应收总类/总市值：4,1255
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251011,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1255
000111.KP,化债概念,重药控股,000950.SZ,20251010,应收总类/总市值：4,344
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251010,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,344
000111.KP,化债概念,重药控股,000950.SZ,20251009,应收总类/总市值：4,385
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251009,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,385
000111.KP,化债概念,重药控股,000950.SZ,20251008,应收总类/总市值：4,1178
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251008,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1178
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251007,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1400
000111.KP,化债概念,重药控股,000950.SZ,20251007,应收总类/总市值：4,1400
000111.KP,化债概念,重药控股,000950.SZ,20251006,应收总类/总市值：4,1187
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251006,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1187
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251005,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,1629
000111.KP,化债概念,重药控股,000950.SZ,20251005,应收总类/总市值：4,1629
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251004,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,851
000111.KP,化债概念,重药控股,000950.SZ,20251004,应收总类/总市值：4,851
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251003,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,868
000111.KP,化债概念,重药控股,000950.SZ,20251003,应收总类/总市值：4,868
000111.KP,化债概念,重药控股,000950.SZ,20251002,应收总类/总市值：4,703
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251002,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,703
000111.KP,化债概念,重药控股,000950.SZ,20251001,应收总类/总市值：4,534
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20251001,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,534
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250930,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,337
000111.KP,化债概念,重药控股,000950.SZ,20250930,应收总类/总市值：4,337
000111.KP,化债概念,重药控股,000950.SZ,20250929,应收总类/总市值：4,335
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250929,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,335
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250928,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,0
000111.KP,化债概念,重药控股,000950.SZ,20250928,应收总类/总市值：4,639
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250927,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,507
000111.KP,化债概念,重药控股,000950.SZ,20250927,应收总类/总市值：4,507
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250926,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,344
000111.KP,化债概念,重药控股,000950.SZ,20250926,应收总类/总市值：4,344
000111.KP,化债概念,重药控股,000950.SZ,20250925,应收总类/总市值：4,349
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250925,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,349
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250924,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,347
000111.KP,化债概念,重药控股,000950.SZ,20250924,应收总类/总市值：4,347
000139.KP,SPD医疗供应链,重药控股,000950.SZ,20250923,公司在重庆、四川、安徽等全国14个省开展SPD项目约80个，其中器械SPD项目8个。,349
000111.KP,化债概念,重药控股,000950.SZ,20250923,应收总类/总市值：4,349
