代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000096.SZ,广聚能源,13.27,10.03,130136,145312,3,炼化及贸,1,1/1
000301.SZ,东方盛虹,14.58,10.04,133630,140633,1,炼化及贸,1,1/1
000407.SZ,胜利股份,5.86,9.94,92500,92500,0,燃气Ⅱ,1,1/1
000421.SZ,南京公用,7.73,9.96,131054,131054,0,综合Ⅱ,1,1/1
000554.SZ,泰山石油,10.85,10.04,92500,93115,1,炼化及贸,1,1/1
000968.SZ,蓝焰控股,10.41,10.04,93000,95012,9,油气开采,1,1/1
001269.SZ,欧晶科技,26.03,10.02,93200,93200,0,光伏设备,1,1/1
001299.SZ,美能能源,15.47,10.03,94927,94927,0,燃气Ⅱ,1,1/1
002040.SZ,南 京 港,13.17,10.03,95433,145609,8,航运港口,1,1/1
002207.SZ,准油股份,13.66,9.98,92500,92500,0,油服工程,1,1/1
002267.SZ,陕天然气,9.04,9.98,130039,130039,0,燃气Ⅱ,1,1/1
002350.SZ,北京科锐,13.08,10.01,105915,105915,0,电网设备,1,1/1
002490.SZ,山东墨龙,10.65,10.02,92500,92500,0,专用设备,1,1/1
002491.SZ,通鼎互联,12.23,9.98,93842,150000,16,通信设备,1,1/1
002506.SZ,协鑫集成,5.16,10.02,93112,100057,2,光伏设备,1,1/1
002554.SZ,惠博普,5.13,10.09,95939,142654,15,油服工程,1,1/1
002629.SZ,仁智股份,8.11,10.04,95545,145400,12,油服工程,1,1/1
002682.SZ,龙洲股份,7.67,10.04,100230,102827,1,物流,1,1/1
002700.SZ,万憬能源,8.18,9.95,132357,145403,2,燃气Ⅱ,1,1/1
002828.SZ,贝肯能源,16.37,10.01,93027,93312,3,油服工程,1,1/1
002911.SZ,佛燃能源,17.77,10.03,100624,145600,7,燃气Ⅱ,1,1/1
002952.SZ,亚世光电,24.43,10.0,94536,94536,0,光学光电,1,1/1
002957.SZ,科瑞技术,31.67,10.0,93000,140554,3,自动化设,1,1/1
002980.SZ,华盛昌,35.06,10.01,92500,145154,11,电网设备,1,1/1
300157.SZ,新锦动力,10.07,20.02,133233,133233,0,通用设备,1,1/1
300164.SZ,通源石油,21.7,20.02,95139,95339,2,油服工程,1,1/1
300191.SZ,潜能恒信,53.08,20.01,103254,131424,10,油服工程,1,1/1
300332.SZ,天壕能源,7.24,20.07,102806,102806,0,燃气Ⅱ,1,1/1
300483.SZ,首华燃气,25.03,19.99,111148,144039,6,燃气Ⅱ,1,1/1
300839.SZ,博汇股份,17.2,20.03,145324,145324,0,炼化及贸,1,1/1
301158.SZ,德石股份,37.44,20.0,133939,142406,8,专用设备,1,1/1
301302.SZ,华如科技,35.66,19.99,93115,95254,1,军工电子,1,1/1
301658.SZ,首航新能,36.09,13.49,93112,,4,光伏设备,1,1/1
600026.SH,中远海能,24.9,9.98,95421,95603,2,航运港口,1,1/1
600028.SH,中国石化,7.82,9.99,130059,142738,11,炼化及贸,1,1/1
600108.SH,亚盛集团,4.81,10.07,93155,144540,15,种植业,1,1/1
600256.SH,广汇能源,7.12,10.05,112655,145055,3,炼化及贸,1,1/1
600333.SH,长春燃气,6.51,9.97,100353,144150,2,燃气Ⅱ,1,1/1
600339.SH,中油工程,5.13,10.09,93340,93340,0,油服工程,1,1/1
600367.SH,红星发展,25.91,10.02,130131,145634,5,化学原料,1,1/1
600403.SH,大有能源,7.88,10.06,132458,145001,1,煤炭开采,1,1/1
600428.SH,中远海特,9.3,9.8,132903,,4,航运港口,1,1/1
600583.SH,海油工程,8.72,9.96,103030,145503,15,油服工程,1,1/1
600617.SH,国新能源,3.7,10.12,93232,93305,1,燃气Ⅱ,1,1/1
600635.SH,大众公用,6.91,10.03,95949,101519,2,燃气Ⅱ,1,1/1
600681.SH,百川能源,4.76,9.93,93838,93838,0,燃气Ⅱ,1,1/1
600688.SH,上海石化,3.84,10.03,100113,143328,14,炼化及贸,1,1/1
600714.SH,金瑞矿业,21.74,10.02,92502,93341,2,化学原料,1,1/1
600722.SH,金牛化工,11.35,9.98,92502,92502,0,化学原料,1,1/1
600759.SH,洲际油气,7.51,9.96,92501,92501,0,油气开采,1,1/1
600792.SH,云煤能源,5.42,9.72,133954,,1,焦炭Ⅱ,1,1/1
600798.SH,宁波海运,4.64,9.95,95009,95009,0,航运港口,1,1/1
600803.SH,新奥股份,24.05,10.02,145528,,1,燃气Ⅱ,1,1/1
600871.SH,石化油服,3.88,9.92,92502,92502,0,油服工程,1,1/1
600903.SH,贵州燃气,7.7,10.0,100102,144553,7,燃气Ⅱ,1,1/1
600917.SH,重庆燃气,6.42,9.93,130142,144827,12,燃气Ⅱ,1,1/1
600938.SH,中国海油,43.41,10.01,110401,143258,13,油气开采,1,1/1
600968.SH,海油发展,5.54,9.92,94313,94702,3,油服工程,1,1/1
601015.SH,陕西黑猫,5.69,10.06,130149,130149,0,焦炭Ⅱ,1,1/1
601022.SH,宁波远洋,11.24,9.98,112750,112750,0,航运港口,1,1/1
601083.SH,锦江航运,13.73,10.02,131144,150000,2,航运港口,1,1/1
