代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000045.SZ,深纺织Ａ,13.2,10.0,94239,94239,0,光学光电,1,1/1
000509.SZ,华塑控股,3.63,10.0,93745,93939,2,光学光电,1,1/1
000533.SZ,顺钠股份,13.53,10.0,92500,92500,0,电网设备,1,1/1
000536.SZ,华映科技,4.74,9.98,94221,94221,0,光学光电,1,1/1
000555.SZ,神州信息,18.02,10.01,95703,95703,0,IT服务Ⅱ,1,1/1
000703.SZ,恒逸石化,13.09,10.0,140624,144027,5,炼化及贸,1,1/1
000727.SZ,冠捷科技,2.73,10.08,93148,93148,0,光学光电,1,1/1
000815.SZ,美利云,14.83,10.01,131221,145606,8,IT服务Ⅱ,1,1/1
000920.SZ,沃顿科技,13.63,10.01,102433,102433,0,塑料,1,1/1
001267.SZ,汇绿生态,36.96,10.0,130833,144900,2,基础建设,1,1/1
002195.SZ,岩山科技,10.69,9.98,104212,142239,5,IT服务Ⅱ,1,1/1
002235.SZ,安妮股份,10.62,10.05,93112,93112,0,造纸,1,1/1
002339.SZ,积成电子,12.69,9.97,93206,101454,4,电网设备,1,1/1
002355.SZ,兴民智通,7.33,10.06,93315,93315,0,汽车零部件,1,1/1
002429.SZ,兆驰股份,10.22,10.01,92500,92500,0,黑色家电,1,1/1
002449.SZ,国星光电,8.76,10.05,93000,93000,0,光学光电,1,1/1
002456.SZ,欧菲光,9.78,10.01,95809,100233,1,光学光电,1,1/1
002471.SZ,中超控股,9.04,9.98,105603,130351,1,电网设备,1,1/1
002498.SZ,汉缆股份,8.94,9.96,93000,93000,0,电网设备,1,1/1
002520.SZ,日发精机,6.77,10.08,104915,104915,0,通用设备,1,1/1
002559.SZ,亚威股份,10.47,9.98,110909,110909,0,通用设备,1,1/1
002587.SZ,奥拓电子,7.01,10.05,93345,94657,1,光学光电,1,1/1
002606.SZ,大连电瓷,14.0,9.55,93312,,6,电网设备,1,1/1
002733.SZ,雄韬股份,24.48,10.02,130124,130124,0,电池,1,1/1
002796.SZ,世嘉科技,57.32,10.0,95806,142800,1,通信设备,1,1/1
002800.SZ,天顺股份,23.41,10.01,100227,100227,0,物流,1,1/1
002845.SZ,同兴达,15.7,10.02,93742,93742,0,光学光电,1,1/1
002857.SZ,三晖电气,23.75,10.0,95333,101806,1,电网设备,1,1/1
002877.SZ,智能自控,10.89,10.0,92500,101645,1,通用设备,1,1/1
002913.SZ,奥士康,48.29,10.0,130757,130757,0,元件,1,1/1
002952.SZ,亚世光电,26.5,10.0,94436,94612,2,光学光电,1,1/1
002983.SZ,芯瑞达,25.41,10.0,93248,93248,0,光学光电,1,1/1
002986.SZ,宇新股份,16.01,10.03,130412,130412,0,炼化及贸,1,1/1
003036.SZ,泰坦股份,18.26,10.0,93745,93745,0,专用设备,1,1/1
300072.SZ,海新能科,5.88,20.0,135200,142851,3,化学制品,1,1/1
300162.SZ,雷曼光电,9.48,20.0,93448,93448,0,光学光电,1,1/1
300232.SZ,洲明科技,8.26,12.23,103042,,1,光学光电,1,1/1
300241.SZ,瑞丰光电,7.39,19.97,93806,93906,1,光学光电,1,1/1
300265.SZ,通光线缆,21.46,20.02,93406,144536,8,电网设备,1,1/1
300269.SZ,联建光电,8.64,20.0,93618,93618,0,光学光电,1,1/1
300303.SZ,聚飞光电,12.53,20.02,94036,94036,0,光学光电,1,1/1
300323.SZ,华灿光电,10.25,20.02,92500,92500,0,光学光电,1,1/1
300389.SZ,艾比森,20.64,20.0,94730,94730,0,光学光电,1,1/1
300423.SZ,昇辉科技,11.58,15.45,104300,,4,电网设备,1,1/1
300708.SZ,聚灿光电,12.52,20.04,100309,145036,11,光学光电,1,1/1
300895.SZ,铜牛信息,61.54,20.01,131451,142342,3,IT服务Ⅱ,1,1/1
600468.SH,百利电气,8.55,10.04,103500,103500,0,电网设备,1,1/1
600516.SH,方大炭素,6.88,10.08,110517,150000,7,冶钢原料,1,1/1
600545.SH,卓郎智能,3.77,9.91,92501,92501,0,专用设备,1,1/1
