代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000035.SZ,中国天楹,7.01,10.05,92500,94312,1,环境治理,1,1/1
000510.SZ,新金路,20.41,10.03,111321,133042,2,化学原料,1,1/1
000593.SZ,德龙汇能,15.74,9.99,132603,132603,0,燃气Ⅱ,1,1/1
000628.SZ,高新发展,57.31,10.0,110009,110009,0,房屋建设,1,1/1
000657.SZ,中钨高新,66.22,10.0,133048,133048,0,小金属,1,1/1
000731.SZ,四川美丰,7.89,10.04,132342,133803,2,农化制品,1,1/1
000751.SZ,锌业股份,7.11,9.05,95133,,1,工业金属,1,1/1
000899.SZ,赣能股份,14.61,10.02,93015,93015,0,电力,1,1/1
000960.SZ,锡业股份,44.36,9.99,134121,134454,2,小金属,1,1/1
000993.SZ,闽东电力,14.43,9.98,130957,130957,0,电力,1,1/1
001209.SZ,洪兴股份,32.52,10.01,102039,102039,0,服装家纺,1,1/1
001216.SZ,华瓷股份,20.66,10.01,145239,145239,0,家居用品,1,1/1
001896.SZ,豫能控股,13.34,9.98,93054,93536,3,电力,1,1/1
002015.SZ,协鑫能科,14.16,10.02,111427,111427,0,电力,1,1/1
002046.SZ,国机精工,52.57,10.0,135939,135939,0,通用设备,1,1/1
002155.SZ,湖南黄金,37.7,10.01,135612,142745,2,贵金属,1,1/1
002167.SZ,东方锆业,15.58,10.03,101639,101639,0,小金属,1,1/1
002177.SZ,御银股份,9.69,9.99,93300,100133,3,计算机设,1,1/1
002182.SZ,宝武镁业,21.79,9.99,94224,94224,0,小金属,1,1/1
002216.SZ,三全食品,12.76,10.0,93603,93603,0,食品加工,1,1/1
002261.SZ,拓维信息,36.52,10.0,93409,93409,0,软件开发,1,1/1
002350.SZ,北京科锐,12.32,10.0,93009,93009,0,电网设备,1,1/1
002356.SZ,赫美集团,4.22,9.9,111330,111330,0,一般零售,1,1/1
002378.SZ,章源钨业,40.6,10.0,93636,93636,0,小金属,1,1/1
002394.SZ,联发股份,15.66,9.97,102315,102315,0,纺织制造,1,1/1
002470.SZ,金正大,3.1,9.93,93030,145309,4,农化制品,1,1/1
002628.SZ,成都路桥,5.27,10.02,111354,111354,0,基础建设,1,1/1
002633.SZ,申科股份,19.35,10.01,95939,95939,0,通用设备,1,1/1
002655.SZ,共达电声,17.12,10.03,110851,110851,0,消费电子,1,1/1
002734.SZ,利民股份,22.48,9.98,132651,145636,1,农化制品,1,1/1
002756.SZ,永兴材料,64.9,10.0,135003,141830,2,能源金属,1,1/1
002842.SZ,翔鹭钨业,41.56,10.01,93239,93651,4,小金属,1,1/1
002843.SZ,泰嘉股份,25.27,10.01,92500,92500,0,通用设备,1,1/1
002865.SZ,钧达股份,92.94,10.0,93415,100736,2,光伏设备,1,1/1
002973.SZ,侨银股份,15.59,10.02,130542,130542,0,环境治理,1,1/1
002980.SZ,华盛昌,28.97,9.98,94427,94427,0,电网设备,1,1/1
003018.SZ,金富科技,26.57,10.02,104103,104103,0,包装印刷,1,1/1
003035.SZ,南网能源,8.22,10.04,130415,130415,0,电力,1,1/1
300317.SZ,珈伟新能,5.36,19.91,130309,130309,0,电力,1,1/1
300830.SZ,金现代,14.88,20.0,93651,93651,0,软件开发,1,1/1
301226.SZ,祥明智能,41.82,20.0,143800,143800,0,电机Ⅱ,1,1/1
600108.SH,亚盛集团,3.97,9.97,101143,102643,1,种植业,1,1/1
600126.SH,杭钢股份,9.94,9.96,94758,95258,1,普钢,1,1/1
600230.SH,沧州大化,24.76,10.0,142618,142618,0,化学制品,1,1/1
600259.SH,中稀有色,102.08,10.0,104619,111525,10,小金属,1,1/1
600301.SH,华锡有色,64.76,10.01,142851,142851,0,小金属,1,1/1
600397.SH,江钨装备,21.53,10.02,102002,102936,3,专用设备,1,1/1
600452.SH,涪陵电力,13.28,10.02,130429,141808,7,电力,1,1/1
600456.SH,宝钛股份,44.35,10.0,94931,142755,3,小金属,1,1/1
600459.SH,贵研铂业,25.85,10.0,132421,135654,1,小金属,1,1/1
600498.SH,烽火通信,51.55,10.01,103016,133110,6,通信设备,1,1/1
600549.SH,厦门钨业,70.15,10.0,132354,132354,0,小金属,1,1/1
600725.SH,云维股份,5.39,10.0,93910,93910,0,综合Ⅱ,1,1/1
600744.SH,华银电力,7.94,9.97,93154,93721,3,电力,1,1/1
600821.SH,金开新能,7.39,9.97,104110,111934,3,电力,1,1/1
601958.SH,金钼股份,24.53,10.0,133338,141053,3,小金属,1,1/1
603093.SH,南华期货,19.66,10.02,103522,103522,0,多元金融,1,1/1
603117.SH,万林物流,5.96,9.96,111548,111548,0,物流,1,1/1
603217.SH,元利科技,28.33,10.02,141102,141102,0,化学制品,1,1/1
603226.SH,菲林格尔,31.82,9.99,130029,130029,0,家居用品,1,1/1
603232.SH,格尔软件,26.05,10.01,92500,92500,0,软件开发,1,1/1
603257.SH,中国瑞林,66.43,10.0,141010,141010,0,工程咨询,1,1/1
603318.SH,水发燃气,8.02,10.01,132855,143804,3,燃气Ⅱ,1,1/1
603353.SH,和顺石油,42.13,10.0,102218,102218,0,炼化及贸,1,1/1
603381.SH,永臻股份,29.5,9.99,100504,100504,0,光伏设备,1,1/1
603530.SH,神马电力,60.17,10.0,93143,94737,2,电网设备,1,1/1
