代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000035.SZ,中国天楹,7.71,9.99,92500,144845,1,环境治理,1,1/1
000070.SZ,特发信息,19.66,10.02,93206,93424,1,通信设备,1,1/1
000096.SZ,广聚能源,12.06,10.04,130621,130621,0,炼化及贸,1,1/1
000506.SZ,招金黄金,22.33,10.0,143109,143109,0,贵金属,1,1/1
000510.SZ,新金路,22.45,10.0,94009,102648,7,化学原料,1,1/1
000554.SZ,泰山石油,9.86,10.04,92500,93430,1,炼化及贸,1,1/1
000637.SZ,茂化实华,5.42,9.94,103500,103500,0,炼化及贸,1,1/1
000731.SZ,四川美丰,8.6,9.0,93018,,8,农化制品,1,1/1
000890.SZ,法尔胜,8.43,10.05,94327,104542,3,环保设备,1,1/1
000912.SZ,泸天化,5.35,10.08,94818,94818,0,农化制品,1,1/1
000960.SZ,锡业股份,48.8,10.01,134627,145339,9,小金属,1,1/1
000968.SZ,蓝焰控股,9.46,10.0,102439,102439,0,油气开采,1,1/1
001267.SZ,汇绿生态,33.55,10.0,100048,103833,3,基础建设,1,1/1
001337.SZ,四川黄金,55.74,10.01,135409,135409,0,贵金属,1,1/1
001400.SZ,江顺科技,133.45,10.0,100445,100445,0,专用设备,1,1/1
002040.SZ,南 京 港,11.97,10.02,101842,103215,2,航运港口,1,1/1
002109.SZ,兴化股份,4.84,10.0,92500,93742,1,化学原料,1,1/1
002155.SZ,湖南黄金,41.47,10.0,141951,141951,0,贵金属,1,1/1
002207.SZ,准油股份,12.42,10.01,92500,92500,0,油服工程,1,1/1
002356.SZ,赫美集团,4.64,9.95,100142,100142,0,一般零售,1,1/1
002380.SZ,科远智慧,35.74,10.0,100300,100300,0,IT服务Ⅱ,1,1/1
002389.SZ,航天彩虹,26.54,9.99,94427,140012,1,航空装备,1,1/1
002413.SZ,雷科防务,16.36,10.02,93800,93800,0,军工电子,1,1/1
002432.SZ,九安医疗,48.83,10.0,133054,142948,1,医疗器械,1,1/1
002490.SZ,山东墨龙,9.68,10.0,92500,93148,1,专用设备,1,1/1
