ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260330,综合Ⅲ,漳州发展,000753.SZ,1.19,10.08,21337708.5,2.29,10,7,行业板块,东财三级行业,0.5882352941176471,3,5.929411764705883,1.3470588235294119,19.459352941176473
BK1626.DC,20260330,稀土,北方稀土,600111.SH,-0.61,-0.34,28662099.2,1.86,0,4,行业板块,东财三级行业,0.0,-4,-0.0,0.0,-0.183
BK1625.DC,20260330,钨,翔鹭钨业,002842.SZ,-0.22,2.02,25181948.1,5.31,2,2,行业板块,东财三级行业,0.5,0,1.01,2.655,15.667
BK1624.DC,20260330,其他小金属,西部材料,002149.SZ,1.4,7.48,44140590.4,5.36,11,3,行业板块,东财三级行业,0.7857142857142857,8,5.877142857142857,4.211428571428572,26.00914285714286
BK1623.DC,20260330,钼,金钼股份,601958.SH,0.11,0.11,7504956.4,0.83,1,0,行业板块,东财三级行业,1.0,1,0.11,0.83,30.221
BK1622.DC,20260330,镍,华友钴业,603799.SH,-0.25,-0.25,11332946.7,3.16,0,1,行业板块,东财三级行业,0.0,-1,-0.0,0.0,-0.075
BK1621.DC,20260330,锂,融捷股份,002192.SZ,0.36,5.1,44379665.6,8.13,4,4,行业板块,东财三级行业,0.5,0,2.55,4.065,16.431
BK1620.DC,20260330,钴,腾远钴业,301219.SZ,-1.24,-0.97,3118188.3,2.55,0,2,行业板块,东财三级行业,0.0,-2,-0.0,0.0,-0.372
BK1619.DC,20260330,其他金属新材料,族兴新材,920078.BJ,2.29,18.56,20724018.0,2.43,17,3,行业板块,东财三级行业,0.85,14,15.775999999999998,2.0655,29.755300000000002
BK1618.DC,20260330,磁性材料,龙磁科技,300835.SZ,-0.46,2.47,16984635.4,1.79,7,6,行业板块,东财三级行业,0.5384615384615384,1,1.33,0.9638461538461538,16.474615384615383
BK1617.DC,20260330,黄金,赤峰黄金,600988.SH,4.42,7.89,63161515.2,2.92,10,0,行业板块,东财三级行业,1.0,10,7.89,2.92,33.48800000000001
