代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000014.SZ,沙河股份,14.31,9.99,112727,112727,0,房地产开发,1,1/1
000537.SZ,绿发电力,10.34,10.0,92500,92500,0,电力,1,1/1
000839.SZ,国安股份,3.62,10.03,93351,93512,1,通信服务,1,1/1
000949.SZ,新乡化纤,7.59,10.0,95139,95139,0,化学纤维,1,1/1
001267.SZ,汇绿生态,45.68,9.99,100042,104942,2,基础建设,1,1/1
001332.SZ,锡装股份,65.55,10.0,104312,104312,0,专用设备,1,1/1
001389.SZ,广合科技,120.23,10.0,103951,103951,0,元件,1,1/1
001400.SZ,江顺科技,146.04,10.0,95736,95736,0,专用设备,1,1/1
002025.SZ,航天电器,56.03,9.99,93242,100903,4,军工电子,1,1/1
002281.SZ,光迅科技,86.16,10.0,130409,130409,0,通信设备,1,1/1
002290.SZ,禾盛新材,67.21,10.0,101624,101624,0,家电零部,1,1/1
002294.SZ,信立泰,54.01,10.0,111400,111400,0,化学制药,1,1/1
002298.SZ,中电鑫龙,12.41,10.02,112300,112300,0,电网设备,1,1/1
002335.SZ,科华数据,69.48,10.01,143512,143512,0,其他电源,1,1/1
002350.SZ,北京科锐,15.22,9.97,112054,112054,0,电网设备,1,1/1
002384.SZ,东山精密,108.06,10.0,132921,132921,0,元件,1,1/1
002445.SZ,中南文化,3.37,10.13,92500,92500,0,通用设备,1,1/1
002467.SZ,二六三,7.59,10.0,93200,130812,4,通信服务,1,1/1
002536.SZ,飞龙股份,38.09,9.99,93639,94027,1,汽车零部件,1,1/1
002575.SZ,群兴玩具,8.82,9.98,112706,112706,0,文娱用品,1,1/1
002632.SZ,道明光学,13.64,10.0,93154,93930,1,塑料,1,1/1
002636.SZ,金安国纪,27.87,9.98,94154,94154,0,元件,1,1/1
002729.SZ,好利科技,19.18,9.98,111348,111348,0,其他电子,1,1/1
002760.SZ,凤形股份,25.23,9.98,100836,100836,0,通用设备,1,1/1
002903.SZ,宇环数控,30.37,10.0,94342,94354,1,通用设备,1,1/1
002969.SZ,嘉美包装,25.91,10.02,94006,94315,3,包装印刷,1,1/1
002993.SZ,奥海科技,50.08,9.99,130009,130009,0,消费电子,1,1/1
003021.SZ,兆威机电,124.38,10.0,140636,140636,0,电机Ⅱ,1,1/1
300257.SZ,开山股份,34.33,19.99,95224,132418,11,通用设备,1,1/1
300629.SZ,新劲刚,28.91,20.01,94045,145557,5,军工电子,1,1/1
300936.SZ,中英科技,58.54,20.01,94851,142533,1,元件,1,1/1
600108.SH,亚盛集团,5.97,9.94,100949,140234,12,种植业,1,1/1
600135.SH,乐凯胶片,11.06,10.05,104753,104753,0,塑料,1,1/1
600172.SH,黄河旋风,10.08,10.04,95703,130712,3,通用设备,1,1/1
600330.SH,天通股份,17.22,10.03,101456,103513,2,电子化学,1,1/1
600345.SH,长江通信,43.76,10.01,133253,133253,0,通信设备,1,1/1
600376.SH,首开股份,5.53,9.94,102804,102804,0,房地产开发,1,1/1
600498.SH,烽火通信,57.2,10.0,133350,135614,2,通信设备,1,1/1
600726.SH,华电能源,3.21,9.93,94633,94633,0,电力,1,1/1
600769.SH,祥龙电业,13.65,9.99,111722,141231,2,环境治理,1,1/1
601778.SH,晶科科技,5.61,10.0,131956,131956,0,电力,1,1/1
601789.SH,宁波建工,6.64,9.93,92503,92503,0,房屋建设,1,1/1
601869.SH,长飞光纤,233.1,10.0,130359,130359,0,通信设备,1,1/1
603017.SH,中衡设计,13.48,10.04,94406,94406,0,工程咨询,1,1/1
603115.SH,海星股份,32.0,10.0,102216,102216,0,工业金属,1,1/1
603269.SH,海鸥股份,17.93,10.0,111027,111027,0,通用设备,1,1/1
603421.SH,鼎信通讯,9.21,10.04,93859,93950,1,通信设备,1,1/1
603803.SH,瑞斯康达,11.0,10.0,92503,92503,0,通信设备,1,1/1
603949.SH,雪龙集团,19.49,9.99,95300,95300,0,汽车零部件,1,1/1
605268.SH,王力安防,16.86,9.98,92502,92502,0,家居用品,1,1/1
605287.SH,德才股份,51.54,10.01,100411,100411,0,装修装饰,1,1/1
605318.SH,法狮龙,76.84,10.01,102301,102301,0,装修建材,1,1/1
688048.SH,长光华芯,188.4,20.0,140029,140526,1,半导体,1,1/1
688229.SH,博睿数据,120.06,16.4,93734,,2,IT服务Ⅱ,1,1/1
688300.SH,联瑞新材,99.96,20.0,130751,131548,1,非金属材,1,1/1
688655.SH,迅捷兴,29.4,20.0,95642,95642,0,元件,1,1/1
920036.BJ,觅睿科技,53.69,30.0,131327,131457,1,计算机设,1,1/1
