序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,9.974905967712402,17.53,130046340,3175829304.23,4963816396.96,4.094878196716309,371406321,092500,092500,0,2/2,2,光学光电
2,002565,顺灏股份,10.0,14.74,1317776352,15623573410.28,15624236798.72,8.45085334777832,155120207,093000,111230,1,1/1,1,包装印刷
3,605277,新亚电子,10.021505355834961,25.58,367392592,8137887749.139999,8287609356.48,4.514594078063965,125641439,093000,093000,0,1/1,1,消费电子
4,600683,京投发展,9.95850658416748,10.6,481310816,7852242528.2,7852242560.0,6.166497707366943,59480840,093040,094013,2,3/3,3,房地产开
5,600545,卓郎智能,9.97624683380127,4.63,642288736,8278033587.86,8278033597.12,7.828392505645752,30953837,093049,093328,1,10/5,2,专用设备
6,600569,安阳钢铁,10.15625,2.82,242742276,8100228308.5199995,8100228325.44,3.0255088806152344,15975629,093128,093155,1,1/1,1,普钢
7,600307,酒钢宏兴,10.0,2.2,434805824,13779386332.800001,13779386368.000002,3.209782600402832,185389399,093306,093306,0,3/2,1,普钢
8,600396,华电辽能,10.070257186889648,4.7,841329600,6921722039.900001,6921722035.2,12.534735679626465,105171430,093329,094038,1,2/2,2,电力
9,000042,中洲控股,9.953703880310059,9.5,78331314,6309246419.0,6315895792.0,1.2670142650604248,38584848,093406,093406,0,1/1,1,房地产开
10,600370,三房巷,10.0,3.3,805141840,12859046366.099998,12859046376.0,6.517078876495361,56623759,093452,095607,4,4/4,4,化学纤维
11,002506,协鑫集成,9.9609375,5.63,5317582336,32904148089.51,32937282142.72,16.35757827758789,199572375,093454,095709,2,1/1,1,光伏设备
12,002323,雅博股份,10.0,2.75,518767904,5831050291.0,5832351624.0,9.185709953308105,82899539,093642,093642,0,3/2,1,专业工程
13,600691,潞化科技,10.023309707641602,4.72,1930637088,11212765693.439999,11214634813.439999,17.583171844482422,30721314,093717,112753,7,4/3,1,农化制品
14,600408,安泰集团,9.974424362182617,4.3,552601616,4329240000.0,4329240000.0,13.023843765258789,43380059,093918,094118,1,3/2,1,焦炭Ⅱ
15,600227,赤天化,9.979209899902344,5.29,2315337472,6758502957.87,8933369427.2,35.969032287597656,77712369,094030,142536,1,12/6,3,农化制品
16,000572,海马汽车,10.0,6.82,760246736,11200165916.94,11216420466.24,6.909920692443848,83828030,094048,094048,0,1/1,1,乘用车
17,600791,京能置业,9.988248825073242,9.36,167310554,4233656194.56,4238956799.9999995,4.061318397521973,38109240,094928,094928,0,1/1,1,房地产开
18,600643,爱建集团,10.107526779174805,5.12,460820912,8142600785.92,8157034414.08,5.758128643035889,5173760,095346,095807,1,1/1,1,多元金融
19,002285,世联行,10.0,3.41,703898672,6737396930.66,6795547026.400001,10.6731538772583,51045995,095357,131642,1,1/1,1,房地产服
