代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000509.SZ,华塑控股,3.99,9.92,131054,144703,8,光学光电,1,1/1
000516.SZ,国际医学,5.01,10.11,93718,93718,0,医疗服务,1,1/1
000533.SZ,顺钠股份,14.88,9.98,92500,92500,0,电网设备,1,1/1
000534.SZ,万泽股份,41.24,10.0,104412,104412,0,生物制品,1,1/1
000545.SZ,金浦钛业,3.75,9.97,94539,111733,2,化学原料,1,1/1
000601.SZ,韶能股份,6.14,10.04,93448,93448,0,电力,1,1/1
000677.SZ,恒天海龙,4.4,10.0,95124,95124,0,化学纤维,1,1/1
000720.SZ,新能泰山,4.4,10.0,93151,93151,0,电网设备,1,1/1
000815.SZ,美利云,16.31,9.98,94015,94015,0,IT服务Ⅱ,1,1/1
000818.SZ,航锦科技,23.76,10.0,143342,143342,0,化学原料,1,1/1
000833.SZ,粤桂股份,26.32,9.99,134048,134048,0,综合Ⅱ,1,1/1
001216.SZ,华瓷股份,20.99,10.01,110600,110600,0,家居用品,1,1/1
001326.SZ,联域股份,65.75,10.01,140612,140612,0,照明设备,1,1/1
001400.SZ,江顺科技,125.9,10.0,104036,104036,0,专用设备,1,1/1
001696.SZ,宗申动力,25.54,9.99,100427,102712,1,通用设备,1,1/1
001896.SZ,豫能控股,15.88,9.97,133706,145648,6,电力,1,1/1
002015.SZ,协鑫能科,15.62,10.0,94051,94051,0,电力,1,1/1
002063.SZ,远光软件,7.01,10.05,100533,101739,1,软件开发,1,1/1
002165.SZ,红 宝 丽,12.21,10.0,94951,94951,0,化学制品,1,1/1
002227.SZ,奥 特 迅,10.77,10.01,93015,93015,0,其他电源,1,1/1
002261.SZ,拓维信息,39.05,10.0,145003,145003,0,软件开发,1,1/1
002448.SZ,中原内配,17.91,10.01,94921,94921,0,汽车零部件,1,1/1
002470.SZ,金正大,2.86,10.0,94009,94418,1,农化制品,1,1/1
002478.SZ,常宝股份,13.87,9.99,95357,95357,0,特钢Ⅱ,1,1/1
002498.SZ,汉缆股份,9.83,9.96,93318,95848,5,电网设备,1,1/1
002506.SZ,协鑫集成,5.56,10.1,100830,100830,0,光伏设备,1,1/1
002637.SZ,赞宇科技,14.58,10.04,133821,133821,0,化学制品,1,1/1
002648.SZ,卫星化学,26.91,10.02,131654,132551,1,化学原料,1,1/1
002667.SZ,威领股份,26.69,10.02,111657,143612,6,专用设备,1,1/1
002809.SZ,红墙股份,13.68,9.97,95342,95342,0,水泥,1,1/1
002843.SZ,泰嘉股份,27.93,10.0,94115,145048,2,通用设备,1,1/1
002849.SZ,威星智能,19.59,9.99,130057,130057,0,通用设备,1,1/1
002913.SZ,奥士康,53.12,10.0,111545,111545,0,元件,1,1/1
002961.SZ,瑞达期货,27.18,10.0,101651,101651,0,多元金融,1,1/1
003023.SZ,彩虹集团,25.65,9.99,94442,94751,3,小家电,1,1/1
300323.SZ,华灿光电,11.94,16.49,100739,,2,光学光电,1,1/1
300903.SZ,科翔股份,37.52,17.99,130806,,2,元件,1,1/1
301032.SZ,新柴股份,15.13,19.98,104612,104612,0,通用设备,1,1/1
301205.SZ,联特科技,237.72,20.0,103254,103530,2,通信设备,1,1/1
301218.SZ,华是科技,38.51,20.01,132715,132715,0,IT服务Ⅱ,1,1/1
301265.SZ,华新环保,19.8,20.0,110742,132200,2,环境治理,1,1/1
301638.SZ,南网数字,28.38,20.0,94109,94109,0,IT服务Ⅱ,1,1/1
600075.SH,新疆天业,7.19,9.94,105548,144933,3,化学原料,1,1/1
600108.SH,亚盛集团,5.52,9.96,101206,131318,3,种植业,1,1/1
600227.SH,赤天化,3.29,10.03,101243,101243,0,农化制品,1,1/1
600319.SH,亚星化学,8.86,10.06,131828,131828,0,化学原料,1,1/1
600354.SH,敦煌种业,7.63,9.94,94903,145418,7,种植业,1,1/1
600396.SH,华电辽能,3.66,9.91,94049,94413,2,电力,1,1/1
