序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000533,顺钠股份,10.0,13.53,108091021,9266729472.0,9346740480.0,1.1664419174194336,432341827,092500,092500,0,2/2,2,电网设备
2,002877,智能自控,10.0,10.89,399596736,2619204560.28,3875137849.44,15.279699325561523,102151989,092500,101645,1,2/2,2,通用设备
3,002429,兆驰股份,10.010764122009277,10.22,223014728,46238683443.96,46265333667.840004,0.48231202363967896,381123197,092500,092500,0,1/1,1,黑色家电
4,300323,华灿光电,20.023418426513672,10.25,559539920,9012413626.5,16635737700.0,6.2085466384887695,316055060,092500,092500,0,1/1,1,光学光电
5,600545,卓郎智能,9.91253662109375,3.77,70719586,6740429076.94,6740429084.4800005,1.0491852760314941,167963679,092501,092501,0,2/2,2,专用设备
6,605268,王力安防,9.982638359069824,12.67,47215579,5581039975.0,5654652624.32,0.8459996581077576,449330590,092502,092502,0,2/2,2,家居用品
7,002498,汉缆股份,9.963099479675293,8.94,575891952,29741556240.0,29741556240.0,1.937637448310852,487998643,093000,093000,0,10/6,2,电网设备
8,002449,国星光电,10.050251007080078,8.76,140422139,5417860000.44,5417859991.68,2.5953197479248047,91298734,093000,093000,0,1/1,1,光学光电
9,600703,三安光电,10.027284622192383,16.13,1280844288,80472872066.51,80472870405.12,1.592477798461914,492255098,093001,093001,0,1/1,1,光学光电
10,002235,安妮股份,10.051814079284668,10.62,348991216,5879001567.24,6155057698.559999,5.9733710289001465,85359407,093112,093112,0,1/1,1,造纸
11,000727,冠捷科技,10.080645561218262,2.73,534961552,12365717855.4,12365717844.48,4.350522041320801,95838708,093148,093148,0,1/1,1,光学光电
12,603688,石英股份,9.99585247039795,53.04,610773296,28730616448.56,28730616395.52,2.1413705348968506,125621898,093155,093234,1,1/1,1,非金属材
13,002339,积成电子,9.965337753295898,12.69,1496740224,6075890834.76,6396930931.679999,24.888092041015625,79503078,093206,101454,4,2/2,2,电网设备
14,002983,芯瑞达,10.0,25.41,112587267,3255744397.29,5683328183.61,3.493469476699829,95329756,093248,093248,0,1/1,1,光学光电
15,002355,兴民智通,10.060060501098633,7.33,170941362,4531161544.5,4899965788.64,3.8406808376312256,101879670,093315,093315,0,1/1,1,汽车零部
16,002587,奥拓电子,10.047096252441406,7.01,248597497,3734210996.17,4567324561.599999,6.724173545837402,46301715,093345,094657,1,1/1,1,光学光电
17,300265,通光线缆,20.022371292114258,21.46,3280419968,10028294696.6,10034724498.880001,33.39311218261719,37210438,093406,144536,8,2/2,2,电网设备
18,300162,雷曼光电,20.0,9.48,463496752,3243693674.4,3976955103.36,14.621434211730957,104249616,093448,093448,0,1/1,1,光学光电
