ts_code,name,con_name,con_code,trade_date,desc,hot_num
000032.KP,锂矿,融捷股份,002192.SZ,20260226,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,1528
000363.KP,锂电池材料,融捷股份,002192.SZ,20251121,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",2639
000363.KP,锂电池材料,融捷股份,002192.SZ,20251120,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",7604
000363.KP,锂电池材料,融捷股份,002192.SZ,20251118,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",2803
000363.KP,锂电池材料,融捷股份,002192.SZ,20251117,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",7497
000363.KP,锂电池材料,融捷股份,002192.SZ,20251116,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",6155
000363.KP,锂电池材料,融捷股份,002192.SZ,20251115,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",4658
000363.KP,锂电池材料,融捷股份,002192.SZ,20251114,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",2554
000363.KP,锂电池材料,融捷股份,002192.SZ,20251113,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",4746
000363.KP,锂电池材料,融捷股份,002192.SZ,20251111,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",634
000363.KP,锂电池材料,融捷股份,002192.SZ,20251110,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",1095
000363.KP,锂电池材料,融捷股份,002192.SZ,20251109,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",5352
000363.KP,锂电池材料,融捷股份,002192.SZ,20251027,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",968
000348.KP,反内卷概念,融捷股份,002192.SZ,20251027,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",968
000032.KP,锂矿,融捷股份,002192.SZ,20251027,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,968
000032.KP,锂矿,融捷股份,002192.SZ,20251026,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,4061
000363.KP,锂电池材料,融捷股份,002192.SZ,20251026,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",4061
000348.KP,反内卷概念,融捷股份,002192.SZ,20251026,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",4061
000363.KP,锂电池材料,融捷股份,002192.SZ,20251025,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",3011
000032.KP,锂矿,融捷股份,002192.SZ,20251025,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,3011
000348.KP,反内卷概念,融捷股份,002192.SZ,20251025,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",3011
000032.KP,锂矿,融捷股份,002192.SZ,20251024,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,1180
000363.KP,锂电池材料,融捷股份,002192.SZ,20251024,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",1180
000348.KP,反内卷概念,融捷股份,002192.SZ,20251024,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",1180
000032.KP,锂矿,融捷股份,002192.SZ,20251023,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,2221
000363.KP,锂电池材料,融捷股份,002192.SZ,20251023,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",2221
000348.KP,反内卷概念,融捷股份,002192.SZ,20251023,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",2221
000032.KP,锂矿,融捷股份,002192.SZ,20251022,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,490
000363.KP,锂电池材料,融捷股份,002192.SZ,20251022,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",490
000348.KP,反内卷概念,融捷股份,002192.SZ,20251022,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",490
000348.KP,反内卷概念,融捷股份,002192.SZ,20251021,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",650
000363.KP,锂电池材料,融捷股份,002192.SZ,20251021,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",650
000032.KP,锂矿,融捷股份,002192.SZ,20251021,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,650
000363.KP,锂电池材料,融捷股份,002192.SZ,20251020,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",726
000032.KP,锂矿,融捷股份,002192.SZ,20251020,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,726
000348.KP,反内卷概念,融捷股份,002192.SZ,20251020,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",726
000348.KP,反内卷概念,融捷股份,002192.SZ,20251019,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨。",2805
000363.KP,锂电池材料,融捷股份,002192.SZ,20251019,"公司目前拥有康定甲基卡锂辉石矿区134号矿脉的整体采矿权，证载储量2,899.50万吨",2805
000032.KP,锂矿,融捷股份,002192.SZ,20251019,拥有四川省甘孜州甲基卡锂辉石矿 134 号脉的采矿权，锂辉石储量约 3000 万吨,2805
