ts_code,name,con_name,con_code,trade_date,desc,hot_num
000164.KP,核电,长城电工,600192.SH,20251106,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,1421
000164.KP,核电,长城电工,600192.SH,20251105,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,3544
000164.KP,核电,长城电工,600192.SH,20251104,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,779
000164.KP,核电,长城电工,600192.SH,20251103,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,1354
000164.KP,核电,长城电工,600192.SH,20251027,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,720
000164.KP,核电,长城电工,600192.SH,20251026,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,3444
000164.KP,核电,长城电工,600192.SH,20251025,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,2344
000164.KP,核电,长城电工,600192.SH,20251024,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,752
000164.KP,核电,长城电工,600192.SH,20251023,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,836
000164.KP,核电,长城电工,600192.SH,20251022,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,1109
000164.KP,核电,长城电工,600192.SH,20251021,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,2370
000164.KP,核电,长城电工,600192.SH,20251020,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,4047
000164.KP,核电,长城电工,600192.SH,20251019,2020年在核岛项目上取得突破，中标中国核工业集团有限公司漳州核电厂1、2号机组核岛中压配电项目,2199
