代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000066.SZ,中国长城,17.26,10.01,140724,140724,0,计算机设,1,1/1
000533.SZ,顺钠股份,16.37,10.01,93012,93012,0,电网设备,1,1/1
000534.SZ,万泽股份,45.36,9.99,102524,143724,1,生物制品,1,1/1
000601.SZ,韶能股份,6.75,9.93,95436,133851,2,电力,1,1/1
000815.SZ,美利云,17.94,9.99,111100,133248,2,IT服务Ⅱ,1,1/1
000862.SZ,银星能源,8.36,10.0,95939,95939,0,电力,1,1/1
000973.SZ,佛塑科技,14.5,10.02,135006,135006,0,塑料,1,1/1
001258.SZ,立新能源,9.36,9.99,93742,93742,0,电力,1,1/1
001339.SZ,智微智能,72.96,10.0,135039,135039,0,计算机设,1,1/1
002015.SZ,协鑫能科,17.18,9.99,93233,94836,2,电力,1,1/1
002068.SZ,黑猫股份,9.52,10.06,112927,112927,0,橡胶,1,1/1
002082.SZ,万邦德,18.66,10.02,93018,104412,2,化学制药,1,1/1
002112.SZ,三变科技,27.63,9.99,103330,103330,0,电网设备,1,1/1
002229.SZ,鸿博股份,17.9,10.02,132530,132530,0,包装印刷,1,1/1
002261.SZ,拓维信息,42.96,10.01,141033,141033,0,软件开发,1,1/1
002300.SZ,太阳电缆,11.57,9.98,93345,93345,0,电网设备,1,1/1
002445.SZ,中南文化,3.06,10.07,92500,92500,0,通用设备,1,1/1
002575.SZ,群兴玩具,8.02,10.01,110636,110636,0,文娱用品,1,1/1
002730.SZ,电光科技,19.17,9.98,105606,105606,0,专用设备,1,1/1
002903.SZ,宇环数控,27.61,10.0,93951,93951,0,通用设备,1,1/1
002930.SZ,宏川智慧,14.67,9.97,105321,105321,0,物流,1,1/1
003035.SZ,南网能源,9.58,9.99,140118,140118,0,电力,1,1/1
300113.SZ,顺网科技,29.36,19.98,133712,135557,1,游戏Ⅱ,1,1/1
301179.SZ,泽宇智能,24.07,19.99,101348,101348,0,电网设备,1,1/1
301396.SZ,宏景科技,114.29,20.0,140948,141348,2,IT服务Ⅱ,1,1/1
301606.SZ,绿联科技,80.88,20.0,94439,132500,1,消费电子,1,1/1
301658.SZ,首航新能,41.0,15.62,102309,,1,光伏设备,1,1/1
600135.SH,乐凯胶片,10.05,9.96,94654,94654,0,塑料,1,1/1
600227.SH,赤天化,3.62,10.03,92501,142022,9,农化制品,1,1/1
600268.SH,国电南自,16.34,10.03,104257,104257,0,电网设备,1,1/1
600602.SH,云赛智联,22.26,9.98,94313,100237,2,软件开发,1,1/1
600821.SH,金开新能,9.46,10.0,92501,92501,0,电力,1,1/1
600851.SH,海欣股份,8.78,10.03,102130,102130,0,化学制药,1,1/1
601567.SH,三星医疗,32.35,10.0,100536,144427,5,电网设备,1,1/1
601789.SH,宁波建工,6.04,10.02,92504,92504,0,房屋建设,1,1/1
601877.SH,正泰电器,39.05,10.0,103505,132656,2,电网设备,1,1/1
601969.SH,海南矿业,13.52,10.01,130525,130525,0,冶钢原料,1,1/1
603138.SH,海量数据,23.29,10.01,94118,112922,1,IT服务Ⅱ,1,1/1
603165.SH,荣晟环保,14.95,10.01,112318,112318,0,造纸,1,1/1
605268.SH,王力安防,15.33,9.97,92503,92503,0,家居用品,1,1/1
688158.SH,优刻得-W,45.38,19.99,94147,94147,0,IT服务Ⅱ,1,1/1
688229.SH,博睿数据,103.14,20.0,95325,95325,0,IT服务Ⅱ,1,1/1
688316.SH,青云科技-U,89.52,20.0,133405,133405,0,IT服务Ⅱ,1,1/1
920375.BJ,派诺科技,20.6,22.04,104756,,4,电网设备,1,1/1
