序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000617,中油资本,10.022522926330566,9.77,4134609392,123513112601.83,123513111595.51999,3.3493659496307373,226347686,092500,110933,5,1/1,1,多元金融
2,600396,华电辽能,10.051546096801758,4.27,336687296,6288458108.589999,6288458104.32,5.35405158996582,194499422,092500,092500,0,1/1,1,电力
3,002086,东方海洋,10.132158279418945,2.5,212411798,3953215092.5,4897366240.0,5.373140335083008,127430167,092500,092500,0,1/1,1,医疗器械
4,600370,三房巷,9.89011001586914,3.0,500375600,11690042151.0,11690042160.0,4.28670597076416,54804750,093002,093008,1,3/3,3,化学纤维
5,600227,赤天化,10.068650245666504,4.81,2089693216,6145255052.429999,8122780140.799999,34.47534942626953,28707494,093130,144354,5,7/4,2,农化制品
6,600302,标准股份,10.038986206054688,11.29,137333517,3906450687.16,3906450732.3199997,3.5572402477264404,51887711,093130,093206,1,1/1,1,专用设备
7,002310,东方新能,9.926470756530762,2.99,1572789440,12555158653.830002,17937973114.88,12.733926773071289,14955367,093236,141151,8,1/1,1,电力
8,002427,尤夫股份,10.01430606842041,7.69,284497648,7572385187.34,7577978108.96,3.8151803016662598,100360267,093409,093409,0,1/1,1,化学纤维
9,600683,京投发展,10.045661926269531,9.64,230542787,7141096035.080001,7141096064.0,3.2924816608428955,124793521,093454,093454,0,2/2,2,房地产开
10,002278,神开股份,10.0,13.75,517773360,4592454088.75,5363021400.0,11.421939849853516,112314152,093509,093509,0,1/1,1,专用设备
11,002724,海洋王,10.053619384765625,8.21,249140611,4661535900.440001,6333998580.000001,5.43251895904541,122649469,093612,093612,0,1/1,1,照明设备
12,600313,农发种业,10.060606002807617,9.08,1652427584,9826363860.04,10545275629.44,17.012407302856445,75630952,093913,104925,9,1/1,1,种植业
13,001278,一彬科技,9.991312026977539,25.32,123952585,2160071380.32,3132929688.0,5.878108501434326,133995136,094424,094424,0,1/1,1,汽车零部
14,603738,泰晶科技,9.995654106140137,25.31,1140182672,9766812422.52,9766812321.279999,11.971078872680664,90398208,094809,131845,1,1/1,1,元件
15,603929,亚翔集成,9.997870445251465,154.91,1410204032,33051597600.0,33051597600.0,4.3436102867126465,181178553,094908,101502,1,2/2,2,专业工程
16,000020,深华发Ａ,10.006901741027832,15.94,113245908,2887776332.54,4513590038.08,3.964749574661255,62424228,094939,094939,0,1/1,1,光学光电
