ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260331,综合Ⅲ,漳州发展,000753.SZ,-1.19,2.08,21053470.7,2.28,3,15,行业板块,东财三级行业,0.16666666666666666,-12,0.3466666666666667,0.37999999999999995,4.788333333333333
BK1626.DC,20260331,稀土,北方稀土,600111.SH,0.56,1.21,28898804.8,2.34,4,0,行业板块,东财三级行业,1.0,4,1.21,2.34,30.878
BK1625.DC,20260331,钨,中钨高新,000657.SZ,-2.74,-2.27,24534502.3,4.1,0,4,行业板块,东财三级行业,0.0,-4,-0.0,0.0,-0.8220000000000001
BK1624.DC,20260331,其他小金属,天工股份,920068.BJ,-2.37,0.24,42975940.8,4.83,1,14,行业板块,东财三级行业,0.06666666666666667,-13,0.016,0.322,1.3566000000000003
BK1623.DC,20260331,钼,金钼股份,601958.SH,-1.12,-1.12,11083396.0,4.08,1,1,行业板块,东财三级行业,0.5,0,-0.56,2.04,14.959999999999999
BK1622.DC,20260331,镍,华友钴业,603799.SH,-1.71,-1.71,11139480.5,2.36,0,1,行业板块,东财三级行业,0.0,-1,-0.0,0.0,-0.513
BK1621.DC,20260331,锂,中矿资源,002738.SZ,-3.93,1.13,43036193.6,6.11,1,7,行业板块,东财三级行业,0.125,-6,0.14125,0.76375,2.752
BK1620.DC,20260331,钴,腾远钴业,301219.SZ,-2.18,-1.62,3052776.8,1.93,0,2,行业板块,东财三级行业,0.0,-2,-0.0,0.0,-0.654
BK1619.DC,20260331,其他金属新材料,天力复合,920576.BJ,-1.53,7.91,20474915.3,2.21,2,18,行业板块,东财三级行业,0.1,-16,0.791,0.221,2.7434
BK1618.DC,20260331,磁性材料,新莱福,301323.SZ,-0.08,12.49,16883501.9,1.76,3,11,行业板块,东财三级行业,0.21428571428571427,-8,2.676428571428571,0.3771428571428571,7.015285714285714
BK1617.DC,20260331,黄金,四川黄金,001337.SZ,0.33,5.14,63078233.6,2.98,4,6,行业板块,东财三级行业,0.4,-2,2.056,1.192,12.748600000000001
BK1616.DC,20260331,白银,湖南白银,002716.SZ,0.08,0.33,13217686.7,6.72,1,1,行业板块,东财三级行业,0.5,0,0.165,3.36,15.729
BK1615.DC,20260331,铜,金田股份,601609.SH,-0.76,4.36,182463563.2,1.78,4,13,行业板块,东财三级行业,0.23529411764705882,-9,1.0258823529411765,0.4188235294117647,7.1197647058823526
BK1614.DC,20260331,铅锌,株冶集团,600961.SH,-2.39,-0.17,22825606.3,2.55,0,12,行业板块,东财三级行业,0.0,-12,-0.0,0.0,-0.717
BK1613.DC,20260331,铝,闽发铝业,002578.SZ,-1.96,10.09,111352425.6,4.24,5,25,行业板块,东财三级行业,0.16666666666666666,-20,1.6816666666666666,0.7066666666666667,4.889666666666667
BK1612.DC,20260331,农商行Ⅲ,沪农商行,601825.SH,0.46,1.45,27392177.6,0.8,7,1,行业板块,东财三级行业,0.875,6,1.26875,0.7000000000000001,26.781750000000002
BK1611.DC,20260331,国有大型银行Ⅲ,中国银行,601988.SH,1.76,3.53,1071829478.4,0.23,6,0,行业板块,东财三级行业,1.0,6,3.53,0.23,31.279999999999998
BK1610.DC,20260331,股份制银行Ⅲ,浦发银行,600000.SH,-0.21,1.7,296034630.4,0.57,5,4,行业板块,东财三级行业,0.5555555555555556,1,0.9444444444444444,0.31666666666666665,16.85588888888889
BK1609.DC,20260331,城商行Ⅲ,青岛银行,002948.SZ,0.39,1.17,125915230.4,0.69,13,4,行业板块,东财三级行业,0.7647058823529411,9,0.894705882352941,0.5276470588235294,23.342647058823527
BK1608.DC,20260331,中药Ⅲ,ST百灵,002424.SZ,-0.86,2.17,83491902.4,1.48,11,53,行业板块,东财三级行业,0.171875,-42,0.37296874999999996,0.254375,5.0237187500000005
BK1607.DC,20260331,医药流通,鹭燕医药,002788.SZ,0.51,10.0,25524049.1,1.91,9,12,行业板块,东财三级行业,0.42857142857142855,-3,4.285714285714286,0.8185714285714285,14.030999999999999
BK1606.DC,20260331,线下药店,大参林,603233.SH,-0.2,1.14,8580362.4,1.08,3,5,行业板块,东财三级行业,0.375,-2,0.4275,0.405,11.356499999999999
BK1605.DC,20260331,医疗设备,海泰新光,688677.SH,-0.84,14.34,60459825.6,1.74,10,32,行业板块,东财三级行业,0.23809523809523808,-22,3.414285714285714,0.41428571428571426,7.656571428571428
BK1604.DC,20260331,医疗耗材,天臣医疗,688013.SH,-0.79,3.45,46353900.8,2.03,19,34,行业板块,东财三级行业,0.3584905660377358,-15,1.2367924528301886,0.7277358490566036,10.910622641509434
BK1603.DC,20260331,体外诊断,安旭生物,688075.SH,-1.24,0.76,26852427.2,2.08,4,35,行业板块,东财三级行业,0.10256410256410256,-31,0.07794871794871795,0.21333333333333335,2.763179487179487
BK1602.DC,20260331,诊断服务,金域医学,603882.SH,-0.75,0.81,4798167.2,1.86,1,4,行业板块,东财三级行业,0.2,-3,0.16200000000000003,0.37200000000000005,5.8818
BK1601.DC,20260331,医院,通策医疗,600763.SH,-1.6,0.48,21896287.3,1.92,2,13,行业板块,东财三级行业,0.13333333333333333,-11,0.064,0.256,3.584
BK1600.DC,20260331,医疗研发外包,凯莱英,002821.SZ,1.78,10.0,65849723.2,3.82,19,8,行业板块,东财三级行业,0.7037037037037037,11,7.037037037037037,2.688148148148148,23.59014814814815
BK1599.DC,20260331,其他医疗服务,合富中国,603122.SH,-0.31,2.6,2533572.4,5.31,1,4,行业板块,东财三级行业,0.2,-3,0.52,1.062,6.2234
BK1598.DC,20260331,疫苗,辽宁成大,600739.SH,-1.24,0.81,23442458.7,1.15,3,11,行业板块,东财三级行业,0.21428571428571427,-8,0.17357142857142857,0.24642857142857139,6.140571428571429
BK1597.DC,20260331,血液制品,上海莱士,002252.SZ,-0.96,-0.17,10105474.4,0.45,0,6,行业板块,东财三级行业,0.0,-6,-0.0,0.0,-0.288
BK1596.DC,20260331,其他生物制品,百普赛斯,301080.SZ,-0.51,2.94,64649947.2,2.2,12,26,行业板块,东财三级行业,0.3157894736842105,-14,0.9284210526315789,0.6947368421052632,9.645315789473683
BK1595.DC,20260331,原料药,津药药业,600488.SH,-0.49,10.08,35209636.8,3.5,13,32,行业板块,东财三级行业,0.28888888888888886,-19,2.912,1.011111111111111,9.304288888888887
BK1594.DC,20260331,化学制剂,万邦德,002082.SZ,-0.7,10.02,210173049.6,2.53,26,86,行业板块,东财三级行业,0.23214285714285715,-60,2.3260714285714283,0.5873214285714285,7.336964285714286
BK1593.DC,20260331,通信终端及配件,移远通信,603236.SH,-2.46,2.2,37811952.0,2.97,6,20,行业板块,东财三级行业,0.23076923076923078,-14,0.5076923076923078,0.6853846153846155,6.423692307692308
BK1592.DC,20260331,通信线缆及配套,特发信息,000070.SZ,0.36,10.01,60199691.2,9.55,5,7,行业板块,东财三级行业,0.4166666666666667,-2,4.170833333333333,3.979166666666667,14.238
BK1591.DC,20260331,通信网络设备及器件,通宇通讯,002792.SZ,-2.87,4.41,212038646.4,4.3,6,30,行业板块,东财三级行业,0.16666666666666666,-24,0.735,0.7166666666666666,4.429333333333334
BK1590.DC,20260331,其他通信设备,云里物里,920374.BJ,-0.56,3.32,9528054.9,2.26,3,11,行业板块,东财三级行业,0.21428571428571427,-8,0.7114285714285714,0.4842857142857142,6.499714285714285
BK1589.DC,20260331,通信应用增值服务,挖金客,301380.SZ,-1.69,1.34,29127932.8,4.72,2,15,行业板块,东财三级行业,0.11764705882352941,-13,0.15764705882352942,0.5552941176470588,3.1649999999999996
BK1588.DC,20260331,通信工程及服务,普天科技,002544.SZ,-1.22,1.13,10923122.4,4.09,5,15,行业板块,东财三级行业,0.25,-10,0.2825,1.0225,7.3950000000000005
BK1587.DC,20260331,电信运营商,中国移动,600941.SH,0.12,0.42,268889390.4,0.24,2,1,行业板块,东财三级行业,0.6666666666666666,1,0.27999999999999997,0.15999999999999998,20.124000000000002
BK1586.DC,20260331,软饮料,欢乐家,300997.SZ,-2.08,0.44,19114371.5,1.27,1,7,行业板块,东财三级行业,0.125,-6,0.055,0.15875,3.16875
BK1585.DC,20260331,乳品,天润乳业,600419.SH,-1.06,1.17,25929888.2,1.24,1,18,行业板块,东财三级行业,0.05263157894736842,-17,0.061578947368421046,0.06526315789473684,1.2863157894736843
BK1584.DC,20260331,熟食,煌上煌,002695.SZ,-0.57,1.65,2341210.5,0.95,1,2,行业板块,东财三级行业,0.3333333333333333,-1,0.5499999999999999,0.31666666666666665,10.002333333333333
BK1583.DC,20260331,零食,劲仔食品,003000.SZ,-1.62,1.66,10011173.9,1.87,1,10,行业板块,东财三级行业,0.09090909090909091,-9,0.1509090909090909,0.17,2.3054545454545456
BK1582.DC,20260331,烘焙食品,青岛食品,001219.SZ,-0.97,2.08,4481889.1,1.12,1,8,行业板块,东财三级行业,0.1111111111111111,-7,0.2311111111111111,0.12444444444444445,3.1134444444444442
BK1581.DC,20260331,预加工食品,安井食品,603345.SH,-0.3,3.62,7081883.6,3.42,4,7,行业板块,东财三级行业,0.36363636363636365,-3,1.3163636363636364,1.2436363636363637,11.33109090909091
BK1580.DC,20260331,肉制品,双汇发展,000895.SZ,-2.27,-0.07,12920751.9,1.47,0,7,行业板块,东财三级行业,0.0,-7,-0.0,0.0,-0.6809999999999999
BK1579.DC,20260331,保健品,*ST春天,600381.SH,-1.07,1.67,5848747.2,4.6,1,8,行业板块,东财三级行业,0.1111111111111111,-7,0.18555555555555553,0.5111111111111111,3.1516666666666664
BK1578.DC,20260331,其他酒类,张  裕Ｂ,200869.SZ,-1.18,0.26,6783504.4,1.19,1,9,行业板块,东财三级行业,0.1,-8,0.026000000000000002,0.119,2.675
BK1577.DC,20260331,啤酒,ST西发,000752.SZ,-0.66,0.0,17709847.2,0.78,0,5,行业板块,东财三级行业,0.0,-5,0.0,0.0,-0.198
BK1576.DC,20260331,调味发酵品Ⅲ,海天味业,603288.SH,-0.91,1.64,37818683.2,2.39,4,11,行业板块,东财三级行业,0.26666666666666666,-7,0.4373333333333333,0.6373333333333333,7.941933333333334
BK1575.DC,20260331,白酒Ⅲ,皇台酒业,000995.SZ,-0.04,3.88,287652236.8,1.14,8,11,行业板块,东财三级行业,0.42105263157894735,-3,1.6336842105263156,0.4799999999999999,13.042315789473683
BK1574.DC,20260331,油气开采Ⅲ,*ST新潮,600777.SH,-4.4,-2.23,199319073.6,4.23,0,5,行业板块,东财三级行业,0.0,-5,-0.0,0.0,-1.32
