序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002445,中南文化,10.071942329406738,3.06,53546481,7241125777.38,7272419060.16,0.739477276802063,431795223,092500,092500,0,1/1,1,通用设备
2,600821,金开新能,10.0,9.46,760310416,18894112265.38,18894112293.760002,4.024060249328613,509688907,092501,092501,0,7/4,2,电力
3,600227,赤天化,10.030394554138184,3.62,896108880,4624911286.860001,6113194201.6,19.446067810058594,34308912,092501,142022,9,6/3,2,农化制品
4,605268,王力安防,9.971305847167969,15.33,76535025,6752750025.0,6841817263.68,1.1333904266357422,624731226,092503,092503,0,4/4,4,家居用品
5,601789,宁波建工,10.018214225769043,6.04,279733360,6564263483.6,9207326906.88,4.261458396911621,231745136,092504,092504,0,2/2,2,房屋建设
6,000533,顺钠股份,10.01344108581543,16.37,863385648,11211852288.0,11308657920.0,7.838573932647705,202478860,093012,093012,0,4/4,4,电网设备
7,002082,万邦德,10.023585319519043,18.66,486121744,10323699524.52,11414117784.960001,4.7782745361328125,91488897,093018,104412,2,1/1,1,化学制药
8,002015,协鑫能科,9.98719596862793,17.18,1961535360,27888716868.52,27888716765.44,7.070132255554199,243256808,093233,094836,2,2/2,2,电力
9,002300,太阳电缆,9.980988502502441,11.57,769035152,8356666306.56,8357400862.72,9.394440650939941,199921894,093345,093345,0,1/1,1,电网设备
10,001258,立新能源,9.988248825073242,9.36,357215136,8735908746.24,8735999950.08,4.215061664581299,80483232,093742,093742,0,1/1,1,电力
11,002903,宇环数控,10.0,27.61,334485600,2944417343.89,4326431780.0,11.516170501708984,153037729,093951,093951,0,1/1,1,通用设备
12,603138,海量数据,10.014171600341797,23.29,999854656,6715504976.5,6844295276.16,15.303751945495605,52834948,094118,112922,1,1/1,1,IT服务Ⅱ
13,688158,优刻得-W,19.989423751831055,45.38,3107646576,18400405945.04,20707124893.440002,17.414329528808594,280158421,094147,094147,0,1/1,1,IT服务Ⅱ
14,600602,云赛智联,9.98023796081543,22.26,2670300336,23913984557.4,30444411130.56,11.315990447998047,190316433,094313,100237,2,1/1,1,软件开发
15,301606,绿联科技,20.0,80.88,1064302640,17714039071.92,33557905271.039997,6.335503101348877,143044044,094439,132500,1,1/1,1,消费电子
16,600135,乐凯胶片,9.956235885620117,10.05,235641125,5560736344.950001,5560736395.200001,4.338377952575684,105554134,094654,094654,0,1/1,1,塑料
17,688229,博睿数据,20.0,103.14,316399360,4579416000.0,4579416000.0,7.208279132843018,72590550,095325,095325,0,1/1,1,IT服务Ⅱ
18,000601,韶能股份,9.934853553771973,6.75,1453721280,7084306622.25,7184317464.0,21.300539016723633,13611584,095436,133851,2,2/2,2,电力
19,000862,银星能源,10.0,8.36,855346192,5249804855.679999,7674101325.44,17.12145233154297,106287234,095939,095939,0,4/2,1,电力
20,601567,三星医疗,9.996600151062012,32.35,2450986624,45458524090.0,45458524348.8,5.485321998596191,21315738,100536,144427,5,2/2,2,电网设备
21,301179,泽宇智能,19.99003028869629,24.07,776211184,5716756157.43,9734090161.76,14.588388442993164,114709051,101348,101348,0,1/1,1,电网设备
22,600851,海欣股份,10.025062561035156,8.78,245639298,6481449645.799999,10597957720.64,3.9267444610595703,77712104,102130,102130,0,1/1,1,化学制药
23,000534,万泽股份,9.990301132202148,45.36,1872865136,22678658069.76,23113120504.32,8.72799015045166,70010075,102524,143724,1,2/2,2,生物制品
24,002112,三变科技,9.99203872680664,27.63,1708480144,7241257966.5,8126847266.4,25.29688262939453,291393080,103330,103330,0,1/1,1,电网设备
25,601877,正泰电器,10.0,39.05,3491436640,83917238512.79999,83917238512.79999,4.3059468269348145,107630000,103505,132656,2,1/1,1,电网设备
26,600268,国电南自,10.033670425415039,16.34,1342265376,16516984634.82,16599328610.56,8.58376693725586,180394318,104257,104257,0,1/1,1,电网设备
27,002930,宏川智慧,9.970015525817871,14.67,315248400,6348001373.1,6711376422.24,5.1340765953063965,61395064,105321,105321,0,1/1,1,物流
28,002730,电光科技,9.9827880859375,19.17,553214160,6633392799.6,6941071452.960001,8.667798042297363,111550670,105606,105606,0,1/1,1,专用设备
29,002575,群兴玩具,10.013717651367188,8.02,755830608,4695673910.0,4944330000.0,16.7115478515625,188867583,110636,110636,0,1/1,1,文娱用品
30,000815,美利云,9.993868827819824,17.94,3849463248,12473018847.900002,12473018937.6,32.422706604003906,138686407,111100,133248,2,3/3,3,IT服务Ⅱ
