ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300530.SZ,20260327,27.12,1.6793,5.5915,1.16,,,87.0597,37.1314,37.0025,,,17195.1354,17195.1354,5164.279,466332.072,466332.072
688115.SH,20260327,40.42,0.8191,2.0016,0.66,176.4415,,2.1267,14.5417,10.4337,1.0886,1.0886,6667.0,6667.0,2728.305,269480.14,269480.14
000807.SZ,20260327,28.73,1.2564,2.17,0.7,22.5843,19.9672,3.1922,1.8298,1.6791,1.7403,1.7403,346795.7405,346792.1051,200781.2103,9963441.6246,9963337.1795
603135.SH,20260327,10.14,0.8748,1.2339,0.62,114.1209,138.7215,2.165,6.7255,9.46,0.6409,0.6409,63425.708,25265.7156,17913.8339,643136.6791,256194.3562
600438.SH,20260327,16.98,1.0268,1.8749,0.62,,,1.8314,0.831,0.8655,,,450199.0089,450199.0089,246545.5602,7644379.1711,7644379.1711
603012.SH,20260327,7.77,2.1775,2.8005,0.68,23.4605,31.5256,1.3213,1.6086,1.5715,1.2949,1.2949,64650.0,64650.0,50268.1078,502330.5,502330.5
002488.SZ,20260327,11.54,1.2835,1.8027,0.59,495.5274,350.0228,3.2769,3.4207,3.2289,0.0859,0.0859,99543.9065,92008.3999,65508.1074,1148736.681,1061776.9348
002345.SZ,20260327,10.45,1.4649,2.3581,0.61,47.9473,47.6897,2.6884,1.4245,1.176,3.3493,3.3493,88851.2707,86729.0215,53877.6679,928495.7788,906318.2747
300087.SZ,20260327,8.11,1.3288,2.3123,0.75,79.099,299.4633,4.4098,1.6315,1.6747,0.6165,0.6165,94733.1751,90229.59,51853.5524,768286.0501,731761.9749
688620.SH,20260327,10.64,1.7688,1.7688,0.69,,,3.2257,7.913,7.7676,,,39200.0,23231.852,23231.852,417088.0,247186.9053
688683.SH,20260327,31.76,0.5314,1.1889,0.68,136.9639,120.4892,4.3386,9.7336,5.3197,0.1982,0.1982,16109.78,15517.7929,6936.1869,511646.6128,492845.1025
600283.SH,20260327,9.33,1.459,3.4839,1.08,24.3097,22.389,1.6847,2.2534,2.1471,2.6795,2.6795,56082.4898,54416.7189,22788.482,523249.6298,507707.9873
600063.SH,20260327,6.9,3.0754,4.6063,1.09,32.8964,32.8964,1.7025,1.7819,1.7819,2.0439,2.0439,206910.6449,206910.6449,138141.5099,1427683.4498,1427683.4498
002961.SZ,20260327,22.54,2.904,9.8498,0.65,28.0968,21.6294,2.951,5.9378,6.0992,1.5731,1.5731,47693.3433,47693.1183,14061.1183,1075007.958,1075002.8865
002670.SZ,20260327,14.29,0.6785,1.8984,0.69,165.1744,84.7332,2.4462,18185.4245,24960.3304,,,193508.4653,162335.0634,58015.9661,2765235.9691,2319768.056
920146.BJ,20260327,7.18,8.1322,10.6997,1.8,,,4.9472,1.8926,3.0756,,,13499.0443,10713.7852,8142.828,96923.1381,76924.9777
688076.SH,20260327,29.18,0.9214,1.469,1.12,22.8057,28.203,3.0991,5.676,4.747,1.9507,1.9507,31605.1897,31605.1897,19824.0006,922239.4354,922239.4354
300519.SZ,20260327,15.44,2.1318,3.2519,0.84,49.0256,42.6344,2.9838,9.2296,9.6099,1.943,1.943,16000.0,11410.0,7480.01,247040.0,176170.4
300468.SZ,20260327,32.12,6.1005,7.6286,0.92,253.0217,229.3965,10.3732,23.0214,27.0089,0.3113,0.3113,53064.9275,52979.4065,42366.4262,1704445.4713,1701698.5368
300123.SZ,20260327,6.34,1.6128,1.8555,0.5,,,4.404,6.8056,7.2891,,,102183.4123,100041.8818,86957.8897,647842.834,634265.5306
920924.BJ,20260327,20.09,4.8324,5.9616,0.85,78.9556,121.0879,6.7585,5.3569,4.4499,0.2493,0.2493,10729.65,6537.2141,5298.9046,215558.6685,131332.6313
300188.SZ,20260327,12.4,0.8763,1.4903,0.64,,,3.4445,6.0242,6.3936,,,85947.731,85550.509,50305.013,1065751.8644,1060826.3116
603118.SH,20260327,13.07,6.1776,10.7873,0.83,,,2.0427,1.2285,1.1602,,,78727.6406,78727.6406,45084.8871,1028970.2626,1028970.2626
300781.SZ,20260327,35.24,1.9587,3.1221,0.66,,,8.664,6.5493,6.145,,,16417.534,12116.5586,7601.427,578553.8982,426987.5251
002999.SZ,20260327,7.14,3.0414,4.7436,0.68,111.6058,52.8442,2.0706,0.1717,0.1841,1.7367,1.7367,34759.2,34371.4875,22037.4875,248180.688,245412.4208
603021.SH,20260327,7.09,2.9383,4.9644,0.69,,,,5.5079,5.7524,,,31994.807,31994.807,18936.7934,226843.1816,226843.1816
000936.SZ,20260327,7.3,1.3689,2.2302,0.71,55.1218,20.351,1.2081,1.9832,1.9466,0.5479,0.5479,88601.2887,88588.7337,54375.7854,646789.4075,646697.756
605287.SH,20260327,43.19,4.6046,9.0023,1.17,,,3.8937,1.4627,1.935,,,14000.0,14000.0,7160.929,604660.0,604660.0
002593.SZ,20260327,5.36,1.5659,2.2133,0.48,82.8948,43.4734,1.7801,1.4038,1.2236,0.9328,0.9328,80385.8029,55884.9118,39539.5243,430867.9035,299543.1272
688589.SH,20260327,21.79,1.3502,1.7129,0.59,153.9703,153.9703,3.3203,8.8485,8.8485,1.144,1.144,14532.8518,14532.8518,11455.5744,316670.8407,316670.8407
000032.SZ,20260327,18.76,2.0378,3.6534,0.61,69.1385,144.7247,3.1148,0.3383,0.4385,0.599,0.599,121517.9311,113795.9234,63473.8048,2279676.3874,2134811.523
600518.SH,20260327,1.76,0.9459,1.2677,0.64,2838.7935,1462.6336,3.3866,4.6903,4.6138,,,1382889.669,1382235.2188,1031293.84,2433885.8174,2432733.9851
603036.SH,20260327,18.5,1.1367,1.466,0.72,39.7065,33.0952,2.7779,9.3333,8.8183,1.0811,1.0811,20600.6025,20600.6025,15972.2373,381111.1463,381111.1463
920018.BJ,20260327,27.47,2.6623,2.6623,0.66,34.528,32.3278,3.6355,1.6877,1.2942,0.364,0.364,12732.9564,4422.38,4422.38,349774.3123,121482.7786
600178.SH,20260327,11.31,1.3668,2.7856,0.7,920.1846,1303.6742,2.0741,1.1424,0.9784,0.0442,0.0442,46647.6161,46647.6161,22888.3161,527584.5381,527584.5381
002474.SZ,20260327,7.7,2.1439,2.2579,0.56,,,3.5065,9.8902,9.8194,,,62220.0,53076.5945,50398.076,479094.0,408689.7777
300238.SZ,20260327,14.99,3.9177,5.3343,1.15,163.258,163.258,6.9723,10.2506,10.2506,,,26515.5701,26513.4082,19472.2994,397468.3958,397435.9889
002724.SZ,20260327,7.04,1.4274,3.518,0.42,,,2.0021,3.169,3.1201,0.7066,0.7066,77149.7994,56778.7564,23037.6613,543134.5878,399722.4451
300163.SZ,20260327,4.67,3.2986,3.5078,0.77,,23.8513,3.7718,8.5491,9.0839,,,47400.0,45378.9957,42672.8134,221358.0,211919.9099
