ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600062.SH,20260327,18.49,1.0824,2.746,0.76,11.66,11.66,1.6508,1.7456,1.7456,2.5479,2.5479,103858.2511,103297.7891,40718.2267,1920339.0628,1909976.1205
601111.SH,20260327,6.89,0.735,2.2877,0.74,,,2.8253,0.7011,0.7011,,,1744842.1,1163810.9474,373886.4707,12021962.069,8018657.4276
601216.SH,20260327,5.55,1.2124,3.2276,0.96,16.7027,13.9285,1.6247,1.8576,1.8357,2.7027,2.7027,843801.739,843801.739,316969.099,4683099.6515,4683099.6515
002175.SZ,20260327,3.22,2.5006,3.095,0.52,247.4781,,5.0823,12.6297,13.5456,,,127678.0727,127678.0727,103157.0685,411123.3941,411123.3941
920689.BJ,20260327,28.66,1.4817,1.8625,0.36,38.4892,38.2876,4.2671,3.9787,3.5831,1.3957,1.3957,7340.0,3793.0617,3017.562,210364.4,108709.1483
000532.SZ,20260327,13.45,1.1946,2.258,0.66,29.6182,28.3667,2.8479,9.5424,9.3718,0.4461,0.4461,34470.834,34354.9746,18174.812,463632.7173,462074.4084
002326.SZ,20260327,23.21,8.0304,10.0887,1.47,,,7.8846,4.6787,4.0675,,,92512.7636,80815.9042,64327.9442,2147221.2432,1875737.1365
002808.SZ,20260327,4.7,4.9709,5.603,2.46,,,4.8427,7.8105,5.5315,,,26880.0,16500.5928,14639.1808,126336.0,77552.7862
603903.SH,20260327,11.4,1.5165,2.7531,0.82,,,1.8617,2.7512,2.7155,,,25531.948,25531.948,14064.2204,291064.2072,291064.2072
300086.SZ,20260327,8.39,4.0792,5.7599,1.02,,,3.6377,8.076,8.7703,,,45512.4411,44068.2522,31209.6671,381849.3808,369732.636
600298.SH,20260327,41.06,0.7441,1.2116,1.19,26.9047,23.9523,3.0791,2.345,2.2175,1.3398,1.3398,86792.8671,85715.0471,52644.2726,3563715.1231,3519459.8339
600509.SH,20260327,9.04,3.3067,5.0433,0.67,50.0109,96.4784,1.5981,1.3402,1.4695,0.6084,0.6084,137439.7407,137439.7407,90112.1667,1242455.2559,1242455.2559
920020.BJ,20260327,15.35,0.6722,0.6722,0.38,22.0415,19.8756,2.9853,1.5043,1.3379,,,22494.5,5510.0901,5510.0901,345290.575,84579.883
002224.SZ,20260327,4.78,3.0939,3.8211,0.57,130.2495,440.9754,1.3304,4.821,4.2192,0.6276,0.6276,90211.6324,80638.0369,65291.6384,431211.6029,385449.8164
002613.SZ,20260327,3.84,1.5498,2.0396,0.57,69.9227,,1.935,2.5865,2.8004,0.7813,0.7813,110056.8692,77225.6538,58679.5262,422618.3777,296546.5106
300711.SZ,20260327,24.67,1.5817,4.7257,0.8,64.1562,64.1562,7.6778,8.2731,8.2731,0.7203,0.7203,24917.0606,24842.5694,8314.8129,614703.885,612866.1871
003007.SZ,20260327,40.87,2.442,4.7144,0.47,126.0152,159.2674,5.2071,9.9611,10.0518,0.1587,0.1587,10182.0,7188.7636,3723.7009,416138.34,293804.7683
603337.SH,20260327,39.06,0.2433,0.7076,0.37,22.9095,21.2773,3.793,3.0538,2.9286,1.2235,1.2235,47641.1691,47372.5491,16289.3818,1860864.065,1850371.7678
300243.SZ,20260327,13.78,11.9355,13.0645,0.71,156.7042,350.1562,3.1988,1.7291,1.7291,0.3619,0.3619,25105.0172,19499.2209,17814.2344,345947.137,268699.264
688106.SH,20260327,30.01,11.2221,20.668,1.08,71.8805,117.9988,4.8904,5.7277,5.2028,0.3299,0.3299,48197.7757,48197.7757,26169.7994,1446415.2488,1446415.2488
920300.BJ,20260327,11.8,1.5115,1.8772,0.58,,,6.0533,8.5124,11.2631,,,8584.7126,6653.1656,5357.1221,101299.6087,78507.3541
001379.SZ,20260327,21.2,2.5338,2.5892,0.67,55.3309,51.5344,2.854,2.3476,2.1118,0.9434,0.9434,20000.0,6729.9,6585.9,424000.0,142673.88
000426.SZ,20260327,40.08,3.0268,4.1654,0.64,46.519,44.6445,7.7708,16.6653,14.0277,0.1747,0.1747,177563.5739,177520.5464,128996.5044,7116748.0419,7115023.4997
688235.SH,20260327,232.69,5.3295,5.3295,1.82,,252.2472,11.7233,13.1823,9.39,,,154171.7197,11505.526,11505.526,35874217.457,2677220.8449
002085.SZ,20260327,14.03,0.8385,1.3872,0.66,45.5981,36.3796,4.0338,1.8316,1.8265,1.4255,1.4255,212329.752,212329.752,128350.3253,2978986.4206,2978986.4206
600600.SH,20260327,62.47,0.7076,1.6506,0.81,18.5744,18.5744,2.7806,2.6243,2.6243,3.5217,3.5217,136419.5121,70912.5943,30399.3888,8522126.9209,4429909.7659
000568.SZ,20260327,103.78,0.5198,1.0594,1.21,11.3381,12.0831,3.2038,4.8967,5.0885,5.734,5.7333,147194.1963,147125.6397,72185.1616,15275813.692,15268698.8881
605388.SH,20260327,7.05,3.3392,10.1975,1.93,,,2.4675,2.9032,3.0757,1.107,1.107,60048.4,60048.4,19663.0596,423341.22,423341.22
605255.SH,20260327,103.15,1.063,4.2521,0.72,418.2647,425.1396,17.3559,40.4039,41.8824,0.2181,0.2181,13408.0,13408.0,3351.9799,1383035.2,1383035.2
603618.SH,20260327,24.28,12.2092,26.0149,0.86,121.7521,,6.1894,1.8965,1.8059,0.2471,0.2471,69137.5616,69137.5616,32447.3616,1678659.9956,1678659.9956
600790.SH,20260327,3.69,0.523,0.868,0.65,38.4053,64.8426,0.9337,5.6956,5.6207,3.0127,3.0127,146579.0928,146579.0928,88311.2528,540876.8524,540876.8524
603817.SH,20260327,7.89,8.2149,15.9139,0.65,23.4574,21.0824,1.4218,3.6994,3.3476,0.7605,0.7605,57008.4039,57008.4039,29428.1768,449796.3068,449796.3068
002620.SZ,20260327,8.69,9.4242,13.3566,2.6,,,,4.191,6.2446,,,37749.4,31536.0303,22251.3747,328042.286,274048.1033
603228.SH,20260327,56.59,1.6915,3.9693,0.86,47.6726,45.9548,4.3662,4.4023,3.8005,1.3421,1.3421,98481.2493,97575.0853,41580.1423,5573053.8979,5521774.0771
600100.SH,20260327,7.99,0.9259,1.3548,0.51,190.3687,67.7029,1.6564,1.5932,1.6868,,,335029.7713,335029.7713,228955.7108,2676887.8727,2676887.8727
600162.SH,20260327,1.83,1.1358,3.5351,0.82,96.7887,,1.0344,1.5906,3.5594,0.5976,0.5976,326843.8122,326843.8122,105011.2242,598124.1763,598124.1763
920195.BJ,20260327,18.81,0.7206,1.303,0.73,28.6105,16.6616,2.2219,1.9096,1.6267,1.0633,1.0633,9803.0,7075.8985,3912.9068,184394.43,133097.6508
002889.SZ,20260327,13.16,0.7147,1.6101,0.75,25.953,32.3887,1.9816,1.3992,1.282,0.4071,0.4071,37766.7472,25128.4553,11154.4259,497010.3932,330690.4717
000012.SZ,20260327,4.54,0.8595,1.416,0.55,51.7775,,1.0461,0.8937,0.9836,1.5159,1.5159,304246.8811,195931.6598,118935.415,1381280.8402,889529.7355
002112.SZ,20260327,22.47,8.6226,11.8113,0.46,54.7244,80.1717,7.5894,3.0355,3.4329,0.2776,0.2776,29413.1282,26207.955,19132.6058,660912.9907,588892.7489
600187.SH,20260327,1.96,1.6481,2.0943,0.59,72.5808,171.5202,0.9943,17.6551,16.9969,,,161378.1103,161378.1103,126997.9883,316301.0962,316301.0962
002759.SZ,20260327,36.09,17.0881,20.9524,1.67,,,5.83,8.7492,7.5329,,,50138.2605,50094.2093,40855.2663,1809489.8214,1807900.0136
000716.SZ,20260327,5.28,1.1972,1.8692,0.74,51.1365,92.8694,1.5607,1.613,1.6952,0.9477,0.9477,75288.405,73878.4337,47316.4522,397522.7784,390078.1299
603519.SH,20260327,13.33,1.1314,2.3785,0.86,22.329,21.2712,2.985,2.076,2.0724,7.43,7.43,26632.7839,26632.7839,12668.5567,355015.0094,355015.0094
300925.SZ,20260327,17.72,1.3679,1.5697,0.55,57.9981,71.6477,3.4618,1.7583,1.5744,0.3609,0.3609,42870.8945,34954.6113,30459.9754,759672.2505,619395.7122
300153.SZ,20260327,26.13,4.2107,6.6866,0.88,238.9022,173.6935,9.2011,6.5655,4.7846,,,32000.0,31833.0118,20045.8418,836160.0,831796.5983
688035.SH,20260327,56.75,3.2716,7.6599,0.92,82.8512,76.6906,3.4766,6.9185,5.2171,0.6094,0.6094,14224.0,14224.0,6075.1842,807212.0,807212.0
301025.SZ,20260327,10.48,1.8586,4.5808,0.59,285.2452,680.8211,6.7787,10.3455,11.3435,0.2863,0.2863,40030.94,27715.074,11245.0819,419524.2512,290453.9755
002083.SZ,20260327,11.96,9.6343,15.9675,1.6,32.5457,36.8423,2.4775,2.1176,2.191,1.2019,1.2019,94663.9012,94632.5512,57098.4186,1132180.2584,1131805.3124
301311.SZ,20260327,16.4,0.732,2.0137,0.52,614.8521,,2.1997,1.9663,1.88,0.3293,0.3293,24000.0,24000.0,8724.2367,393600.0,393600.0
600335.SH,20260327,5.9,0.7554,2.4135,0.74,22.4868,20.9512,0.7646,0.21,0.2491,1.8644,1.8644,149578.8692,149578.8692,46818.041,882515.3283,882515.3283
301293.SZ,20260327,67.42,4.5815,5.64,0.74,132.2248,165.1205,5.9416,9.7158,8.448,0.2163,0.2163,20598.6987,16094.5692,13074.0267,1388764.2664,1085095.8555
300537.SZ,20260327,21.52,2.1097,2.3995,0.75,,,4.9526,8.6293,9.3136,,,20780.6521,15184.0046,13350.133,447199.6332,326759.779
300658.SZ,20260327,24.76,13.3138,19.0601,1.12,301.9768,225.3085,6.1366,5.5497,4.7716,0.2389,0.2389,33276.4105,22551.4014,15752.4854,823923.924,558372.6987
002733.SZ,20260327,26.97,7.1294,11.3782,0.7,106.7152,122.2711,3.7712,2.9156,3.1329,0.3646,0.3646,38421.4913,36886.2759,23112.2674,1036227.6204,994822.861
688071.SH,20260327,30.92,1.3457,1.8448,0.67,,,2.5565,6.1915,5.0754,,,8478.9724,8478.9724,6185.1598,262169.8266,262169.8266
601665.SH,20260327,5.73,0.906,1.4813,0.89,7.0717,6.1716,0.7445,2.8219,2.6845,3.6561,4.0264,615384.2525,615384.2525,376404.5596,3526151.7668,3526151.7668
300523.SZ,20260327,21.51,0.8225,1.716,0.74,,,4.7361,3.5716,4.1092,,,23263.7638,23235.846,11136.9768,500403.5593,499803.0475
603197.SH,20260327,32.1,0.594,0.8432,0.67,22.6689,27.2203,2.1843,0.9763,0.8524,2.5801,2.5801,21365.9844,21365.9844,15050.6069,685848.0992,685848.0992
000977.SZ,20260327,57.39,1.7654,2.6173,0.68,36.7734,33.9885,4.0436,0.7343,0.5533,0.2795,0.2009,146847.6655,146683.1804,98938.8739,8427587.523,8418147.7232
300795.SZ,20260327,12.74,5.1732,6.7816,1.96,27.8531,27.8531,5.8148,4.852,4.852,2.6083,2.6083,29889.387,17398.5161,13272.0876,380790.7904,221657.0951
600196.SH,20260327,26.13,1.0735,1.8511,1.34,20.7023,20.7023,1.4316,1.6749,1.6749,1.2131,1.2131,267042.9325,211848.8825,122859.787,6977831.8262,5535611.2997
002329.SZ,20260327,4.15,9.4377,10.2894,1.06,,,3.8656,1.6886,1.8673,,,83240.3985,65038.8924,59655.8077,345447.6538,269911.4035
600757.SH,20260327,8.7,0.5455,1.2487,0.76,11.1723,9.4686,1.0675,1.493,1.5269,4.7126,4.7126,121365.0273,121349.7103,53012.2899,1055875.7375,1055742.4796
301598.SZ,20260327,59.17,2.5736,2.5736,0.77,34.1783,30.3714,3.6834,6.761,6.2775,3.3801,3.3801,5889.7223,1754.7723,1754.7723,348494.8685,103829.877
002949.SZ,20260327,13.66,1.8695,3.2453,0.68,21.3722,31.8703,1.8553,2.2949,2.1441,2.5622,2.5622,19604.3864,15188.2289,8749.3264,267795.9182,207471.2068
601816.SH,20260327,5.05,0.274,0.5459,0.76,19.3506,18.9253,1.2198,5.8608,5.7989,3.103,3.103,4892567.937,4892567.937,2455697.6065,24707468.0819,24707468.0819
688329.SH,20260327,24.66,2.0486,3.3675,0.82,,100.7884,2.3902,5.8525,4.2073,,,7720.0,7720.0,4696.4088,190375.2,190375.2
603050.SH,20260327,21.69,1.1171,2.9395,0.65,49.1901,35.5304,4.7811,2.1343,1.856,0.623,0.623,40331.9193,40331.9193,15326.7562,874799.3296,874799.3296
603311.SH,20260327,16.43,1.7584,3.6168,0.51,59.5887,42.718,2.8199,4.9149,4.5486,0.7304,0.7304,23588.3907,23588.3907,11467.9471,387557.2592,387557.2592
603355.SH,20260327,28.07,0.2494,1.3012,0.71,13.0808,16.5451,2.946,1.6483,1.6371,,,57339.613,57339.613,10989.8201,1609522.9369,1609522.9369
000615.SZ,20260327,3.34,1.5274,1.8762,2.13,,,,5.4544,5.8413,,,178749.2693,92531.6398,75331.7788,597022.5595,309055.6769
002420.SZ,20260327,7.29,1.6899,2.2861,0.48,31.6613,49.0378,4.8687,1.1174,1.0175,,,41129.0,39955.935,29536.045,299830.41,291278.7662
601388.SH,20260327,3.58,2.0606,3.8447,0.84,424.8289,203.1602,1.7211,1.1259,1.0432,,,220122.2616,220122.2616,117976.163,788037.6965,788037.6965
600449.SH,20260327,13.02,1.3968,2.7408,0.71,34.1873,34.1873,0.8444,1.2035,1.2035,1.6129,1.6129,47818.1042,47818.1042,24370.5938,622591.7167,622591.7167
920526.BJ,20260327,19.58,2.5683,5.2872,1.55,69.4184,112.3444,7.0731,14.0772,14.123,0.5107,0.5107,8270.0,5236.7486,2543.7467,161926.6,102535.5376
301365.SZ,20260327,28.0,5.4299,11.8769,0.5,149.5625,87.153,2.9987,9.5117,7.7208,3.0964,2.5,18000.0,10138.2352,4635.0,504000.0,283870.5856
600608.SH,20260327,2.99,0.7516,0.9272,0.3,,,25.2855,57.0796,128.0416,,,32886.1441,31837.1441,25809.9759,98329.5709,95193.0609
688102.SH,20260327,35.08,1.6151,3.543,0.84,238.7576,176.801,14.9607,20.5131,17.4343,0.2133,0.2203,77753.3807,73580.919,33541.1023,2727588.595,2581218.6385
300081.SZ,20260327,4.71,1.919,2.1443,0.55,,,2.6814,7.5945,7.6871,,,60479.5417,60470.3842,54115.9021,284858.6414,284815.5096
603051.SH,20260327,21.36,2.0461,3.2226,0.65,203.8588,,1.961,1.6707,2.1213,1.208,1.208,16163.2896,16163.2896,10262.2783,345247.8659,345247.8659
000966.SZ,20260327,5.51,7.6623,18.3144,0.84,26.8175,129.3767,1.3899,1.1029,1.2804,1.3067,1.3067,348103.5016,326152.282,136454.6365,1918050.2938,1797099.0738
600101.SH,20260327,10.95,8.6254,12.5779,1.12,32.5771,32.5771,1.9447,1.9857,1.9857,1.0959,1.4612,54786.2471,54786.2471,37570.2847,599909.4057,599909.4057
605296.SH,20260327,28.41,1.0961,8.9032,1.72,21.7068,22.3137,2.9715,2.6697,2.7456,1.3728,1.3728,52476.4418,51798.4418,6377.3461,1490855.7115,1471593.7315
002144.SZ,20260327,14.55,2.3594,2.5573,0.64,92.0358,117.9648,1.2105,4.1596,4.5186,0.3436,0.3436,17676.2528,13764.4276,12699.4253,257189.4782,200272.4216
300485.SZ,20260327,10.8,3.1094,4.0358,1.34,,64.0604,1.5262,12.4903,12.933,,,48166.64,27381.7182,21096.2484,520199.712,295722.5566
688181.SH,20260327,31.48,1.6598,2.0868,0.58,55.2646,54.0534,2.0174,5.7413,4.8601,,,13448.1546,13448.1546,10696.1673,423347.9068,423347.9068
301609.SZ,20260327,56.46,23.1534,23.1534,0.96,72.6196,69.2476,7.4678,13.9738,13.1156,,,16288.0,3664.8,3664.8,919620.48,206914.608
301345.SZ,20260327,216.06,2.321,2.798,0.74,54.6328,31.9933,6.898,7.9154,6.676,1.6164,1.3858,10904.9071,3502.9746,2905.7746,2356114.228,756852.6921
600461.SH,20260327,10.01,0.62,1.1307,0.64,10.8022,10.7043,1.332,1.5625,1.6049,4.6354,4.6354,128415.5382,128415.5382,70411.8003,1285439.5374,1285439.5374
603117.SH,20260327,4.95,1.5193,2.158,0.75,217.2506,424.7209,2.8798,10.0703,11.3055,,,59919.7742,59919.7742,42185.14,296602.8823,296602.8823
600405.SH,20260327,5.89,2.5633,2.8539,0.65,,,17.4135,6.1801,8.4429,,,61282.9588,61011.9397,54798.0782,360956.6273,359360.3248
920906.BJ,20260327,23.29,1.0691,1.5948,0.56,86.4341,45.336,2.6141,2.1004,1.9905,0.3821,0.3821,6497.0,3335.5723,2235.9631,151315.13,77685.4789
601956.SH,20260327,6.47,0.798,1.5104,0.6,31.6241,31.3844,1.5799,0.6442,0.6429,1.546,1.546,62161.659,62161.659,32842.6548,402185.9337,402185.9337
300389.SZ,20260327,19.75,5.7689,11.0884,0.66,62.3622,28.7117,4.4316,1.9903,1.7529,1.7722,1.7722,36910.0317,23318.1321,12131.6417,728973.1261,460533.109
301123.SZ,20260327,51.42,1.3002,1.9627,0.68,,,4.1995,7.0539,5.6364,0.192,0.192,23464.0,23360.0,15475.2459,1206518.88,1201171.2
000663.SZ,20260327,6.92,2.0535,2.922,0.72,,,2.3261,7.2112,7.3274,,,33668.3929,30630.1196,21525.5731,232985.2789,211960.4276
605588.SH,20260327,53.62,2.3159,7.0301,0.86,,,4.0781,2.8782,2.8782,,,7327.5481,7309.9561,2408.0727,392903.1291,391959.8461
688248.SH,20260327,63.14,0.8296,2.8414,0.55,97.6729,84.6204,10.9345,11.8317,9.6667,0.4197,0.4197,56470.0,56470.0,16487.05,3565515.8,3565515.8
601113.SH,20260327,4.31,0.8747,1.166,0.67,9.7377,13.5133,1.1978,0.6328,0.9352,,,110415.2226,110415.2226,82826.9721,475889.6094,475889.6094
000793.SZ,20260327,2.63,0.685,0.8851,0.76,,,45.8599,15.6471,15.4901,,,199724.5457,196100.8615,151761.1002,525275.5552,515745.2657
688429.SH,20260327,15.98,6.9623,9.5468,0.68,,,4.6502,8.9939,6.2794,,,40000.08,11982.7267,8738.7235,639201.2784,191483.9727
300444.SZ,20260327,13.78,5.7272,6.2726,0.63,136.1328,122.7339,6.1801,3.1692,2.6091,,,79862.509,62144.6699,56741.6083,1100505.374,856353.5512
000709.SZ,20260327,2.35,0.9154,2.5991,0.77,34.3386,25.2595,0.4704,0.1997,0.1886,1.2766,1.2766,1033712.1092,1033541.2398,364017.535,2429223.4566,2428821.9135
002391.SZ,20260327,6.24,2.0962,2.3522,0.9,,,0.9509,1.1501,1.0593,,,64959.255,46412.0811,41361.4067,405345.7512,289611.3861
003028.SZ,20260327,27.09,1.4902,2.7597,0.68,19.2835,27.003,2.2583,2.7963,2.8372,1.8314,1.8314,14471.1,7053.8197,3808.8903,392022.099,191087.9757
001376.SZ,20260327,16.78,8.6225,8.6225,1.18,40.4431,44.3255,6.6114,6.8291,7.2182,0.8916,0.8916,46090.0,21375.2813,21375.2813,773390.2,358677.2202
600356.SH,20260327,8.65,1.2781,1.8242,0.51,24.6115,18.5018,0.9696,1.0278,0.9849,1.2576,1.2576,32953.6504,29873.1378,20930.8295,285049.076,258402.642
000783.SZ,20260327,6.91,0.6282,1.0932,0.64,20.8249,10.1262,1.0737,5.6235,3.647,2.1708,2.1708,553007.2948,553007.2948,317795.5335,3821280.4071,3821280.4071
301396.SZ,20260327,160.47,15.7432,15.9213,0.72,,393.2671,19.2255,37.4518,12.4059,0.0534,0.0534,15351.7547,7608.1074,7522.9926,2463496.0767,1220872.9945
600193.SH,20260327,4.21,1.4213,1.6673,0.53,,,20.1093,82.7312,,,,42537.3,42537.3,36262.2582,179082.033,179082.033
600690.SH,20260327,22.23,2.0453,3.5372,2.57,10.6616,10.6616,1.7563,0.6895,0.6895,5.4983,5.4983,937762.965,625302.8411,361568.9205,20846470.712,13900482.1577
002029.SZ,20260327,10.36,2.3789,4.0266,1.28,25.6689,16.1673,1.0706,2.3261,2.4581,0.9227,0.9227,70502.3537,66540.5959,39311.2659,730404.3843,689360.5735
301197.SZ,20260327,21.26,1.662,2.3,0.5,45.9755,62.2302,1.995,6.48,6.3191,0.455,0.455,12054.0,10874.925,7858.25,256268.04,231200.9055
300821.SZ,20260327,11.43,1.4662,3.0651,0.8,,,2.783,3.6379,3.6379,0.1312,0.1312,120000.0,119979.075,57391.235,1371600.0,1371360.8273
920425.BJ,20260327,19.06,1.2079,1.8039,0.64,80.0836,40.1269,5.0391,17.3656,11.0094,0.7495,0.7495,7093.6548,5921.3298,3965.0573,135205.0605,112860.546
300457.SZ,20260327,25.28,2.6483,4.5044,1.43,32.4154,52.7013,2.5207,1.9135,1.8472,0.4582,0.4582,64517.9428,63369.6073,37256.9989,1631013.594,1601983.6725
920339.BJ,20260327,8.2,1.2728,3.5158,1.79,27.1963,45.3346,2.9832,2.515,3.2593,1.2161,1.2161,22020.38,15117.7135,5473.037,180567.116,123965.2507
688291.SH,20260327,39.38,1.7457,5.3237,1.09,132.5795,108.4945,4.2247,19.0597,15.9552,0.4158,0.4158,10266.67,10266.67,3366.67,404301.4646,404301.4646
920809.BJ,20260327,7.62,6.2897,6.2897,1.58,,,2.9163,3.0206,1.3066,,,59905.0,45910.7148,45910.7148,456476.1,349839.6468
000960.SZ,20260327,32.5,3.0951,5.5063,1.02,37.0276,28.0546,2.7072,1.2741,1.1335,0.8925,0.9232,164543.1952,164543.1952,92490.1987,5347653.844,5347653.844
300651.SZ,20260327,28.6,22.9961,29.5102,0.99,150.9127,100.2578,3.781,10.8103,10.8391,0.4782,0.8279,14120.9688,8743.3026,6813.3041,403859.7077,250058.4544
601872.SH,20260327,17.1,1.9034,6.0482,0.77,22.9661,22.9661,3.2106,4.9002,4.9002,1.3216,1.3216,807453.8502,807453.8502,254110.8705,13807460.8384,13807460.8384
002526.SZ,20260327,3.66,6.5643,8.3308,2.98,57.5171,57.4621,2.0233,2.7417,2.9996,0.2732,0.2732,178279.3836,177108.4438,139553.8516,652502.544,648216.9043
300442.SZ,20260327,83.45,1.655,4.0756,0.61,76.179,27.3848,10.0691,31.2466,27.9193,0.632,0.632,163434.3573,162837.4011,66123.8904,13638597.1167,13588781.1218
688278.SH,20260327,67.91,0.5767,1.4632,1.41,26.8805,26.8805,8.0358,7.5009,7.5009,0.9099,0.9099,40818.948,40818.948,16089.6742,2772014.7587,2772014.7587
000686.SZ,20260327,8.05,0.4984,0.8684,0.55,21.5655,12.8461,0.9563,2.8963,3.2352,2.7329,2.1118,234045.2915,234045.2915,134321.0589,1884064.5966,1884064.5966
920414.BJ,20260327,12.68,9.0481,10.3117,0.58,,,3.6516,12.3411,16.2638,,,7974.8171,5607.7587,4920.5829,101120.6808,71106.3803
000893.SZ,20260327,64.58,2.4888,3.6942,1.44,62.7852,33.2416,4.5706,16.8195,12.0991,,,92405.1187,81181.0074,54693.028,5967522.5656,5242669.4579
000036.SZ,20260327,5.21,8.49,12.1079,3.0,180.5366,188.7966,1.439,17.1968,17.5327,,,140381.8725,140115.0983,98248.0024,731389.5557,729999.6621
600208.SH,20260327,3.17,0.6566,1.5207,0.75,26.5553,,0.6479,1.6362,7.8988,,,850894.08,850797.6337,367347.7791,2697334.2336,2697028.4988
600872.SH,20260327,18.86,2.0157,2.6213,1.78,16.4408,21.0731,2.5797,2.6605,3.1047,2.2167,2.2167,77850.9228,77098.795,59287.2009,1468268.404,1454083.2737
601008.SH,20260327,4.98,0.7621,1.8481,0.53,36.212,36.212,1.4724,2.4035,2.4035,1.2048,1.2048,124063.8006,124063.8006,51163.7271,617837.727,617837.727
603383.SH,20260327,29.05,1.0646,1.8281,0.68,30.7555,30.4345,4.2042,8.989,9.5026,2.754,2.754,20537.9059,20537.6359,11960.3382,596626.1664,596618.3229
300565.SZ,20260327,13.71,10.6876,11.0341,0.64,,,6.0846,6.1467,5.3479,,,24970.4612,22820.5145,22103.8656,342345.0231,312869.2538
920375.BJ,20260327,15.0,10.884,12.6868,0.56,54.8777,176.1012,2.0945,2.7987,2.3011,,,10865.385,6491.6188,5569.1648,162980.775,97374.282
688277.SH,20260327,22.47,1.8021,2.5513,0.96,,,8.6342,57.2914,36.1725,,,45599.2034,45599.2034,32208.8621,1024614.1004,1024614.1004
600615.SH,20260327,11.53,1.2202,1.744,0.8,297.0703,282.6973,3.539,13.777,4.6797,,,22562.461,22526.605,15760.123,260145.1753,259731.7557
002482.SZ,20260327,1.71,1.3843,2.9552,0.7,,,13.3661,8.4654,4.3411,,,375096.2363,374355.9801,175357.256,641414.5641,640148.726
300541.SZ,20260327,13.79,1.9247,1.9247,0.45,154.1672,64.5514,3.442,2.6718,1.9929,0.1305,0.1305,43004.4492,38657.8483,38657.8483,593031.3545,533091.7281
688663.SH,20260327,61.0,1.6561,2.6641,0.57,49.4993,90.6424,6.3046,4.5003,4.2967,0.9635,0.9635,14147.46,14147.46,8794.5,862995.06,862995.06
600141.SH,20260327,33.72,2.3386,3.5028,0.84,25.3048,25.2407,1.651,1.427,1.3451,2.7226,2.7226,120173.9857,120173.9857,80233.912,4052266.7978,4052266.7978
600418.SH,20260327,45.27,0.919,1.2805,0.59,,,7.6102,2.423,2.5022,,,225417.8195,218400.9791,156739.4789,10204664.6888,9887012.3239
000030.SZ,20260327,5.02,0.4885,1.7622,0.63,12.7678,12.8456,1.0595,0.5242,0.5048,3.0271,3.0271,171981.0845,167090.6445,46318.9412,863345.0442,838795.0354
600557.SH,20260327,13.45,0.9889,1.701,1.13,19.4324,32.4922,1.6153,1.9537,2.4322,,,56615.8806,56615.8806,32914.6344,761483.5941,761483.5941
920075.BJ,20260327,20.59,1.2431,1.7411,0.61,32.3664,57.6684,3.3341,2.2527,2.5861,2.2454,2.2454,6481.5,3487.8864,2490.236,133454.085,71815.581
000520.SZ,20260327,4.21,1.2098,1.646,0.61,,,10.5793,4.7998,6.2593,,,101208.3455,101208.3455,74389.2403,426087.1346,426087.1346
002884.SZ,20260327,18.23,0.8641,1.2692,0.51,14.7387,14.0602,2.8198,4.0956,3.847,5.4855,5.4855,35768.2509,27307.2488,18591.7126,652055.2139,497811.1456
601012.SH,20260327,18.52,2.7393,3.4771,0.59,,,2.4658,1.6995,1.8737,,,757806.4239,757805.6693,597012.5802,14034574.9706,14034560.9954
300472.SZ,20260327,8.12,1.2635,1.4845,0.48,,,,17.0956,,,,27525.8621,26484.1371,22541.5192,223510.0003,215051.1933
605069.SH,20260327,12.07,1.1114,2.878,0.55,,,3.0013,7.1711,7.8734,,,21169.7778,21169.7778,8175.0978,255519.218,255519.218
603678.SH,20260327,34.52,1.0429,1.7475,0.75,84.3957,56.8297,2.7104,5.8599,4.9031,0.6345,0.6345,47556.6631,47556.6631,28382.1536,1641656.0102,1641656.0102
300136.SZ,20260327,62.57,9.1112,9.6635,1.16,91.5058,98.4634,7.8843,6.924,6.8704,0.0787,0.0787,96756.8638,82456.7926,77744.2043,6054076.968,5159321.513
300449.SZ,20260327,7.3,1.7298,2.2498,0.51,,,9.0766,19.0643,15.5181,,,38603.5989,38603.5989,29681.4579,281806.272,281806.272
600383.SH,20260327,2.77,1.0399,1.6673,0.69,,,0.2293,0.1661,0.2146,,,451458.3572,451458.3572,281581.6135,1250539.6494,1250539.6494
002636.SZ,20260327,31.26,3.8337,11.2124,0.59,614.0847,205.8601,6.5327,5.6213,5.2299,0.2719,0.2719,72800.0,72431.5417,24765.7417,2275728.0,2264209.9935
300303.SZ,20260327,9.02,4.7083,5.2066,0.48,37.6293,41.7933,3.4063,4.1853,3.705,1.4314,1.4314,141680.5527,132919.7986,120198.5075,1277958.5854,1198936.5834
000863.SZ,20260327,5.2,1.4225,2.6694,0.59,318.4806,,1.3653,5.0761,7.4445,,,118069.956,116361.5418,62007.2273,613963.7712,605080.0174
301589.SZ,20260327,164.7,0.915,0.9807,0.48,25.672,26.3567,3.9764,4.6427,4.5817,0.72,0.72,9244.8,3446.496,3215.6269,1522618.56,567637.8912
