ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1626.DC,20260328,稀土,中稀有色,600259.SH,3.47,4.73,28798446.4,2.82,4,0,行业板块,东财三级行业,1.0,4,4.73,2.82,32.551
BK1625.DC,20260328,钨,翔鹭钨业,002842.SZ,5.35,9.99,25385374.8,6.76,4,0,行业板块,东财三级行业,1.0,4,9.99,6.76,34.955
BK1624.DC,20260328,其他小金属,云南锗业,002428.SZ,3.16,10.0,42976440.0,5.13,15,0,行业板块,东财三级行业,1.0,15,10.0,5.13,33.974000000000004
BK1623.DC,20260328,钼,金钼股份,601958.SH,3.07,3.07,7498503.2,1.15,1,0,行业板块,东财三级行业,1.0,1,3.07,1.15,31.765
BK1622.DC,20260328,镍,华友钴业,603799.SH,2.97,2.97,11361397.7,4.18,1,0,行业板块,东财三级行业,1.0,1,2.97,4.18,32.321
BK1621.DC,20260328,锂,融捷股份,002192.SZ,8.88,10.0,44336824.0,8.37,8,0,行业板块,东财三级行业,1.0,8,10.0,8.37,36.338
BK1620.DC,20260328,钴,腾远钴业,301219.SZ,3.45,3.8,3156001.7,3.63,2,0,行业板块,东财三级行业,1.0,2,3.8,3.63,32.521
BK1619.DC,20260328,其他金属新材料,深圳新星,603978.SH,2.44,10.02,20346558.3,2.23,18,2,行业板块,东财三级行业,0.9,16,9.018,2.007,29.936999999999998
BK1618.DC,20260328,磁性材料,新莱福,301323.SZ,2.45,5.27,17043548.7,2.0,14,0,行业板块,东财三级行业,1.0,14,5.27,2.0,32.189
BK1617.DC,20260328,黄金,赤峰黄金,600988.SH,3.32,6.7,60056811.2,2.34,10,0,行业板块,东财三级行业,1.0,10,6.7,2.34,32.804
BK1616.DC,20260328,白银,兴业银锡,000426.SZ,1.73,2.51,13102994.6,4.37,3,0,行业板块,东财三级行业,1.0,3,2.51,4.37,31.894999999999996
