模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
分歧转一致,927,中国铁物,买入,09:24:30-09:25:00,3.34,3.1062,3.674,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,603538,美诺华,买入,09:24:30-09:25:00,35.62,33.126599999999996,39.182,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,2192,融捷股份,买入,09:24:30-09:25:00,70.91,65.9463,78.001,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,600726,华电能源,买入,09:24:30-09:25:00,6.77,6.2961,7.447,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
炸板回封（次日）,965,天保基建,观察,09:24:30-09:25:00,0.0,3.8874,4.598,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600163,中闽能源,观察,09:24:30-09:25:00,0.0,7.7097,9.119,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2705,新宝股份,观察,09:24:30-09:25:00,0.0,13.7361,16.247,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603601,再升科技,观察,09:24:30-09:25:00,0.0,12.4992,14.784,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,1367,海森药业,观察,09:24:30-09:25:00,0.0,22.431600000000003,26.532000000000004,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,722,湖南发展,观察,09:24:30-09:25:00,0.0,17.000400000000003,20.108000000000004,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
