trade_date,sector_code,sector_name,sector_type,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,member_count,source,as_of_date,ingested_at
20260515,883411.TI,密集调研,特色,1905.028,1909.55,1837.996,1849.5,1905.307,-2.929,7609906.1,285429314.03635997,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885933.TI,NFT概念,概念,1919.603,1944.285,1897.824,1909.99,1915.037,-0.2635,30654497.0,363200611.3554,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885939.TI,海峡两岸,概念,2066.368,2077.922,2034.813,2050.048,2064.682,-0.7088,119509089.0,2929502396.8392,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700580.TI,,,1416.8209,1416.8209,1415.3227,1415.3227,1413.337,0.1405,9454999.18,137402884.58351398,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700038.TI,同花顺高动量,ST,1787.369,1804.208,1764.736,1778.129,1786.281,-0.4564,408384179.3,16003473349.482891,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700414.TI,,,2002.3393,2005.1829,2002.3393,2005.1829,2011.0249,-0.2905,581320.72,5518593.859104,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885809.TI,柔性屏(折叠屏),概念,3510.798,3548.392,3448.565,3485.737,3501.375,-0.4466,66145706.0,1261497831.979,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882007.TI,深圳,地域,8518.606,8597.023,8397.985,8464.636,8511.387,-0.5493,117164368.0,3876008189.3024,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884280.TI,,,3333.739,3354.269,3273.009,3297.8,3333.414,-1.0684,162597.04,5245071.5760240005,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,881108.TI,化学原料,行业,3599.526,3666.915,3582.746,3602.846,3583.161,0.5494,18270459.0,223283279.439,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,883912.TI,深股通成交前十,特色,6564.75,6625.964,6271.259,6432.104,6565.473,-2.0314,6507393.9,1914208482.2301002,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700058.TI,同花顺小市值400,BB,41717.569,41979.844,41105.886,41393.57,41682.131,-0.6923,27483783.23,308370796.21892303,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884024.TI,无机盐,行业,4126.318,4224.91,4105.253,4130.182,4094.61,0.8688,2752424.5,47988521.1575,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700585.TI,,,1330.1523,1330.1523,1316.2597,1316.2597,1343.3209,-2.0145,4112139.09,31091472.445581,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700047.TI,同花顺大盘股,ST,36960.498,37138.136,36356.745,36584.348,36973.306,-1.052,209402375.06,9358862229.031591,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,871058.TI,,,2623.417,2630.349,2573.417,2578.223,2619.448,-1.5738,2246531.6,43875436.107480004,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885981.TI,家庭医生,概念,1327.8,1332.636,1304.846,1311.222,1331.72,-1.5392,9269326.0,166251850.3382,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886056.TI,阿尔茨海默概念,概念,1290.049,1299.022,1276.236,1282.956,1291.695,-0.6766,11888682.2,163046143.16368,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,881135.TI,纺织制造,行业,2580.602,2601.692,2544.506,2557.079,2578.709,-0.8388,4658192.3,60478242.26936,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884051.TI,炭黑,行业,1131.932,1155.546,1131.932,1143.022,1134.53,0.7485,786856.07,8946396.144685999,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700533.TI,,,1289.9107,1289.9107,1272.038,1272.038,1294.4659,-1.7326,19290829.46,131254803.64584,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882011.TI,海南,地域,2337.436,2340.462,2286.043,2298.151,2343.412,-1.9314,11935311.1,152197893.61609,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885959.TI,PCB概念,概念,2716.71,2740.501,2652.685,2679.739,2711.711,-1.179,78498284.0,2930568586.7436004,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885459.TI,网络安全,概念,6145.133,6198.345,6041.691,6083.034,6138.772,-0.908,67200245.0,1499472666.8075001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886026.TI,POE胶膜,概念,1009.15,1010.65,989.015,994.761,1010.471,-1.5547,7985759.1,160615975.62647998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886030.TI,成飞概念,概念,2095.691,2111.414,2060.093,2074.244,2097.11,-1.0904,11864186.5,242212113.0721,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700571.TI,,,3993.9486,3993.9486,3965.6947,3965.6947,3991.793,-0.6538,6575045.16,53380819.14049201,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884273.TI,医疗美容,行业,1134.781,1143.218,1129.115,1132.949,1135.893,-0.2592,379399.16,8339003.83722,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885945.TI,汽车芯片,概念,1497.265,1517.864,1462.759,1477.7,1494.972,-1.1553,56541339.0,2702907823.6899,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885710.TI,锂电池概念,概念,2208.263,2225.714,2178.671,2193.624,2206.201,-0.5701,217122180.0,5751219152.712,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884221.TI,其他自动化设备,行业,70358.213,71643.299,69433.72,70427.654,70346.587,0.1152,2901113.1,190579631.65389,0.0,ths_daily,20260515,2026-06-18T20:06:42
