ts_code,name,con_name,con_code,trade_date,desc,hot_num
000226.KP,商业航天,再升科技,603601.SH,20260324,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,3002
000226.KP,商业航天,再升科技,603601.SH,20260323,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,2734
000226.KP,商业航天,再升科技,603601.SH,20260322,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,7549
000226.KP,商业航天,再升科技,603601.SH,20260319,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,7814
000226.KP,商业航天,再升科技,603601.SH,20260318,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,13400
000226.KP,商业航天,再升科技,603601.SH,20260310,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,9961
000226.KP,商业航天,再升科技,603601.SH,20260308,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,6326
000226.KP,商业航天,再升科技,603601.SH,20260307,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,4551
000226.KP,商业航天,再升科技,603601.SH,20260306,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,2289
000226.KP,商业航天,再升科技,603601.SH,20260305,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,2435
000226.KP,商业航天,再升科技,603601.SH,20260304,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,2492
000226.KP,商业航天,再升科技,603601.SH,20260303,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,4026
000226.KP,商业航天,再升科技,603601.SH,20260228,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,8137
000226.KP,商业航天,再升科技,603601.SH,20260227,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,6098
000226.KP,商业航天,再升科技,603601.SH,20260226,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,11634
000226.KP,商业航天,再升科技,603601.SH,20260211,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,15092
000226.KP,商业航天,再升科技,603601.SH,20260210,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,3075
000226.KP,商业航天,再升科技,603601.SH,20260209,公司高性能高硅氧纤维(用于隔热保温)供货SpaceX,3948
