ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260325,综合Ⅲ,漳州发展,000753.SZ,2.79,9.94,21186652.8,1.94,18,1,行业板块,东财三级行业,0.9473684210526315,17,9.416842105263157,1.837894736842105,31.508999999999997
BK1626.DC,20260325,稀土,北方稀土,600111.SH,3.57,5.01,28942270.4,3.68,4,0,行业板块,东财三级行业,1.0,4,5.01,3.68,32.809
BK1625.DC,20260325,钨,厦门钨业,600549.SH,0.42,4.76,25431006.6,6.94,1,3,行业板块,东财三级行业,0.25,-2,1.19,1.735,8.211
BK1624.DC,20260325,其他小金属,云南锗业,002428.SZ,2.93,8.44,42741340.8,5.17,15,0,行业板块,东财三级行业,1.0,15,8.44,5.17,33.601
BK1623.DC,20260325,钼,金钼股份,601958.SH,2.75,2.75,7301333.7,1.42,1,0,行业板块,东财三级行业,1.0,1,2.75,1.42,31.659
BK1622.DC,20260325,镍,华友钴业,603799.SH,4.79,4.79,11198279.1,4.11,1,0,行业板块,东财三级行业,1.0,1,4.79,4.11,33.217000000000006
BK1621.DC,20260325,锂,融捷股份,002192.SZ,3.37,10.0,39416502.4,5.13,8,0,行业板块,东财三级行业,1.0,8,10.0,5.13,34.037
BK1620.DC,20260325,钴,腾远钴业,301219.SZ,2.74,2.98,3075849.4,2.94,2,0,行业板块,东财三级行业,1.0,2,2.98,2.94,32.006
BK1619.DC,20260325,其他金属新材料,博迁新材,605376.SH,1.82,5.15,19895845.2,2.14,19,0,行业板块,东财三级行业,1.0,19,5.15,2.14,32.004
BK1618.DC,20260325,磁性材料,龙磁科技,300835.SZ,2.43,3.5,16972233.0,2.25,14,0,行业板块,东财三级行业,1.0,14,3.5,2.25,31.878999999999998
BK1617.DC,20260325,黄金,赤峰黄金,600988.SH,2.98,6.12,60006254.4,3.62,10,0,行业板块,东财三级行业,1.0,10,6.12,3.62,32.84199999999999
BK1616.DC,20260325,白银,兴业银锡,000426.SZ,4.68,4.97,13207206.1,7.83,3,0,行业板块,东财三级行业,1.0,3,4.97,7.83,33.964000000000006
BK1615.DC,20260325,铜,盛屯矿业,600711.SH,2.76,6.45,186226462.4,2.61,17,0,行业板块,东财三级行业,1.0,17,6.45,2.61,32.64
BK1614.DC,20260325,铅锌,国城矿业,000688.SZ,1.93,5.13,22400549.1,3.39,12,0,行业板块,东财三级行业,1.0,12,5.13,3.39,32.283
BK1613.DC,20260325,铝,丽岛新材,603937.SH,2.28,5.77,107460520.0,2.24,28,2,行业板块,东财三级行业,0.9333333333333333,26,5.385333333333333,2.090666666666667,30.1792
BK1612.DC,20260325,农商行Ⅲ,紫金银行,601860.SH,2.01,4.07,27253465.6,1.02,9,1,行业板块,东财三级行业,0.9,8,3.6630000000000003,0.918,28.5192
BK1611.DC,20260325,国有大型银行Ⅲ,中国银行,601988.SH,0.77,1.46,1036672486.4,0.15,6,0,行业板块,东财三级行业,1.0,6,1.46,0.15,30.553000000000004
BK1610.DC,20260325,股份制银行Ⅲ,民生银行,600016.SH,0.8,1.84,296028918.4,0.4,9,0,行业板块,东财三级行业,1.0,9,1.84,0.4,30.687999999999995
BK1609.DC,20260325,城商行Ⅲ,西安银行,600928.SH,1.03,1.97,125164976.0,0.68,14,3,行业板块,东财三级行业,0.8235294117647058,11,1.6223529411764706,0.56,25.451352941176467
BK1608.DC,20260325,中药Ⅲ,康惠股份,603139.SH,1.28,6.17,83027224.0,1.3,58,5,行业板块,东财三级行业,0.9206349206349206,53,5.68031746031746,1.1968253968253968,29.37847619047619
