序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002445,中南文化,9.97304630279541,4.08,47724005,9654834369.84,9696558746.880001,0.4943016469478607,482047675,092500,092500,0,4/4,4,通用设备
2,000420,吉林化纤,10.087719917297363,5.02,495630608,12339316337.859999,12343519046.72,4.0166778564453125,202258611,092500,092500,0,1/1,1,化学纤维
3,002254,泰和新材,10.039840698242188,13.81,502711328,11746341773.73,11835959711.04,4.282395362854004,42889703,092500,101009,1,1/1,1,化学纤维
4,600370,三房巷,10.222222328186035,2.48,258764608,9663768178.16,9663768185.6,2.6777572631835938,83785312,092502,093444,1,1/1,1,化学纤维
5,688295,中复神鹰,20.005550384521484,43.25,1318114672,38925000000.0,38925000000.0,3.397594451904297,141733969,092503,094039,2,1/1,1,化学纤维
6,600691,潞化科技,10.10929012298584,4.03,394341136,9573611386.560001,9575207266.560001,4.134210586547852,48788485,093031,093125,1,1/1,1,农化制品
7,002150,正泰电源,10.006738662719727,32.65,744829136,11706493531.699999,11782366320.0,6.4527363777160645,61396692,093124,093724,1,2/2,2,通用设备
8,000537,绿发电力,10.026385307312012,12.51,913512544,25853195423.52,25853195423.52,3.585606575012207,280453333,093157,093157,0,3/3,3,电力
9,601330,绿色动力,10.035842895507812,9.21,995343344,9109561910.7,13175682913.44,11.085750579833984,18208869,093335,131820,14,2/2,2,环境治理
10,603626,科森科技,10.022573471069336,24.37,704706640,13522418045.300001,13522418191.52,5.278997421264648,132296419,093407,093631,1,1/1,1,消费电子
11,603978,深圳新星,9.992006301879883,27.52,297041456,5809315108.48,5809315108.48,5.171519756317139,215405011,093440,093440,0,1/1,1,金属新材
12,600726,华电能源,9.915014266967773,3.88,690390832,29004304487.04,30680464424.96,2.4330379962921143,107597374,093507,093507,0,3/3,3,电力
13,601991,大唐发电,10.096153259277344,4.58,764848800,56774088105.48,84760734218.24,1.377415657043457,209172644,093533,093533,0,1/1,1,电力
14,002951,金时科技,10.019145011901855,17.24,191747528,6915385086.999999,6982199999.999999,2.8411169052124023,42125940,093748,093748,0,1/1,1,其他电源
15,601016,节能风电,9.925558090209961,4.43,3470422992,26288286143.53,28530886376.96,13.353720664978027,217451290,093829,130232,6,2/2,2,电力
16,600868,梅雁吉祥,9.898476600646973,4.33,846547968,8218983780.07,8218983749.76,10.587753295898438,99084714,094149,094149,0,1/1,1,电力
17,000890,法尔胜,10.043667793273926,10.08,819943552,4228469743.68,4228599997.44,19.895469665527344,46265214,094236,104645,3,14/7,1,环保设备
18,000990,诚志股份,10.011248588562012,9.78,821062064,11885014290.3,11885023102.08,6.98233699798584,81286157,094242,111739,1,1/1,1,化学原料
19,001260,坤泰股份,10.0,24.53,86447769,2820950000.0,2820950000.0,3.103043556213379,59009368,094742,094742,0,1/1,1,汽车零部
20,600703,三安光电,9.97652530670166,18.74,7968259072,93494210943.98,93494209013.76,8.727544784545898,352746037,094929,135626,1,1/1,1,光学光电
21,603077,和邦生物,9.90099048614502,3.33,2540290320,29409018969.24,29409018716.16,8.84854507446289,80983062,095308,134702,3,1/1,1,农化制品
22,601969,海南矿业,10.0,13.42,1368213792,26470636186.72,26816491595.52,5.281808376312256,16103261,095627,145343,2,4/2,1,冶钢原料
23,002498,汉缆股份,9.957627296447754,10.38,2808565168,34532142480.0,34532142480.0,8.443090438842773,267705639,095727,095727,0,15/8,1,电网设备
24,600935,华塑股份,9.966776847839355,3.31,409537664,11609499997.72,11898582991.84,3.607875108718872,14985032,100225,131022,1,1/1,1,化学原料
25,002015,协鑫能科,9.989701271057129,21.36,7252100608,34674213755.04,34674213626.88,21.411134719848633,241845695,100315,130454,9,5/3,1,电力
26,600844,金煤科技,10.055866241455078,3.94,619476624,3241558697.96,4005105505.6,19.565038681030273,19815048,100908,141220,4,1/1,1,化学原料
27,301667,纳百川,20.0,79.98,769277280,1799106830.8200002,8931334608.0,45.118797302246094,68638756,101512,101730,2,1/1,1,汽车零部
28,000553,安道麦A,10.032362937927246,6.8,206162152,14804089334.8,15842719968.0,1.4372520446777344,34507960,101706,101706,0,1/1,1,农化制品
29,000593,德龙汇能,9.978918075561523,15.65,450433216,5610261594.85,5612575275.2,8.24334716796875,113564256,101918,101918,0,1/1,1,燃气Ⅱ
30,600188,兖矿能源,10.024813652038574,22.17,2706121952,131333108732.28001,222530941532.16,2.1164071559906006,84326787,102658,132846,2,1/1,1,煤炭开采
31,600722,金牛化工,10.0,15.4,2440938784,10476923010.4,10476923072.0,23.99536895751953,48526016,102923,134120,3,9/5,2,化学原料
