ts_code,name,con_name,con_code,trade_date,desc,hot_num
000355.KP,国产芯片概念,国风新材,000859.SZ,20260125,公司与中国科学技术大学先进技术研究院签署了合作协议，双方共同开展光敏聚酰亚胺（PSPI）光刻胶等的研究工作,6635
000355.KP,国产芯片概念,国风新材,000859.SZ,20260124,公司与中国科学技术大学先进技术研究院签署了合作协议，双方共同开展光敏聚酰亚胺（PSPI）光刻胶等的研究工作,5015
000355.KP,国产芯片概念,国风新材,000859.SZ,20260123,公司与中国科学技术大学先进技术研究院签署了合作协议，双方共同开展光敏聚酰亚胺（PSPI）光刻胶等的研究工作,2820
000355.KP,国产芯片概念,国风新材,000859.SZ,20260122,公司与中国科学技术大学先进技术研究院签署了合作协议，双方共同开展光敏聚酰亚胺（PSPI）光刻胶等的研究工作,4727
000355.KP,国产芯片概念,国风新材,000859.SZ,20260105,公司与中国科学技术大学先进技术研究院签署了合作协议，双方共同开展光敏聚酰亚胺（PSPI）光刻胶等的研究工作,11007
000265.KP,折叠屏概念,国风新材,000859.SZ,20251027,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,625
000315.KP,关税战概念,国风新材,000859.SZ,20251027,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,625
000242.KP,半导体材料,国风新材,000859.SZ,20251027,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,625
000265.KP,折叠屏概念,国风新材,000859.SZ,20251026,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,3115
000315.KP,关税战概念,国风新材,000859.SZ,20251026,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,3115
000242.KP,半导体材料,国风新材,000859.SZ,20251026,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,3115
000265.KP,折叠屏概念,国风新材,000859.SZ,20251025,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,1169
000315.KP,关税战概念,国风新材,000859.SZ,20251025,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1169
000242.KP,半导体材料,国风新材,000859.SZ,20251025,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1169
000265.KP,折叠屏概念,国风新材,000859.SZ,20251024,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,537
000315.KP,关税战概念,国风新材,000859.SZ,20251024,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,537
000242.KP,半导体材料,国风新材,000859.SZ,20251024,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,537
000265.KP,折叠屏概念,国风新材,000859.SZ,20251023,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,431
000242.KP,半导体材料,国风新材,000859.SZ,20251023,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,431
000315.KP,关税战概念,国风新材,000859.SZ,20251023,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,431
000265.KP,折叠屏概念,国风新材,000859.SZ,20251022,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,495
000242.KP,半导体材料,国风新材,000859.SZ,20251022,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,495
000315.KP,关税战概念,国风新材,000859.SZ,20251022,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,495
000265.KP,折叠屏概念,国风新材,000859.SZ,20251021,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,485
000315.KP,关税战概念,国风新材,000859.SZ,20251021,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,485
000242.KP,半导体材料,国风新材,000859.SZ,20251021,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,485
000265.KP,折叠屏概念,国风新材,000859.SZ,20251020,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,488
000242.KP,半导体材料,国风新材,000859.SZ,20251020,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,488
000315.KP,关税战概念,国风新材,000859.SZ,20251020,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,488
000265.KP,折叠屏概念,国风新材,000859.SZ,20251019,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,1739
000242.KP,半导体材料,国风新材,000859.SZ,20251019,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1739
000315.KP,关税战概念,国风新材,000859.SZ,20251019,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1739
000265.KP,折叠屏概念,国风新材,000859.SZ,20251018,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,1128
000315.KP,关税战概念,国风新材,000859.SZ,20251018,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1128
000242.KP,半导体材料,国风新材,000859.SZ,20251018,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1128
000315.KP,关税战概念,国风新材,000859.SZ,20251017,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,471
000242.KP,半导体材料,国风新材,000859.SZ,20251017,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,471
000265.KP,折叠屏概念,国风新材,000859.SZ,20251017,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,471
000242.KP,半导体材料,国风新材,000859.SZ,20251016,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,478
000265.KP,折叠屏概念,国风新材,000859.SZ,20251016,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,478
000315.KP,关税战概念,国风新材,000859.SZ,20251016,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,478
000315.KP,关税战概念,国风新材,000859.SZ,20251015,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,495
000265.KP,折叠屏概念,国风新材,000859.SZ,20251015,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,495
000242.KP,半导体材料,国风新材,000859.SZ,20251015,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,495
000315.KP,关税战概念,国风新材,000859.SZ,20251014,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,588
000242.KP,半导体材料,国风新材,000859.SZ,20251014,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,588
000265.KP,折叠屏概念,国风新材,000859.SZ,20251014,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,588
000242.KP,半导体材料,国风新材,000859.SZ,20251013,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,796
000265.KP,折叠屏概念,国风新材,000859.SZ,20251013,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,796
000315.KP,关税战概念,国风新材,000859.SZ,20251013,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,796
000242.KP,半导体材料,国风新材,000859.SZ,20251012,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1698
000315.KP,关税战概念,国风新材,000859.SZ,20251012,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1698
000265.KP,折叠屏概念,国风新材,000859.SZ,20251012,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,1698
000315.KP,关税战概念,国风新材,000859.SZ,20251011,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1220
000242.KP,半导体材料,国风新材,000859.SZ,20251011,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,1220
000265.KP,折叠屏概念,国风新材,000859.SZ,20251011,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,1220
000315.KP,关税战概念,国风新材,000859.SZ,20251010,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,465
000242.KP,半导体材料,国风新材,000859.SZ,20251010,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,465
000265.KP,折叠屏概念,国风新材,000859.SZ,20251010,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,465
000242.KP,半导体材料,国风新材,000859.SZ,20251009,公司与中国科学技术大学先进技术研究院联合建立实验室，充分发挥双方在资源、技术、研发和转化生产方面的优势，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,615
000315.KP,关税战概念,国风新材,000859.SZ,20251009,公司与中国科学技术大学先进技术研究院签署合作协议，共同开展柔性衬底 PI 浆料、热塑性聚酰亚胺（TPI）复合膜、光敏聚酰亚胺（PSPI）光刻胶的研究工作。,615
000265.KP,折叠屏概念,国风新材,000859.SZ,20251009,目前公司透明聚酰亚胺（CPI）相关新产品正按计划推进研发工作,615
