ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260324,综合Ⅲ,宁波联合,600051.SH,3.42,6.94,21030882.4,1.97,19,1,行业板块,东财三级行业,0.95,18,6.593,1.8715,31.2189
BK1626.DC,20260324,稀土,盛和资源,600392.SH,0.24,1.4,27759011.2,2.88,3,1,行业板块,东财三级行业,0.75,2,1.0499999999999998,2.16,23.214
BK1625.DC,20260324,钨,厦门钨业,600549.SH,4.42,7.22,25121942.0,5.28,4,0,行业板块,东财三级行业,1.0,4,7.22,5.28,33.826
BK1624.DC,20260324,其他小金属,云南锗业,002428.SZ,3.54,10.0,41296787.2,4.26,14,1,行业板块,东财三级行业,0.9333333333333333,13,9.333333333333334,3.976,31.72386666666667
BK1623.DC,20260324,钼,金钼股份,601958.SH,3.12,3.12,7140003.5,1.21,1,0,行业板块,东财三级行业,1.0,1,3.12,1.21,31.802
BK1622.DC,20260324,镍,华友钴业,603799.SH,1.28,1.28,10686162.7,3.18,1,0,行业板块,东财三级行业,1.0,1,1.28,3.18,31.276
BK1621.DC,20260324,锂,融捷股份,002192.SZ,4.01,10.01,38329924.8,5.34,7,1,行业板块,东财三级行业,0.875,6,8.75875,4.672499999999999,30.13925
BK1620.DC,20260324,钴,寒锐钴业,300618.SZ,2.03,2.08,2992684.8,2.72,2,0,行业板块,东财三级行业,1.0,2,2.08,2.72,31.569
BK1619.DC,20260324,其他金属新材料,合金投资,000633.SZ,2.42,5.36,19471254.8,2.32,18,2,行业板块,东财三级行业,0.9,16,4.824000000000001,2.088,29.1084
BK1618.DC,20260324,磁性材料,新莱福,301323.SZ,3.41,11.45,16571672.0,2.25,14,0,行业板块,东财三级行业,1.0,14,11.45,2.25,33.763000000000005
BK1617.DC,20260324,黄金,招金黄金,000506.SZ,3.04,5.62,58189080.0,3.14,9,1,行业板块,东财三级行业,0.9,8,5.058,2.826,29.4888
BK1616.DC,20260324,白银,兴业银锡,000426.SZ,5.03,5.99,12608689.4,6.29,3,0,行业板块,东财三级行业,1.0,3,5.99,6.29,33.965
BK1615.DC,20260324,铜,众源新材,603527.SH,5.15,10.04,180779963.2,2.68,16,1,行业板块,东财三级行业,0.9411764705882353,15,9.449411764705882,2.5223529411764707,32.17464705882353
BK1614.DC,20260324,铅锌,国城矿业,000688.SZ,4.93,10.0,21862394.2,3.38,12,0,行业板块,东财三级行业,1.0,12,10.0,3.38,34.155
BK1613.DC,20260324,铝,丽岛新材,603937.SH,3.96,10.01,105246694.4,2.41,29,1,行业板块,东财三级行业,0.9666666666666667,28,9.676333333333334,2.3296666666666668,32.5892
BK1612.DC,20260324,农商行Ⅲ,张家港行,002839.SZ,2.51,3.97,26963272.0,0.95,10,0,行业板块,东财三级行业,1.0,10,3.97,0.95,31.737000000000002
BK1611.DC,20260324,国有大型银行Ⅲ,邮储银行,601658.SH,1.63,2.87,1028991923.2,0.16,6,0,行业板块,东财三级行业,1.0,6,2.87,0.16,31.095000000000002
BK1610.DC,20260324,股份制银行Ⅲ,平安银行,000001.SZ,2.73,4.11,294361195.2,0.5,9,0,行业板块,东财三级行业,1.0,9,4.11,0.5,31.741
BK1609.DC,20260324,城商行Ⅲ,青岛银行,002948.SZ,2.59,4.31,124210854.4,0.74,17,0,行业板块,东财三级行业,1.0,17,4.31,0.74,31.787
BK1608.DC,20260324,中药Ⅲ,长药退,300391.SZ,3.33,17.14,82344358.4,1.53,62,4,行业板块,东财三级行业,0.9393939393939394,58,16.10121212121212,1.4372727272727275,32.68851515151515
BK1607.DC,20260324,医药流通,塞力医疗,603716.SH,3.66,9.2,24468262.8,1.52,24,0,行业板块,东财三级行业,1.0,24,9.2,1.52,33.242000000000004
BK1606.DC,20260324,线下药店,第一医药,600833.SH,3.11,5.58,8332642.1,1.07,8,0,行业板块,东财三级行业,1.0,8,5.58,1.07,32.263
BK1605.DC,20260324,医疗设备,中科美菱,920992.BJ,3.9,10.64,60287806.4,1.76,43,0,行业板块,东财三级行业,1.0,43,10.64,1.76,33.65
BK1604.DC,20260324,医疗耗材,华强科技,688151.SH,4.12,9.65,45036241.6,2.21,53,0,行业板块,东财三级行业,1.0,53,9.65,2.21,33.608000000000004
BK1603.DC,20260324,体外诊断,国发股份,600538.SH,3.9,8.51,26166340.7,2.69,40,0,行业板块,东财三级行业,1.0,40,8.51,2.69,33.41
BK1602.DC,20260324,诊断服务,兰卫医学,301060.SZ,4.13,5.73,4719891.7,2.56,5,0,行业板块,东财三级行业,1.0,5,5.73,2.56,32.897
BK1601.DC,20260324,医院,国际医学,000516.SZ,4.26,8.91,21894667.3,2.45,15,0,行业板块,东财三级行业,1.0,15,8.91,2.45,33.550000000000004
BK1600.DC,20260324,医疗研发外包,百奥赛图,688796.SH,5.3,10.81,60635068.8,2.64,29,0,行业板块,东财三级行业,1.0,29,10.81,2.64,34.28
BK1599.DC,20260324,其他医疗服务,诺禾致源,688315.SH,3.38,3.75,2467652.1,2.25,5,0,行业板块,东财三级行业,1.0,5,3.75,2.25,32.214
BK1598.DC,20260324,疫苗,康希诺,688185.SH,2.89,5.67,23291483.4,1.09,14,0,行业板块,东财三级行业,1.0,14,5.67,1.09,32.219
BK1597.DC,20260324,血液制品,博晖创新,300318.SZ,2.24,4.29,10125382.9,0.5,6,0,行业板块,东财三级行业,1.0,6,4.29,0.5,31.630000000000003
BK1596.DC,20260324,其他生物制品,智翔金泰-U,688443.SH,3.76,7.15,61503915.2,1.63,38,0,行业板块,东财三级行业,1.0,38,7.15,1.63,32.884
BK1595.DC,20260324,原料药,美诺华,603538.SH,4.56,10.01,33173760.0,2.54,45,1,行业板块,东财三级行业,0.9782608695652174,44,9.792391304347825,2.484782608695652,33.17126086956522
BK1594.DC,20260324,化学制剂,万邦德,002082.SZ,3.94,10.01,199047054.4,1.86,113,1,行业板块,东财三级行业,0.9912280701754386,112,9.92219298245614,1.8436842105263158,33.27201754385965
BK1593.DC,20260324,通信终端及配件,菲菱科思,301191.SZ,3.94,12.44,38771320.0,4.33,27,1,行业板块,东财三级行业,0.9642857142857143,26,11.995714285714286,4.175357142857143,33.34478571428572
BK1592.DC,20260324,通信线缆及配套,通鼎互联,002491.SZ,5.21,9.98,49400846.4,6.09,11,1,行业板块,东财三级行业,0.9166666666666666,10,9.148333333333333,5.5825,32.009166666666665
BK1591.DC,20260324,通信网络设备及器件,鼎信通讯,603421.SH,3.23,9.99,217177084.8,4.12,34,2,行业板块,东财三级行业,0.9444444444444444,32,9.435,3.891111111111111,31.967555555555556
BK1590.DC,20260324,其他通信设备,朗威股份,301202.SZ,3.37,5.54,9157528.0,2.34,14,0,行业板块,东财三级行业,1.0,14,5.54,2.34,32.587
BK1589.DC,20260324,通信应用增值服务,平治信息,300571.SZ,3.83,6.71,29307680.0,5.71,16,1,行业板块,东财三级行业,0.9411764705882353,15,6.315294117647059,5.374117647058823,31.722176470588238
BK1588.DC,20260324,通信工程及服务,亚联发展,002316.SZ,4.44,9.94,10853402.2,5.31,19,1,行业板块,东财三级行业,0.95,18,9.443,5.044499999999999,32.7295
BK1587.DC,20260324,电信运营商,中国联通,600050.SH,1.09,1.57,271012784.0,0.3,3,0,行业板块,东财三级行业,1.0,3,1.57,0.3,30.701
BK1586.DC,20260324,软饮料,维维股份,600300.SH,2.87,4.33,20021220.3,1.21,8,0,行业板块,东财三级行业,1.0,8,4.33,1.21,31.969
BK1585.DC,20260324,乳品,皇氏集团,002329.SZ,3.25,7.85,25465177.7,1.76,19,0,行业板块,东财三级行业,1.0,19,7.85,1.76,32.897
BK1584.DC,20260324,熟食,煌上煌,002695.SZ,2.8,7.54,2258566.7,1.58,3,0,行业板块,东财三级行业,1.0,3,7.54,1.58,32.664
BK1583.DC,20260324,零食,好想你,002582.SZ,2.87,4.97,9944788.8,1.79,10,1,行业板块,东财三级行业,0.9090909090909091,9,4.518181818181818,1.6272727272727272,29.36281818181818
BK1582.DC,20260324,烘焙食品,麦趣尔,002719.SZ,4.06,8.25,4436460.6,1.27,9,0,行业板块,东财三级行业,1.0,9,8.25,1.27,33.122
BK1581.DC,20260324,预加工食品,春雪食品,605567.SH,3.28,5.73,6565561.0,2.23,11,0,行业板块,东财三级行业,1.0,11,5.73,2.23,32.57599999999999
BK1580.DC,20260324,肉制品,龙大美食,002726.SZ,2.25,5.66,12637996.0,2.03,6,1,行业板块,东财三级行业,0.8571428571428571,5,4.851428571428571,1.7399999999999998,27.707571428571427
BK1579.DC,20260324,保健品,交大昂立,600530.SH,2.58,5.6,5766079.0,2.27,8,1,行业板块,东财三级行业,0.8888888888888888,7,4.977777777777777,2.017777777777778,28.839777777777776
BK1578.DC,20260324,其他酒类,中信尼雅,600084.SH,3.49,6.97,6731825.0,1.21,10,0,行业板块,东财三级行业,1.0,10,6.97,1.21,32.683
BK1577.DC,20260324,啤酒,惠泉啤酒,600573.SH,2.68,4.22,17560118.2,0.89,6,1,行业板块,东财三级行业,0.8571428571428571,5,3.6171428571428565,0.7628571428571428,27.394285714285708
BK1576.DC,20260324,调味发酵品Ⅲ,莲花控股,600186.SH,3.12,10.08,34941387.2,1.92,15,0,行业板块,东财三级行业,1.0,15,10.08,1.92,33.336
BK1575.DC,20260324,白酒Ⅲ,*ST岩石,600696.SH,1.58,4.05,282277019.2,0.65,19,2,行业板块,东财三级行业,0.9047619047619048,17,3.664285714285714,0.5880952380952381,28.467333333333332
BK1574.DC,20260324,油气开采Ⅲ,中国海油,600938.SH,-3.92,-0.36,207052352.0,5.35,0,4,行业板块,东财三级行业,0.0,-4,-0.0,0.0,-1.176
