ts_code,name,con_name,con_code,trade_date,desc,hot_num
000232.KP,远东大开发,辽宁能源,600758.SH,20251027,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,1099
000016.KP,煤炭概念,辽宁能源,600758.SH,20251027,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,1099
000232.KP,远东大开发,辽宁能源,600758.SH,20251026,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,4722
000016.KP,煤炭概念,辽宁能源,600758.SH,20251026,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,4722
000016.KP,煤炭概念,辽宁能源,600758.SH,20251025,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,3542
000232.KP,远东大开发,辽宁能源,600758.SH,20251025,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,3542
000016.KP,煤炭概念,辽宁能源,600758.SH,20251024,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,1883
000232.KP,远东大开发,辽宁能源,600758.SH,20251024,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,1883
000016.KP,煤炭概念,辽宁能源,600758.SH,20251023,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,5273
000232.KP,远东大开发,辽宁能源,600758.SH,20251023,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,5273
000232.KP,远东大开发,辽宁能源,600758.SH,20251022,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,944
000016.KP,煤炭概念,辽宁能源,600758.SH,20251022,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,944
000016.KP,煤炭概念,辽宁能源,600758.SH,20251021,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,1718
000232.KP,远东大开发,辽宁能源,600758.SH,20251021,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,1718
000232.KP,远东大开发,辽宁能源,600758.SH,20251020,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,4087
000016.KP,煤炭概念,辽宁能源,600758.SH,20251020,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,4087
000232.KP,远东大开发,辽宁能源,600758.SH,20251019,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,2146
000016.KP,煤炭概念,辽宁能源,600758.SH,20251019,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,2146
000232.KP,远东大开发,辽宁能源,600758.SH,20251018,公司位于辽宁省沈阳市，主要业务是煤炭、电力的生产和销售，城市供暖及提供工业蒸汽等,1337
000016.KP,煤炭概念,辽宁能源,600758.SH,20251018,公司主要煤炭品种有主焦煤、气煤、肥煤、瘦煤、贫瘦煤、贫煤、无烟煤、三分之一焦煤和褐煤。,1337
